scenario,ensemble,theta_deg,A2460,B2460,G2460,A2536,B2536,G2536,abs_ratio_G2460_over_G2536
legacy_chi_condensate,theta_fixed,35.3,-0.1508065830434074,-0.3197998371711027,-0.47060642021451016,-0.18958091485807635,0.20154289206635287,0.01196197720827652,39.3418589603144
legacy_chi_condensate,theta_fixed,35.3,-0.14667453145829132,-0.3176959789696758,-0.46437051042796706,-0.1728977947127317,0.18774198076114593,0.014844186048414226,31.28298910519077
legacy_chi_condensate,theta_fixed,35.3,-0.14186344886156863,-0.2828982084604644,-0.42476165732203297,-0.16616141478077331,0.16611344985675638,-4.796492401692998e-05,8855.672473745744
legacy_chi_condensate,theta_fixed,35.3,-0.13222385298748815,-0.2733510645586267,-0.40557491754611485,-0.20622024658407773,0.21372592049385053,0.007505673909772803,54.03577645679942
legacy_chi_condensate,theta_fixed,35.3,-0.16298869122546503,-0.32937715888355074,-0.4923658501090158,-0.21824148829235124,0.22109975148642483,0.0028582631940735903,172.26050110777135
legacy_chi_condensate,theta_fixed,35.3,-0.14132227136208525,-0.30522599154842517,-0.4465482629105104,-0.14630199333170865,0.1584076243218711,0.012105630990162458,36.88764867138229
legacy_chi_condensate,theta_fixed,35.3,-0.1397842276764638,-0.29546592412883027,-0.4352501518052941,-0.19388983675466062,0.2054561795058562,0.011566342751195585,37.630749941272775
legacy_chi_condensate,theta_fixed,35.3,-0.131876927689016,-0.27589059499544805,-0.40776752268446403,-0.18573809404456765,0.19479777531216558,0.00905968126759793,45.009036260784356
legacy_chi_condensate,theta_fixed,35.3,-0.04323214763753913,-0.16318514160714906,-0.2064172892446882,-0.049968761484639065,0.09455561432610331,0.04458685284146424,4.629555038985107
legacy_chi_condensate,theta_fixed,35.3,-0.06708375638268908,-0.19291116798590757,-0.25999492436859667,-0.0722982166270416,0.10422754663222769,0.03192933000518609,8.142824303747282
legacy_chi_condensate,theta_fixed,35.3,-0.15000060171264626,-0.329076756179425,-0.4790773578920713,-0.16682665032874175,0.18347824162243262,0.01665159129369087,28.770665184028935
legacy_chi_condensate,theta_fixed,35.3,-0.1325124521121241,-0.2698029361557549,-0.402315388267879,-0.17725288747138615,0.1809248548087183,0.0036719673373321604,109.56398881265054
legacy_chi_condensate,theta_fixed,35.3,-0.12420525219623445,-0.282089791812651,-0.40629504400888544,-0.1763041035605232,0.2007357676935943,0.0244316641330711,16.62985549391692
legacy_chi_condensate,theta_fixed,35.3,-0.13420544205932441,-0.2867076438939194,-0.42091308595324384,-0.18978683016976916,0.20325917112928513,0.013472340959515966,31.242757826429475
legacy_chi_condensate,theta_fixed,35.3,-0.14078072661689792,-0.30869689296818253,-0.4494776195850805,-0.16404769027115088,0.18033254385791908,0.016284853586768205,27.600961666016495
legacy_chi_condensate,theta_fixed,35.3,-0.16490207417147787,-0.33051398905709245,-0.49541606322857035,-0.34607091911367704,0.3477312862211785,0.0016603671075014481,298.3774256851437
legacy_chi_condensate,theta_fixed,35.3,-0.10098130752026913,-0.23771965332277037,-0.33870096084303947,-0.1427472687406858,0.16846389554394992,0.025716626803264114,13.17050495907377
legacy_chi_condensate,theta_fixed,35.3,-0.15070092493929338,-0.31381336556220163,-0.464514290501495,-0.2004195031290675,0.2092234855742723,0.008803982445204805,52.7618374289806
legacy_chi_condensate,theta_fixed,35.3,-0.11134658626052414,-0.2506697813595936,-0.36201636762011774,-0.16393165923526865,0.18501325473398816,0.02108159549871952,17.172152252048775
legacy_chi_condensate,theta_fixed,35.3,-0.14499493514431927,-0.29408028854711604,-0.4390752236914353,-0.15575743586137225,0.15837141825273635,0.0026139823913640947,167.97176030795904
legacy_chi_condensate,theta_fixed,35.3,-0.14597551459250901,-0.30715692088010277,-0.4531324354726118,-0.15920499479632827,0.16793913518618964,0.008734140389861367,51.88059903394845
legacy_chi_condensate,theta_fixed,35.3,-0.16595991182248143,-0.34401915861254045,-0.5099790704350219,-0.22665839613437438,0.2355408176727744,0.00888242153840002,57.41441883053028
legacy_chi_condensate,theta_fixed,35.3,-0.12550365061635668,-0.26877070210445353,-0.39427435272081024,-0.156750772747055,0.1682868536452174,0.011536080898162382,34.17749547713517
legacy_chi_condensate,theta_fixed,35.3,-0.10843435943401715,-0.25103274160021716,-0.3594671010342343,-0.1451511440763787,0.1684607955501014,0.023309651473722715,15.421384632861903
legacy_chi_condensate,theta_fixed,35.3,-0.14567795633655223,-0.29036521707685875,-0.436043173413411,-0.1773943797292432,0.17725787556714098,-0.00013650416210223004,3194.3580818206233
legacy_chi_condensate,theta_fixed,35.3,-0.12458768559325703,-0.27349167631356214,-0.39807936190681914,-0.191368244565597,0.21059778598692194,0.019229541421324936,20.70144852572314
legacy_chi_condensate,theta_fixed,35.3,-0.10912663226578732,-0.24375733142541747,-0.3528839636912048,-0.14907427929342432,0.16693391759980933,0.01785963830638501,19.758740778364196
legacy_chi_condensate,theta_fixed,35.3,-0.13492066634636807,-0.2963662285011553,-0.43128689484752336,-0.15879946898059197,0.17486955906627388,0.016070090085681915,26.837864165540065
legacy_chi_condensate,theta_fixed,35.3,-0.14602408454358393,-0.31280430590384023,-0.4588283904474242,-0.16185137076456355,0.1738119153991083,0.011960544634544767,38.36183087534523
legacy_chi_condensate,theta_fixed,35.3,-0.12863567871523332,-0.28264928764396674,-0.4112849663592001,-0.1590907636780378,0.17524528927510963,0.01615452559707184,25.459427074339427
legacy_chi_condensate,theta_fixed,35.3,-0.14325478839771622,-0.29570275787207495,-0.43895754626979117,-0.1823758797956649,0.18872462043527008,0.006348740639605166,69.1408849703916
legacy_chi_condensate,theta_fixed,35.3,-0.13280257504055146,-0.281050931279337,-0.4138535063198885,-0.26338938671543033,0.2794420359401371,0.016052649224706783,25.781009758994962
legacy_chi_condensate,theta_fixed,35.3,-0.14538919231641376,-0.3060629400978168,-0.45145213241423054,-0.16239758860375503,0.17138512725442412,0.008987538650669091,50.23089746385919
legacy_chi_condensate,theta_fixed,35.3,-0.13437745167899276,-0.26754019587435063,-0.40191764755334336,-0.16020652400116994,0.1599034266417755,-0.00030309735939443305,1326.0348039862379
legacy_chi_condensate,theta_fixed,35.3,-0.1348012992077879,-0.2712550701417286,-0.4060563693495165,-0.18946472531122394,0.19112921859272997,0.0016644932815060298,243.95194252879025
legacy_chi_condensate,theta_fixed,35.3,-0.1324935766087842,-0.28067015480490154,-0.41316373141368573,-0.17283055859251353,0.1835425989713893,0.01071204037887577,38.570031179909286
legacy_chi_condensate,theta_fixed,35.3,-0.16450985448781047,-0.31681896789246683,-0.4813288223802773,-0.2675740174088491,0.25833195403900217,-0.009242063369846953,52.080233938955125
legacy_chi_condensate,theta_fixed,35.3,-0.15105488237119025,-0.31401551410842543,-0.4650703964796157,-0.21724954318916836,0.22640715276380713,0.009157609574638764,50.78513040865919
legacy_chi_condensate,theta_fixed,35.3,-0.12596737803080077,-0.26807713110784326,-0.39404450913864403,-0.17405039657935767,0.1856913303602908,0.011640933780933144,33.849905562048235
legacy_chi_condensate,theta_fixed,35.3,-0.13135911461701183,-0.2708199019793011,-0.40217901659631294,-0.1498137226436684,0.15484132993393807,0.005027607290269659,79.99411914583763
legacy_chi_condensate,theta_fixed,35.3,-0.15054578448820555,-0.3325817601305464,-0.48312754461875196,-0.16373149072601748,0.18133305458568225,0.01760156385966477,27.447989762197945
legacy_chi_condensate,theta_fixed,35.3,-0.09878149557273196,-0.24840610139393088,-0.34718759696666285,-0.13273090992819586,0.16732994429004588,0.03459903436185002,10.034603663664173
legacy_chi_condensate,theta_fixed,35.3,-0.10921643649615526,-0.2597567841110707,-0.368973220607226,-0.14029720005626312,0.16727954307056522,0.026982343014302107,13.67461752345414
legacy_chi_condensate,theta_fixed,35.3,-0.10629483880167406,-0.23269870779707186,-0.3389935465987459,-0.16362081407178597,0.1795706175337173,0.01594980346193134,21.253775785253325
legacy_chi_condensate,theta_fixed,35.3,-0.12424321970293238,-0.2801578262835492,-0.4044010459864816,-0.15100369111014242,0.17069962147443682,0.0196959303642944,20.532213432252814
legacy_chi_condensate,theta_fixed,35.3,-0.1191257844577386,-0.27452688678834714,-0.3936526712460857,-0.1730277218598096,0.1998985916613008,0.0268708698014912,14.649792662247203
legacy_chi_condensate,theta_fixed,35.3,-0.11186612038804175,-0.2632102123209743,-0.3750763327090161,-0.12141463842788537,0.14321553933712577,0.021800900909240403,17.2046253625252
legacy_chi_condensate,theta_fixed,35.3,-0.1437017961858048,-0.3031279078193707,-0.4468297040051755,-0.17119257141794977,0.18103542833796435,0.009842856920014575,45.396342508706695
legacy_chi_condensate,theta_fixed,35.3,-0.1622659837060591,-0.31936854181704505,-0.48163452552310415,-0.17678821377046555,0.1744347026986037,-0.0023535110718618524,204.64510716836577
