fB_scheme,M2,s0_root,s0,GA_stage2,GB_hard,GB_soft2p,GB_em_Sgamma_T4gamma,GB_em_qcd,GB_em_kernel_total,GB_3p_sigma_matched,GB_3p_xgamma_unmatched_axial_ratio,GB_3p_xgamma_matched_S_T2_T3,GB_3p_xgamma_T4_tensor_only,GB_3p_full_matched,GB_3p_full_ratio_diagnostic,GB_stage2_sigma_matched,GB_stage2_full_matched,GB_stage2_full_ratio_diagnostic,hard_qcd_side,G2460_sigma_matched,G2536_sigma_matched,G2460_full_matched,G2536_full_matched,G2460_full_ratio_diagnostic,G2536_full_ratio_diagnostic,Gamma2460_keV_sigma_matched,Gamma2536_keV_sigma_matched,Gamma2460_keV_full_matched,Gamma2536_keV_full_matched,Gamma2460_keV_full_ratio_diagnostic,Gamma2536_keV_full_ratio_diagnostic,fB
fB_equal_fT_diagnostic,4.75,2.5,6.25,-0.32507801848846085,-0.6937262978916644,0.2514222429872678,-0.003767451453388076,-0.0005928607715561881,0.18118024083394313,-0.0024286066423149432,0.003521749304083865,0.00401293763874672,-0.0006549177795504639,0.0009294132168813122,0.0010931426617689216,-0.4485001130000996,-0.44514209314090336,-0.4449783636960158,-0.10916746063097973,-0.5538866128776201,-0.006139180763234997,-0.5511460066422943,-0.00807963814170276,-0.5510123808877186,-0.008174250449767106,64.48764047421682,0.011695559580544648,63.851055344795284,0.02025741312409113,63.820097627473146,0.02073461822750199,0.256
fB_converted_fT_M_over_msum_central,4.75,2.5,6.25,-0.32507801848846085,-0.38444762920363423,0.13933259491426953,-0.002087837499885321,-0.0005928607715561881,0.18118024083394313,-0.0013458795907604255,0.0019516748532085004,0.0022238804641641708,-0.0003629408146075552,0.0005150600587961896,0.0006057952624480747,-0.24854875138001045,-0.24668781173045382,-0.24659707652680193,-0.10916746063097973,-0.3906987904717538,-0.1216825995812669,-0.38918000767088007,-0.12275795774628079,-0.38910595526043623,-0.12281038977551101,32.086244100500835,4.594699595175186,31.837268072726797,4.676268863345791,31.825153359257484,4.680264345705768,0.4619457079970653
fB_equal_fT_diagnostic,5.0,2.5,6.25,-0.3233565938798207,-0.6885258541317832,0.24666454154611253,-0.002188980627548956,-0.0003629357988357627,0.11244708283212024,-0.0023444865463259136,0.0033997658241958053,0.0038739407779592536,-0.0006322332716845898,0.0008972209599487506,0.0010552792778698915,-0.4463947797595456,-0.44315307225327094,-0.4429950139353498,-0.1141584707253449,-0.5511736329454545,-0.005950844296556901,-0.5485279535935388,-0.007824089695078973,-0.5483989562588585,-0.007915424899186951,63.85745659891102,0.010988978860126035,63.245885703541404,0.01899624686270453,63.21614212781837,0.019442344272843026,0.256
fB_converted_fT_M_over_msum_central,5.0,2.5,6.25,-0.3233565938798207,-0.38156565935418596,0.13669598297513777,-0.0012130842022155832,-0.0003629357988357627,0.11244708283212024,-0.0012992621112592885,0.0018840743315222126,0.0021468515065494864,-0.00035036956670302734,0.0004972198285871709,0.0005848122202629242,-0.24738202269252305,-0.2455855407526766,-0.24549794836100083,-0.1141584707253449,-0.3887518409975664,-0.12095188331731821,-0.38728566455655755,-0.12198999410332576,-0.38721417711310596,-0.12204061003469358,31.767253384019405,4.539682018201904,31.52808503944276,4.617943172723376,31.516446838563468,4.621776109814153,0.4619457079970653
fB_equal_fT_diagnostic,5.25,2.5,6.25,-0.32196768511853235,-0.6839420392836797,0.2424943743070931,-0.0009196810371109442,-0.0001598629013333745,0.05025993987808963,-0.0022708913321086623,0.00329304459156076,0.0037523348332095825,-0.0006123869888650879,0.0008690565122358324,0.0010221532594520983,-0.4446382373458062,-0.4414982895014617,-0.44134519275424544,-0.11888573791542052,-0.5489374611357482,-0.005832335073610084,-0.5463748316690875,-0.007646777875631117,-0.5462498836587653,-0.007735245998278351,63.34035430749221,0.010555652805199028,62.75034545599716,0.018145005891528565,62.721648547393606,0.018567285836302832,0.256
fB_converted_fT_M_over_msum_central,5.25,2.5,6.25,-0.32196768511853235,-0.37902541148349467,0.13438496937612027,-0.0005096667020053736,-0.0001598629013333745,0.05025993987808963,-0.0012584772863037633,0.0018249318065856129,0.002079460206409701,-0.0003393711997654461,0.0004816117203404917,0.0005664545202818498,-0.24640858609568353,-0.24466849708903926,-0.24458365428909792,-0.11888573791542052,-0.38715479128204244,-0.12038085042737676,-0.3857346392336348,-0.12138637412697206,-0.38566539583535503,-0.12143540118579221,31.50678042149903,4.496918097132129,31.276059508051816,4.572356050881667,31.26483175692175,4.576050278356549,0.4619457079970653
fB_equal_fT_diagnostic,5.5,2.5,6.25,-0.3208394203033091,-0.6798732478054502,0.2388107954118624,0.00010830072059917258,1.9651634862924017e-05,-0.00627382644375607,-0.0022059932428456666,0.0031989351558390213,0.0036450996883538576,-0.0005948860433531071,0.0008442204021550838,0.0009929419129933545,-0.4431601449158343,-0.44010993127083353,-0.43996120975999525,-0.12336594572063299,-0.5470791579162347,-0.00576564272654434,-0.5445897639027741,-0.0075282319373066175,-0.5444683866873257,-0.007614171796254399,62.912231397761964,0.010315626721953927,62.340990441829355,0.017586772484647184,62.31320463645902,0.017990594155661833,0.256
fB_converted_fT_M_over_msum_central,5.5,2.5,6.25,-0.3208394203033091,-0.3767705780682368,0.13234361217579524,6.0017841909604476e-05,1.9651634862924017e-05,-0.00627382644375607,-0.001222512213864055,0.0017727784579827548,0.002020032882791749,-0.00032967256641198815,0.0004678481025157061,0.0005502662441186997,-0.24558946026439604,-0.24389909994801628,-0.2438166818064133,-0.12336594572063299,-0.38583429547432263,-0.11993336920704714,-0.3844547288793453,-0.1209101568038225,-0.38438746433587856,-0.12095778275533528,31.29222221071617,4.46354823236598,31.068848978156204,4.536550319489142,31.057978261964422,4.540124875726495,0.4619457079970653
fB_equal_fT_diagnostic,5.75,2.5,6.25,-0.31991772556513864,-0.6762387623941362,0.23553448735196023,0.0009457799412811672,0.00017848099663208265,-0.05789161308544122,-0.0021483595895532563,0.003115359958918335,0.0035498680223747443,-0.0005793440846085374,0.0008221643482129506,0.0009670003693650791,-0.44190685469044805,-0.4389363307526818,-0.4387914947315297,-0.1276150645676153,-0.545523692320211,-0.005737636316449135,-0.543099336072367,-0.007454176222301101,-0.5429811299511071,-0.0075378708214092205,62.554993529994206,0.010215654518945244,62.00022897621386,0.017242469833139866,61.97324308786273,0.01763183628843345,0.256
fB_converted_fT_M_over_msum_central,5.75,2.5,6.25,-0.31991772556513864,-0.37475642738085274,0.13052795538146847,0.0005241301321269489,0.00017848099663208265,-0.05789161308544122,-0.0011905729296853374,0.0017264629493822686,0.00196725761923024,-0.0003210595597972906,0.0004556251297476119,0.0005358900196969313,-0.24489491479694264,-0.2432487167375097,-0.2431684518475604,-0.1276150645676153,-0.3847348424785082,-0.11958248787849612,-0.3833913183614879,-0.12053375597838478,-0.38332581116763664,-0.12058013765701228,31.114138979222453,4.437469006634861,30.89721239745024,4.508349158266425,30.886654950407998,4.511819472986422,0.4619457079970653
