sector,state,scenario,ensemble,window_id,n,g_median_GeV_inv,g_p16_GeV_inv,g_p84_GeV_inv,Gamma_median_keV,Gamma_p16_keV,Gamma_p84_keV,f1_median_GeV,f1_p16_GeV,f1_p84_GeV,f2_median_GeV,f2_p16_GeV,f2_p84_GeV
Bs,B_{s1}(5750),legacy_chi_condensate,theta_sensitivity_25_45,central_10_14,309,0.2808269477779886,0.2364682362123644,0.3495521661574111,10.009622880486752,6.649678794279648,15.790695169475232,0.42077963803442187,0.3746440088482119,0.47289537335038095,0.25002576026688345,0.16204061237083622,0.295392004598975
Bs,B_{s1}(5750),legacy_chi_condensate,theta_sensitivity_25_45,crosscheck_9_13,348,0.2974785947208993,0.24039885971838934,0.37052598701660905,10.726906064899927,7.014099999721447,16.645165119356168,0.4194906184162609,0.3619748848813993,0.4695682278881182,0.25641588459491715,0.17361218699753667,0.30895391952296813
Bs,B_{s1}(5830),lattice_fperp_s,theta_hqet_35p3,central_10_14,399,-0.03877737862874077,-0.06714355011924068,-0.02875196393659466,0.3195588062060063,0.17521683031309462,0.9558744261676242,0.44545499589659343,0.37523132255913555,0.49427539542831356,0.21985520297400332,0.1241261837044093,0.28782835615692687
Bs,B_{s1}(5830),lattice_fperp_s,theta_hqet_35p3,crosscheck_9_13,376,-0.037344858734178726,-0.06708914324318788,-0.02707060672850424,0.29597583586711923,0.15563163537264768,0.955968328127471,0.4364603610665556,0.3641816265696936,0.48862145424576614,0.22331423410062243,0.12924132621018714,0.300795349935066
Bs,B_{s1}(5830),lattice_fperp_s,theta_prior_gaussian,central_10_14,236,-0.08417910355491226,-0.15865070491369412,-0.062051521532586175,1.503801487320899,0.8180104198082949,5.341759988054683,0.43046319365590924,0.36923136455878747,0.47908647513300867,0.2145258419571259,0.11688724878819055,0.29207439265462465
Bs,B_{s1}(5830),lattice_fperp_s,theta_prior_gaussian,crosscheck_9_13,247,-0.08819733456295879,-0.17573748172182463,-0.06555059964958958,1.6519603694266691,0.9100839494335997,6.554823389390519,0.44076599846858844,0.37631688336330144,0.48311998448607996,0.21042269531711003,0.10787118982203592,0.2837921824262678
Bs,B_{s1}(5830),lattice_fperp_s,theta_sensitivity_25_45,central_10_14,298,0.0171691249205801,-0.054852592637636144,0.061647090854023846,0.41155047243775666,0.03945059814514983,1.2715486848203357,0.41812717034730895,0.3645276422794803,0.4710602824132148,0.25182344437439497,0.17887076977644148,0.3105317179064477
Bs,B_{s1}(5830),lattice_fperp_s,theta_sensitivity_25_45,crosscheck_9_13,316,0.024414802406181928,-0.05593509909396775,0.0743086371869188,0.5505480524856596,0.06909907264417259,1.7068474618332967,0.4275150647038145,0.3751189701098541,0.4773319857893511,0.24797662179684857,0.15960504720703625,0.3093437528074142
Bs,B_{s1}(5830),legacy_chi_condensate,theta_hqet_35p3,central_10_14,392,-0.08343489332227888,-0.12983775080304844,-0.05672205870036225,1.4747022604322635,0.6815907367224293,3.574791226753324,0.43458084485737214,0.3741931876763052,0.48573815651098157,0.2190568146172278,0.13819722308847307,0.2968022919611244
Bs,B_{s1}(5830),legacy_chi_condensate,theta_hqet_35p3,crosscheck_9_13,405,-0.08609537183671188,-0.1423165684659521,-0.057318545669074406,1.5743364217875513,0.6966156463507484,4.301417792344275,0.4406590635294022,0.37951085886112784,0.48883382071262654,0.21594829273248933,0.14057793619615386,0.28807466627704853
