sector,scenario,ensemble,window_id,M2,s0,theta_deg,f1_GeV,f2_GeV,normalization_scheme,two_point_M2_GeV2,two_point_s0_mix_GeV2,two_point_s01_GeV2,two_point_s02_GeV2,GA_basis,GB_basis,chi_effective,fperp_s_used_GeV,state,state_key,g_GeV_inv,g_A_component_GeV_inv,g_B_component_GeV_inv,interference,Gamma_keV,rho_AB,g_low_GeV_inv,g_high_GeV_inv,quoted_combo
Ds,legacy_chi_condensate,theta_prior_gaussian,central,3.233324458119498,8.300715841750963,27.030443194892722,0.4216900648109971,0.15968516253149317,AA_AB_BB_two_point_LO_d3_d5,2.5407870890858373,10.620782741942671,8.35,9.6,-0.6989717440347486,-0.3700276969781134,2.929887647902229,-0.03156566022133234,D_{s1}(2536),Ds1_2536,-0.23915680611948006,-0.7470139562322528,0.5078571501127727,destructive,17.754373408867718,,,,
Ds,legacy_chi_condensate,theta_prior_gaussian,central,4.0106491329889264,7.9977033187670425,26.011902909293035,0.3883220255018074,0.17315723470538316,AA_AB_BB_two_point_LO_d3_d5,2.2177216232244,10.776827229198256,7.675,10.375,-0.5564771213562592,-0.3295613930614544,3.11393722281613,-0.03801703684399954,D_{s1}(2460),Ds1_2460,-0.49502009192753865,-0.12853061209100491,-0.36648947983653374,constructive,51.8214725242048,,,,
Ds,legacy_chi_condensate,theta_prior_gaussian,central,4.0106491329889264,7.9977033187670425,26.011902909293035,0.3883220255018074,0.17315723470538316,AA_AB_BB_two_point_LO_d3_d5,2.2177216232244,10.776827229198256,7.675,10.375,-0.5564771213562592,-0.3295613930614544,3.11393722281613,-0.03801703684399954,D_{s1}(2536),Ds1_2536,-0.18959997514702123,-0.5906731545124452,0.40107317936542397,destructive,11.15630142853111,,,,
Ds,legacy_chi_condensate,theta_prior_gaussian,central,4.161586192982755,8.363411648998099,25.791678835722866,0.3824814110806581,0.17939848422295673,AA_AB_BB_two_point_LO_d3_d5,2.0178685627204014,10.359529567767954,7.575,11.4,-0.6443415826875316,-0.43666196323548717,2.7116884219661412,-0.021560069657520782,D_{s1}(2460),Ds1_2460,-0.6526295810564223,-0.173904575605995,-0.47872500545042734,constructive,90.00257881273873,,,,
Ds,legacy_chi_condensate,theta_prior_gaussian,central,4.161586192982755,8.363411648998099,25.791678835722866,0.3824814110806581,0.17939848422295673,AA_AB_BB_two_point_LO_d3_d5,2.0178685627204014,10.359529567767954,7.575,11.4,-0.6443415826875316,-0.43666196323548717,2.7116884219661412,-0.021560069657520782,D_{s1}(2536),Ds1_2536,-0.27403579667717815,-0.7672553762628971,0.4932195795857189,destructive,23.314042754893695,,,,
Ds,legacy_chi_condensate,theta_prior_gaussian,central,4.465787394113969,8.156267400868586,26.802579869199967,0.3834183666300622,0.17271635758068707,AA_AB_BB_two_point_LO_d3_d5,2.145382539051683,10.280109897107817,7.5,10.625,-0.7367729274719613,-0.3457568757063287,3.1909246363430155,-0.03612824727498547,D_{s1}(2460),Ds1_2460,-0.542901926826171,-0.15284091816538803,-0.39006100866078297,constructive,62.07471019192402,,,,
Ds,legacy_chi_condensate,theta_prior_gaussian,central,4.465787394113969,8.156267400868586,26.802579869199967,0.3834183666300622,0.17271635758068707,AA_AB_BB_two_point_LO_d3_d5,2.145382539051683,10.280109897107817,7.5,10.625,-0.7367729274719613,-0.3457568757063287,3.1909246363430155,-0.03612824727498547,D_{s1}(2536),Ds1_2536,-0.23416651952999684,-0.6716172948844955,0.43745077535449867,destructive,17.013224771008264,,,,
Ds,legacy_chi_condensate,theta_prior_gaussian,central,3.324703918655622,7.621776742666442,26.079430148549243,0.4077067412206022,0.1634623781179976,AA_AB_BB_two_point_LO_d3_d5,2.5084697666494833,10.237401601885832,8.125,9.675,-0.48254672333829407,-0.332220311508761,2.635361978572883,-0.025659172650635477,D_{s1}(2460),Ds1_2460,-0.5265596801341714,-0.1409199444550429,-0.3856397356791285,constructive,57.8601923732693,,,,
Ds,legacy_chi_condensate,theta_prior_gaussian,central,3.324703918655622,7.621776742666442,26.079430148549243,0.4077067412206022,0.1634623781179976,AA_AB_BB_two_point_LO_d3_d5,2.5084697666494833,10.237401601885832,8.125,9.675,-0.48254672333829407,-0.332220311508761,2.635361978572883,-0.025659172650635477,D_{s1}(2536),Ds1_2536,-0.24733334661336723,-0.71811556997792,0.4707822233645528,destructive,18.99729686562855,,,,
Ds,legacy_chi_condensate,theta_prior_gaussian,central,4.46274284969274,8.299360623374701,24.75520129243866,0.39106404463568617,0.1524180474639051,AA_AB_BB_two_point_LO_d3_d5,2.672829561332776,9.57316843684174,7.95,8.975,-0.3031689601287843,-0.2512596188185122,3.6023603700467826,-0.0630775748633774,D_{s1}(2460),Ds1_2460,-0.3337561215181123,-0.06999548534620563,-0.2637606361719067,constructive,23.323397594213883,,,,
