M2,s0_root,GA,GB,GB_em,G2460,G2536,Gamma2460_keV,Gamma2536_keV,theta_deg
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.39203553483049847,-0.21447662523695216,32.3061806913977,14.274473496548403,24.8
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.3927818095512777,-0.21310685917748118,32.42929316933649,14.09272639790683,25.0
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.39352329834966193,-0.21173449647818354,32.55184800194221,13.911802533620143,25.2
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.3942599921908442,-0.2103595538608657,32.67383921606524,13.73171072166225,25.4
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.3949918820984425,-0.2089820480787694,32.79526086602591,13.552459739453978,25.6
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.3957189591546092,-0.20760199591636802,32.916107033904254,13.374058323435325,25.8
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.39644121450013997,-0.2062194141891616,33.0363718298286,13.19651516863962,26.0
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.3971586393345813,-0.20483431974347216,33.15604939226243,13.01983892826975,26.2
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.39787122491633786,-0.20344672945623843,33.27513388829019,12.844038213276423,26.4
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.39857896256277936,-0.20205666023481011,33.393619513901555,12.669121591938461,26.6
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.3992818436503459,-0.20066412901674208,33.51150049427429,12.495097589445226,26.8
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.3999798596146532,-0.1992691527695877,33.62877108405571,12.321974687481084,27.0
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4006730019505971,-0.19787174849069233,33.74542556764272,12.149761323812038,27.2
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4013612622124569,-0.19647193320698614,33.86145825946037,11.978465891874476,27.4
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.40204463201399854,-0.19506972397477657,33.97686350423895,11.80809674036609,27.6
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4027231030285766,-0.1936651378795406,34.09163567728964,11.638662172838961,27.8
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.40339666698923593,-0.19225819203571656,34.20576918477864,11.470170447294883,28.0
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.40406531568881227,-0.1908489035864955,34.31925846399983,11.302629775782844,28.200000000000003
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.40472904098003215,-0.18943728970361262,34.432097983645846,11.136048323998832,28.4
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.40538783477561235,-0.18802336758713734,34.544282244077685,10.97043421088776,28.6
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.40604168904835847,-0.1866071544652646,34.65580577759277,10.805795508247883,28.8
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.40669059583126244,-0.18518866759410435,34.7666631486914,10.642140240337286,29.0
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4073345472176,-0.18376792425747146,34.87684895434173,10.479476383482847,29.200000000000003
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4079735353610266,-0.18234494176667515,34.98635782424303,10.317811865691466,29.4
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4086075524756735,-0.18091973746030784,35.09518442108746,10.157154566263651,29.6
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4092365908362421,-0.1794923287040345,35.20332344082023,9.997512315409544,29.8
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4098606427780985,-0.17806273289038022,35.310769612898085,9.838892893867222,30.0
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.41047970069736694,-0.17663096743851872,35.417517700546185,9.681304032523496,30.200000000000003
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4110937570510217,-0.1751970497940604,35.52356250101331,9.524753412037166,30.4
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.41170280435698026,-0.17376099742883916,35.62889884582554,9.369248662464605,30.6
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4123068351941931,-0.17232282784069988,35.73352160103799,9.214797362887925,30.8
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4129058422027352,-0.1708825585532851,35.8374256674852,9.061407041045562,31.0
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.41349981808389524,-0.16944020711582158,35.94060598102955,8.909085172965407,31.200000000000003
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4140887556002645,-0.16799579110290647,36.04305751280811,8.757839182600419,31.4
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4146726475758252,-0.16654932811429304,36.14477526947779,8.607676441466793,31.6
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.41525148689603797,-0.16510083577467627,36.24575429345861,8.458604268284677,31.8
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.41582526650792817,-0.16365033173347818,36.34598966317538,8.310629928621477,32.0
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.41639397942017253,-0.16219783366463283,36.44547649329765,8.16376063453776,32.2
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.41695761870318354,-0.16074335926637084,36.54420993497762,8.018003544235718,32.4
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.41751617748919445,-0.15928692626100371,36.642185176086656,7.873365761710295,32.6
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4180696489723428,-0.157828552394708,36.739397441449746,7.729854336402959,32.8
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.41861802640875306,-0.15636825543730892,36.83584199307819,7.587476262858107,33.0
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.41916130311661937,-0.15490605318206419,36.931514130400615,7.4462384803821875,33.2
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4196994724762865,-0.1534419634454468,37.02640919049203,7.30614787270546,33.4
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4202325279303305,-0.15197600406692813,37.12052254830108,7.167211267646501,33.6
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.420760462983639,-0.15050819290876072,37.21384961687548,7.029435436779442,33.8
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.42128327120349,-0.1490385478557601,37.30638584758557,6.892827095103891,34.0
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.42180094621963016,-0.14756708681508757,37.398126730346,6.757392900717702,34.2
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.422313481724353,-0.14609382771603158,37.48906779383561,6.623139454492446,34.4
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.422820871472575,-0.1446187885097892,37.579204605715226,6.4900732997516775,34.6
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4233231092819123,-0.14314198716924786,37.66853277284382,6.358200921952067,34.8
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.42382018903275553,-0.14166344168876566,37.75704794149253,6.227528748367247,35.0
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.424312104668345,-0.14018317008395265,37.84474579755695,6.0980631477746075,35.2
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.42479885019484376,-0.13870119039145135,37.93162206676726,5.969810430144885,35.4
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4252804196814113,-0.1372175206687166,38.01767251489669,5.842776846334596,35.6
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.42575680726027526,-0.13573217899379567,38.102892947967774,5.716968587781391,35.8
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4262280071268035,-0.13424518346510816,38.18727921245685,5.592391786202309,36.0
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.42669401353957415,-0.13275655220122531,38.27082719549643,5.469052513294902,36.2
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4271548208204463,-0.1312663033406493,38.353532825075696,5.346956780441326,36.400000000000006
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4276104233546286,-0.12977445504159224,38.43539207023893,5.226110538415359,36.6
