group,M2,s0_root,theta_deg,GA,GB,G2460,G2536,Gamma2460_keV,Gamma2536_keV
borel_threshold,4.026357204669209,2.509202489508815,35.3,-0.3387149741622329,-0.25467847843413366,-0.4035817099470242,-0.12927012220727424,34.23715758700993,5.185569775929156
borel_threshold,3.6799615949327973,2.566481636547327,35.3,-0.3795988673964713,-0.27740956857116406,-0.44575847649124095,-0.14950167055832847,41.76706618593186,6.935731223218009
borel_threshold,5.481089761126748,2.5767556012592525,35.3,-0.3722914376921377,-0.27283242732615215,-0.43780024549678476,-0.14618273845606378,40.28902441179147,6.63120341486763
borel_threshold,4.589407028240195,2.5130802732159894,35.3,-0.3347705902437809,-0.2522402407612845,-0.39931248020788923,-0.12745991645103288,33.51664330964449,5.041356649728124
borel_threshold,4.795921043712693,2.548425934530305,35.3,-0.35609654655471507,-0.26410374511704626,-0.42131809851424895,-0.13800941459690966,37.312554308986876,5.910409762083913
borel_threshold,5.501487720120052,2.511272518919897,35.3,-0.32831043899462287,-0.24814427742826833,-0.3922365629102281,-0.12455442782017034,32.339321128951724,4.8141376702608705
borel_threshold,5.721371020807662,2.5285647702450516,35.3,-0.3391588766601621,-0.25417977558327826,-0.40343121224707224,-0.12992058696683334,34.21162792288144,5.237886840239654
borel_threshold,5.754002588299264,2.5496385257693785,35.3,-0.3533314380965185,-0.26214099493450765,-0.41811838530552636,-0.1368868958012669,36.7479637073104,5.814654489662579
borel_threshold,5.397384117832331,2.561362252305192,35.3,-0.36212547443472376,-0.26721005030430633,-0.42733713288615427,-0.14113484713154675,38.38627881615213,6.181141391430866
borel_threshold,3.6914655053678134,2.554835730685056,35.3,-0.3723668363647864,-0.273434576066694,-0.43833525141661883,-0.1458963179063195,40.38755353394295,6.605243410901585
borel_threshold,4.00577150703554,2.533708195203469,35.3,-0.35422205147347563,-0.26334789715946455,-0.4196180313091177,-0.13691634120385301,37.012040902670115,5.817156310690022
borel_threshold,3.9804846992391347,2.5219218613429084,35.3,-0.3472937442671085,-0.259492243296315,-0.4124677121137931,-0.1334899082389183,35.76141257894902,5.5296422239270155
borel_threshold,4.748863137285284,2.58305833852935,35.3,-0.3788762123463833,-0.27675742808187737,-0.44480864839342826,-0.14928872896119388,41.589260182002995,6.915987579302585
borel_threshold,4.516461190491163,2.554240700388073,35.3,-0.36172238234078674,-0.26734922376109865,-0.42721778773597363,-0.14072544607830134,38.3648410512352,6.145333147885952
borel_threshold,4.635249933707218,2.5271523285203177,35.3,-0.343429416891342,-0.2570873824262568,-0.4082719837216251,-0.13172575259652405,35.03756428473466,5.384452383791659
borel_threshold,5.108468493671523,2.533037354204492,35.3,-0.3443791905749633,-0.25740420842909206,-0.4090793912965732,-0.13231781828045502,35.176283418057444,5.432963989663881
borel_threshold,4.162031268547563,2.5493910258502757,35.3,-0.36198443622669385,-0.2676171536154408,-0.42758788519757773,-0.14078449279608513,38.43134053161253,6.150491246700562
borel_threshold,5.149562165589246,2.5996906947627334,35.3,-0.3884293562880422,-0.28187436278315015,-0.4545051282126432,-0.15412854910482524,43.4222501751089,7.371677785222859
borel_threshold,4.675171401076324,2.544904356000637,35.3,-0.3545780378260532,-0.2633076253105966,-0.4197908733674479,-0.1372301464426635,37.042537947014424,5.843852116798582
borel_threshold,5.185834710469626,2.590357702895226,35.3,-0.382110274885527,-0.2783799136913561,-0.4480016475846652,-0.15099060328816935,42.188489078575415,7.074569287642121
