sector,M2,s0,state,g_low,g_high,g_quoted,Gamma_low_keV,Gamma_high_keV,Gamma_quoted_keV,GA_basis,GB_basis,GB_hard_frac,GB_soft2p_frac,GB_3p_frac,GA_3p_frac,spectral_pole_axial,spectral_pole_tensor,twist2_retention,rho_AB,window,window_state,s0_sqrt
Bs,9.2,38.4625,B_{s1}(5750),0.42918463240234744,-0.03958033571635023,0.42918463240234744,22.7541572081898,0.19352245969762982,22.7541572081898,0.3441101812030057,0.4216357064152496,0.28222719961441994,0.7170343925252876,0.0007384078602925356,0.0009047657895752396,0.6697551858438778,0.8592702703014341,0.8978724348833033,0.6561573080128956,Bslow_M2_8_12,B_{s1}(5750),6.201814250685036
Bs,9.2,39.082499999999996,B_{s1}(5750),0.4331855027832572,-0.03902065445712583,0.4331855027832572,23.18036424693574,0.18808818972419591,23.18036424693574,0.3478067154519556,0.4252910066649315,0.28350222660084323,0.7157657120225513,0.0007320613766053768,0.0008951498230632156,0.6799787284207249,0.8706340562118583,0.9045281570361372,0.6561573080128956,Bslow_M2_8_12,B_{s1}(5750),6.251599795252412
Bs,9.2,39.7025,B_{s1}(5750),0.43692974767621273,-0.03835777004929337,0.43692974767621273,23.582815658473002,0.18175197166556156,23.582815658473002,0.3513393519245368,0.42867062511064763,0.28461198048286335,0.714661729676967,0.0007262898401696033,0.0008861492972295568,0.6903189569352062,0.8809871617540959,0.9107501212968183,0.6561573080128956,Bslow_M2_8_12,B_{s1}(5750),6.300991985394046
Bs,9.2,40.3225,B_{s1}(5750),0.4404315645820891,-0.037603908755856265,0.4404315645820891,23.96234411421372,0.17467807961722093,23.96234411421372,0.35471372847644345,0.43179174469028914,0.28557042517852993,0.7137085348209941,0.0007210400004759936,0.0008777193968056194,0.7007015587448272,0.8903894927334616,0.9165665959591071,0.6561573080128956,Bslow_M2_8_12,B_{s1}(5750),6.35
Bs,9.6,36.6025,B_{s1}(5750),0.4026271090883722,-0.04118037440624003,0.4026271090883722,20.02527338986417,0.20948503803359722,20.02527338986417,0.3206859515748637,0.39674526388253306,0.28121723758586065,0.7180444404596682,0.0007383219544710705,0.0009134348954743949,0.6107407208657286,0.8033469860563074,0.8636757105008717,0.6561573080128956,Bslow_M2_8_12,B_{s1}(5750),6.05
Bs,9.6,37.2225,B_{s1}(5750),0.4076219037514624,-0.04100669962597855,0.4076219037514624,20.52520267503061,0.20772179285246567,20.52520267503061,0.32502448329564676,0.4014642332136311,0.2831457654698813,0.7161245911038236,0.0007296434262950093,0.0009012420716332411,0.6203534441825203,0.8184760035225721,0.8722017056450718,0.6561573080128956,Bslow_M2_8_12,B_{s1}(5750),6.101024504130433
Bs,9.6,37.8425,B_{s1}(5750),0.41231907595767764,-0.04068366235088315,0.41231907595767764,21.000966594361078,0.20446195583622997,21.000966594361078,0.3291885498020283,0.40585468629663973,0.2848541378548584,0.7144241118523711,0.0007217502927705328,0.0008898418211479591,0.6303356138057358,0.8324184058056968,0.8801944679115067,0.6561573080128956,Bslow_M2_8_12,B_{s1}(5750),6.151625801363409
Bs,9.6,38.4625,B_{s1}(5750),0.41673325544283274,-0.04022541979489947,0.41673325544283274,21.453035213738985,0.19988195959658994,21.453035213738985,0.3331831402628469,0.4099347911126111,0.28636018706757616,0.7129252462622911,0.0007145666701327244,0.0008791733532069014,0.6405846324412294,0.8452311535815987,0.8876873467564123,0.6561573080128956,Bslow_M2_8_12,B_{s1}(5750),6.201814250685036
Bs,9.6,39.082499999999996,B_{s1}(5750),0.4208786628044414,-0.039645483745972286,0.4208786628044414,21.881961330629352,0.19416004816561339,21.881961330629352,0.3370132356269099,0.41372213361474075,0.2876803664701963,0.711611608227658,0.000708025302145584,0.0008691817047244268,0.6510321185509051,0.85697174723762,0.8947116058939828,0.6561573080128956,Bslow_M2_8_12,B_{s1}(5750),6.251599795252412
Bs,9.6,39.7025,B_{s1}(5750),0.42476908199509406,-0.03895668618913701,0.42476908199509406,22.28836565659842,0.18747201278577416,22.28836565659842,0.340683803325686,0.41723368126994675,0.28882987138768673,0.7104680622360675,0.000702066376245814,0.0008598170379613325,0.6616280935068537,0.8676981805604492,0.9012965537428712,0.6561573080128956,Bslow_M2_8_12,B_{s1}(5750),6.300991985394046
Bs,9.6,40.3225,B_{s1}(5750),0.42841783956809326,-0.038171158793340015,0.42841783956809326,22.672923458921996,0.179987820082439,22.672923458921996,0.34419979042131427,0.42048575715782344,0.2898227474707312,0.7094806159995636,0.0006966365297052068,0.0008510340413000824,0.6722975888034398,0.8774669288393832,0.9074696657143037,0.6561573080128956,Bslow_M2_8_12,B_{s1}(5750),6.35
Bs,10.0,36.6025,B_{s1}(5750),0.39138271203192615,-0.04171402648103386,0.39138271203192615,18.922377609005103,0.21494960594556542,18.922377609005103,0.3108438636834478,0.3861640908309739,0.2848524302702766,0.7144303907031287,0.0007171790265946941,0.0008909578702509552,0.5820901921339151,0.7878217949508207,0.8523646652291761,0.6561573080128956,Bslow_M2_8_12,B_{s1}(5750),6.05
Bs,10.0,37.2225,B_{s1}(5750),0.3965034436785413,-0.041535935803267164,0.3965034436785413,19.42076599660865,0.21311814500712115,19.42076599660865,0.3152918050382693,0.3910020316414712,0.2868374930213399,0.7124542017414588,0.00070830523720125,0.0008783887888693066,0.5917745630574349,0.8032498328465916,0.8612400753632291,0.6561573080128956,Bslow_M2_8_12,B_{s1}(5750),6.101024504130433
Bs,10.0,37.8425,B_{s1}(5750),0.401331504375039,-0.041203861083852766,0.401331504375039,19.896602993117988,0.20972406017377085,19.896602993117988,0.31957192372883847,0.39551481573463754,0.28859723835057616,0.710702538103427,0.0007002235459968103,0.0008666242751756192,0.6018567495925423,0.817504575956049,0.869581921461478,0.6561573080128956,Bslow_M2_8_12,B_{s1}(5750),6.151625801363409
Bs,10.0,38.4625,B_{s1}(5750),0.4058804221802749,-0.040731596308041865,0.4058804221802749,20.35019781471895,0.20494403850510498,20.35019781471895,0.3236884633157126,0.39971945125987574,0.2901495326872113,0.7091576093948289,0.0006928579179598792,0.0008556028964735092,0.6122354404783936,0.8306382503997674,0.8774222798534669,0.6561573080128956,Bslow_M2_8_12,B_{s1}(5750),6.201814250685036
Bs,10.0,39.082499999999996,B_{s1}(5750),0.41016341336434203,-0.04013237872466828,0.41016341336434203,20.78194856126209,0.19895837824367288,20.78194856126209,0.3276456952412615,0.4036324835980108,0.29151087211940413,0.7078029869032909,0.0006861409773049986,0.0008452691147492476,0.6228425785470576,0.8427040568328161,0.8847912985324062,0.6561573080128956,Bslow_M2_8_12,B_{s1}(5750),6.251599795252412
Bs,10.0,39.7025,B_{s1}(5750),0.4141933501271638,-0.039418846914532894,0.4141933501271638,21.19232825693213,0.19194652782738633,21.19232825693213,0.3314479134481997,0.40726995210377825,0.2926965035175722,0.706623483667003,0.0006800128154247244,0.0008355725757533418,0.6336278804862189,0.8537560859132955,0.8917173130811852,0.6561573080128956,Bslow_M2_8_12,B_{s1}(5750),6.300991985394046
Bs,10.0,40.3225,B_{s1}(5750),0.4179827349352459,-0.03860301275379583,0.4179827349352459,21.581872121883706,0.1840834855257609,21.581872121883706,0.33509942731294656,0.410647357286878,0.2937205330025837,0.7056050470069949,0.000674419990421384,0.0008264675024626131,0.6445162723252174,0.8638473793018775,0.8982269556292487,0.6561573080128956,Bslow_M2_8_12,B_{s1}(5750),6.35
Bs,10.4,36.6025,B_{s1}(5750),0.3814819466196218,-0.042138621613561626,0.3814819466196218,17.97713204648221,0.219347697054739,17.97713204648221,0.3022016754070845,0.376833877430125,0.28819565774394384,0.7111064873136802,0.0006978549423760213,0.0008701982987522763,0.554546195706825,0.7719365577751683,0.841092449984,0.6561573080128956,Bslow_M2_8_12,B_{s1}(5750),6.05
Bs,10.4,37.2225,B_{s1}(5750),0.3867217469059926,-0.04195635504790892,0.3867217469059926,18.474369179219938,0.2174542660117413,18.474369179219938,0.30675305985361806,0.38178430101621796,0.2902325546579188,0.7090786391677064,0.0006888061743747853,0.0008572869132742274,0.5642542420493019,0.7876040850786835,0.8502889351692691,0.6561573080128956,Bslow_M2_8_12,B_{s1}(5750),6.101024504130433
Bs,10.4,37.8425,B_{s1}(5750),0.3916738651060494,-0.04161571365716828,0.3916738651060494,18.950541130044076,0.21393760101970213,18.950541130044076,0.31114317450498963,0.38641303147984357,0.2920393485538978,0.707280096282597,0.0006805551635052714,0.000845190913275571,0.5743848463406183,0.8021146616504947,0.8589531905155259,0.6561573080128956,Bslow_M2_8_12,B_{s1}(5750),6.151625801363409
Bs,10.4,38.4625,B_{s1}(5750),0.39635080658864613,-0.0411301245131591,0.39635080658864613,19.405816524256288,0.20897410638563263,19.405816524256288,0.31537558641617824,0.39073599148580057,0.2936339262340939,0.7056930480156562,0.0006730257502498055,0.000833848259491789,0.5848384617912586,0.8155159745458149,0.8671160178558431,0.6561573080128956,Bslow_M2_8_12,B_{s1}(5750),6.201814250685036
