fB_scheme,M2,s0_root,s0,GA_stage1_full,GB_hard_candidate,GB_soft2p_tensor_DA,GB_stage1_candidate,hard_qcd_side,G2460_candidate,G2536_candidate,Gamma2460_keV_candidate,Gamma2536_keV_candidate,fB
fB_converted_fT_M_over_msum,5.25,2.5,6.25,-0.29542539002523716,-0.37902541148349467,0.13438496937612027,-0.2446404421073744,-0.11888573791542052,-0.37037407492021157,-0.09974042115939066,28.834731328939473,3.087042148487512,0.4619457079970653
fB_equal_fT,5.5,2.5,6.25,-0.29702680740886134,-0.6798732478054502,0.2388107954118624,-0.4410624523935878,-0.12336594572063299,-0.5316068522788497,0.012456558157049574,59.404027459609466,0.04814999913293883,0.256
fB_converted_fT_M_over_msum,5.5,2.5,6.25,-0.29702680740886134,-0.3767705780682368,0.13234361217579524,-0.2444269658924416,-0.12336594572063299,-0.37112524020156434,-0.10117075694199762,28.951810869803868,3.176216973835109,0.4619457079970653
fB_equal_fT,5.75,2.5,6.25,-0.298444463002091,-0.6762387623941362,0.23553448735196023,-0.4407042750421759,-0.1276150645676153,-0.5321337333717449,0.011092580624232573,59.521837713893134,0.03818258714501732,0.256
fB_converted_fT_M_over_msum,5.75,2.5,6.25,-0.298444463002091,-0.37475642738085274,0.13052795538146847,-0.24422847199938427,-0.1276150645676153,-0.3717824449673366,-0.10244246017091646,29.05443991885061,3.256568088066768,0.4619457079970653
fB_equal_fT,6.0,2.5,6.25,-0.2997081966342864,-0.6729736961175434,0.23260230975320706,-0.44037138636433637,-0.1316482139116941,-0.5325923085230018,0.009868837842588851,59.624469797083336,0.030222625503132372,0.256
fB_converted_fT_M_over_msum,6.0,2.5,6.25,-0.2997081966342864,-0.37294700053190144,0.12890300800716453,-0.2440439925247369,-0.1316482139116941,-0.3723621424480326,-0.10358044356296692,29.14511615605106,3.3293212028474266,0.4619457079970653
fB_equal_fT,3.0,2.55,6.5024999999999995,-0.2854922016757867,-0.7989502317525216,0.3261463827240965,-0.47280384902842504,-0.06835836217642023,-0.5508468393670695,0.04021239153658754,63.78175624218152,0.5017876504862169,0.256
fB_converted_fT_M_over_msum,3.0,2.55,6.5024999999999995,-0.2854922016757867,-0.44276038458169814,0.18074304519330903,-0.2620173393883891,-0.06835836217642023,-0.37881604536804203,-0.08159220017609448,30.164177075261406,2.065843662517113,0.4619457079970653
fB_equal_fT,3.25,2.55,6.5024999999999995,-0.2946085906383665,-0.7832755690611471,0.30964596667735517,-0.473629602383792,-0.07610962344172045,-0.5567887425893916,0.03324933169069336,65.16518634778974,0.3430567781159332,0.256
fB_converted_fT_M_over_msum,3.25,2.55,6.5024999999999995,-0.2946085906383665,-0.4340738364018473,0.17159888293605816,-0.2624749534657892,-0.07610962344172045,-0.38445749628723047,-0.08876799211059683,31.069296263522418,2.44519194568478,0.4619457079970653
fB_equal_fT,3.5,2.55,6.5024999999999995,-0.30178842152049906,-0.7706919532194938,0.2965555879199623,-0.4741363652995315,-0.08351521277874092,-0.5613512508712097,0.027682438631981443,66.23753151034377,0.23779836008987412,0.256
fB_converted_fT_M_over_msum,3.5,2.55,6.5024999999999995,-0.30178842152049906,-0.4271002773889693,0.16434448722704145,-0.26275579016192785,-0.08351521277874092,-0.3888356176886476,-0.09446543835785326,31.780946654923298,2.769147262932792,0.4619457079970653
fB_equal_fT,3.75,2.55,6.5024999999999995,-0.30758674167727607,-0.7603975041684551,0.28594216799982314,-0.47445533616863195,-0.09056712642983109,-0.5649621784988332,0.023134531341382214,67.09242654796036,0.16608162124792103,0.256
fB_converted_fT_M_over_msum,3.75,2.55,6.5024999999999995,-0.30758674167727607,-0.42139532351356135,0.1584627668159215,-0.2629325566976398,-0.09056712642983109,-0.3923304870143205,-0.09909551950672141,32.35481078861533,3.0472508105741274,0.4619457079970653
fB_equal_fT,4.0,2.55,6.5024999999999995,-0.31236722425632474,-0.7518401274431152,0.2771792349086953,-0.47466089253441995,-0.09726798137719503,-0.5678923790823689,0.019351782123108396,67.79018684847354,0.11620962378173227,0.256
fB_converted_fT_M_over_msum,4.0,2.55,6.5024999999999995,-0.31236722425632474,-0.41665301634680457,0.1536065448995941,-0.2630464714472105,-0.09726798137719503,-0.39518589543004556,-0.10293122453163722,32.82748573311576,3.287717115384486,0.4619457079970653
fB_equal_fT,4.25,2.55,6.5024999999999995,-0.31637719044714513,-0.7446285336561383,0.26983195529294307,-0.4747965783631953,-0.10362709816260206,-0.5703203069245593,0.016157505070507894,68.37107691085083,0.08101189020337031,0.256
fB_converted_fT_M_over_msum,4.25,2.55,6.5024999999999995,-0.31637719044714513,-0.4126565120444466,0.14953484653965496,-0.26312166550479166,-0.10362709816260206,-0.39756445366387383,-0.10616045721543471,33.22384131636712,3.4972423129341714,0.4619457079970653
fB_equal_fT,4.5,2.55,6.5024999999999995,-0.31979025578626535,-0.7384784269935883,0.2635898573860858,-0.47488856960750253,-0.10965784525795542,-0.5723676502657263,0.01342513199175166,68.86283677523257,0.055929030630987774,0.256
fB_converted_fT_M_over_msum,4.5,2.55,6.5024999999999995,-0.31979025578626535,-0.4092482602123443,0.14607561521335025,-0.26317264499899407,-0.10965784525795542,-0.39957832577414537,-0.10891652924667833,33.56128612697617,3.6811859080178744,0.4619457079970653
fB_equal_fT,4.75,2.55,6.5024999999999995,-0.3227316689634612,-0.7331787521253185,0.25822580585906924,-0.47495294626624923,-0.11537585183286632,-0.5741199085077581,0.01106173467297411,69.28511842287351,0.03797052816708172,0.256
fB_converted_fT_M_over_msum,4.75,2.55,6.5024999999999995,-0.3227316689634612,-0.40631129869762506,0.1431029775913443,-0.2632083211062808,-0.11537585183286632,-0.40130716041727454,-0.11129651139794108,33.85233011291912,3.8438219877594726,0.4619457079970653
