sector,state,scenario,M2,s0,theta_deg,quoted_combo,GA_basis,GB_basis,f1_GeV,f2_GeV,rho_AB,g_low,g_high,g_quoted,Gamma_low_keV,Gamma_high_keV,Gamma_quoted_keV,chi_effective
Bs,B_{s1}(5750),lattice_fperp_s,14.4,38.0,35.3,low,0.2634188165352584,0.3361184834392098,0.448804208775972,0.19667693065789485,0.6561573080128956,0.33785661865444633,-0.045345566507526226,0.33785661865444633,14.100590190091408,0.2540048985592428,14.100590190091408,4.980468750000001
Bs,B_{s1}(5750),lattice_fperp_s,14.8,38.0,35.3,low,0.2605734267639315,0.3329291652385968,0.448804208775972,0.19667693065789485,0.6561573080128956,0.3345149740352982,-0.04535307530184672,0.3345149740352982,13.823039669707182,0.25408902711246256,13.823039669707182,4.980468750000001
Bs,B_{s1}(5750),lattice_fperp_s,15.200000000000001,38.0,35.3,low,0.2579467041381194,0.32997773241735057,0.448804208775972,0.19667693065789485,0.6561573080128956,0.3314251034879799,-0.04535187995281893,0.3314251034879799,13.568855871310154,0.25407563348625567,13.568855871310154,4.980468750000001
Bs,B_{s1}(5750),lattice_fperp_s,15.600000000000001,38.0,35.3,low,0.2555153701134144,0.32723943220702595,0.448804208775972,0.19667693065789485,0.6561573080128956,0.3285606027150066,-0.04534355124556142,0.3285606027150066,13.33531876114202,0.25398232192934683,13.33531876114202,4.980468750000001
Bs,B_{s1}(5750),lattice_fperp_s,16.0,38.0,35.3,low,0.2532592534329529,0.3246927547684028,0.448804208775972,0.19667693065789485,0.6561573080128956,0.32589854930014756,-0.045329381397360244,0.32589854930014756,13.120104156764972,0.25382360791059766,13.120104156764972,4.980468750000001
Bs,B_{s1}(5750),lattice_fperp_s,16.4,38.0,35.3,low,0.25116079752873893,0.3223189271917564,0.448804208775972,0.19667693065789485,0.6561573080128956,0.323418956375921,-0.04531043734867226,0.323418956375921,12.921215539548074,0.2536114963897466,12.921215539548074,4.980468750000001
Bs,B_{s1}(5750),lattice_fperp_s,16.8,38.0,35.3,low,0.24920465753845467,0.3201014982856044,0.448804208775972,0.19667693065789485,0.6561573080128956,0.32110432479983664,-0.04528760293383718,0.32110432479983664,12.73692929874716,0.253355943310353,12.73692929874716,4.980468750000001
Bs,B_{s1}(5750),lattice_fperp_s,17.200000000000003,38.0,35.3,low,0.24737736866715174,0.31802599586942754,0.448804208775972,0.19667693065789485,0.6561573080128956,0.3189392739127343,-0.04526161245248899,0.3189392739127343,12.565750452412757,0.25306522563146067,12.565750452412757,4.980468750000001
Bs,B_{s1}(5750),lattice_fperp_s,17.6,38.0,35.3,low,0.24566707172588198,0.31607964234692004,0.448804208775972,0.19667693065789485,0.6561573080128956,0.31691023539590035,-0.04523307754617233,0.31691023539590035,12.40637660389676,0.2527462393719815,12.40637660389676,4.980468750000001
Bs,B_{s1}(5750),lattice_fperp_s,18.0,38.0,35.3,low,0.24406328478066258,0.3142511174159444,0.448804208775972,0.19667693065789485,0.6561573080128956,0.3150051981092979,-0.045202508829615407,0.3150051981092979,12.257668419566038,0.2524047407212081,12.257668419566038,4.980468750000001
