scenario,ensemble,M2,s0_root,theta_deg,GA,GB,GB_hard,GB_soft2p,GB_3p,GB_em,T_A,T_B,transition_scheme,G2460,G2536,Gamma2460_keV,Gamma2536_keV,chi_effective,fperp_s_used_GeV
legacy_chi_condensate,theta_fixed,5.4285503449018515,2.5864651304175865,35.3,-0.300872125712182,-0.3208115669043924,-0.44428206148902205,0.1528646472141276,-0.0015150804176266694,-0.027879072211871317,-0.04306749671969895,-0.09544074947327172,rohrwild_nonlocal_exact_post_borel,-0.43568763089044776,-0.06016964167491312,39.97709458389787,1.1232629348075913,3.475005048860834,-0.04362064381968041
legacy_chi_condensate,theta_fixed,5.645481947766555,2.563329714337002,35.3,-0.3428562348504742,-0.3170441970505789,-0.4144784459248114,0.11945658929497312,-0.0011749948659801142,-0.020847345554760494,-0.0584956587598887,-0.10213161637401891,rohrwild_nonlocal_exact_post_borel,-0.4568737763055271,-0.0966114547226,44.03113978678125,2.8971220227822356,3.1526390664530717,-0.03290080342108255
legacy_chi_condensate,theta_fixed,3.6515083899664917,2.5632618065770876,35.3,-0.2172645175581028,-0.2922835496208204,-0.4418490620885942,0.1924183531221545,-0.0018153309916426983,-0.04103750966273802,-0.022769634904550765,-0.05810695210788283,rohrwild_nonlocal_exact_post_borel,-0.364091549786565,-0.008419462139533013,28.001563324207925,0.022012368414153185,4.079521914703316,-0.047520789095450586
legacy_chi_condensate,theta_fixed,3.735163443345087,2.593620795696085,35.3,-0.21750130032428658,-0.3176631651105465,-0.4600569949939078,0.1961559380620143,-0.002275363849227967,-0.05148674432942511,-0.026522609160727618,-0.062064777980455885,rohrwild_nonlocal_exact_post_borel,-0.3849416347362731,0.006053094858961161,31.11429281429144,0.011372404281005163,3.162812296131682,-0.04585612823489565
legacy_chi_condensate,theta_fixed,3.2707411935118462,2.594795931533656,35.3,-0.416965995431918,-0.34811608004010836,-0.45890812506202533,0.16364812221638003,-0.0021006600307763496,-0.050755417163686714,-0.029418798304664734,-0.06042840592336347,rohrwild_nonlocal_exact_post_borel,-0.5250575982010779,-0.13914009163550548,57.80197427157809,6.008421969843124,3.061397849381513,-0.037780763047298625
legacy_chi_condensate,theta_fixed,4.320521453991407,2.5835288562883827,35.3,-0.6064736543888164,-0.35951515708948795,-0.40504255098354436,0.0629566951180383,-0.0007970530982336561,-0.016632248125748265,-0.061816302142769716,-0.09126349615385893,rohrwild_nonlocal_exact_post_borel,-0.6438692590806094,-0.28721737213440246,86.95085141385209,25.603333813019752,2.8965936660011615,-0.01814812543116151
legacy_chi_condensate,theta_fixed,5.293293226204457,2.597921446488772,35.3,-0.35303156726619456,-0.29784055358292494,-0.4106211038759378,0.13757521397361538,-0.001238642769419203,-0.023556020911183324,-0.06025328695372025,-0.09820208593104865,rohrwild_nonlocal_exact_post_borel,-0.4470808544221381,-0.11601289779235688,42.019120646586394,4.178466681427734,3.0631178575534492,-0.03481709777485774
legacy_chi_condensate,theta_fixed,3.573078528310483,2.552867540115048,35.3,-0.3989371051229874,-0.3268329249252532,-0.3756449480668336,0.07609064309598713,-0.0011366952621915292,-0.026141924692215237,-0.04384366127147596,-0.07914552166888109,rohrwild_nonlocal_exact_post_borel,-0.4972694835521483,-0.13672467000101116,52.28279065682318,5.798267759530917,3.1362302379951865,-0.027072393258725777
legacy_chi_condensate,theta_fixed,3.4607247061965,2.5432751329887977,35.3,-0.2752187482424371,-0.37353774458954847,-0.4540535153937933,0.12396793466052054,-0.0018080392192151601,-0.04164412463706062,-0.031331594647608374,-0.06785751681721168,rohrwild_nonlocal_exact_post_borel,-0.4638954467184692,-0.008764732229371908,45.10242442078288,0.023843763684539943,3.2462062348857246,-0.034900720000971976
legacy_chi_condensate,theta_fixed,4.917646255260768,2.5945774168067115,35.3,-0.35568805275828985,-0.36715742364912773,-0.4614643035874283,0.12315128774558634,-0.0013798477019950598,-0.027464560105290744,-0.058511000730896885,-0.10186921038996963,rohrwild_nonlocal_exact_post_borel,-0.5051880281055399,-0.0781256735938024,53.38109500199032,1.894058670148918,3.2560107503525404,-0.03544072833228185
legacy_chi_condensate,theta_fixed,4.012955844884647,2.5618126140919304,35.3,-0.37114364945613915,-0.30962148117946575,-0.38290390003422314,0.10635113268593463,-0.0014541342325209464,-0.03161457959865627,-0.038858672537959056,-0.0829125272245408,rohrwild_nonlocal_exact_post_borel,-0.46716191706660787,-0.12398715006822095,45.9863701860726,4.767813550815241,3.05782465493222,-0.03581636453874864
legacy_chi_condensate,theta_fixed,4.51298578562981,2.534454288710791,35.3,-0.393777450137506,-0.31765967754442603,-0.3548636162974713,0.05617841472512008,-0.000913823892674779,-0.018060652079399993,-0.047049976906327104,-0.09279346029735279,rohrwild_nonlocal_exact_post_borel,-0.4868013055690021,-0.13781451255488225,49.676820083936484,5.894097844691546,3.3707640698294594,-0.026906944923376776
legacy_chi_condensate,theta_fixed,5.732234068710225,2.5991933661841444,35.3,-0.4066407735086813,-0.29015660601701426,-0.43479923890554617,0.17440572181299785,-0.001569495534018457,-0.028193593390447427,-0.04566671233660859,-0.09420329108547984,rohrwild_nonlocal_exact_post_borel,-0.47178818453776217,-0.16420561386753488,47.093072294214046,8.365910112332932,3.1755039799699976,-0.04411069545142889
