ensemble,M2,s0_root,theta_deg,GA,GB,GB_hard,GB_soft2p,GB_3p,GB_em,G2460,G2536,Gamma2460_keV,Gamma2536_keV,fB,hard_qcd_side,f1_tensor_matched,input_mc,input_ms,input_m_ds1,input_m_ds1_2536,input_m_ds,input_f_ds1,input_f_ds,input_fT,input_ss,input_chi,input_f3g,input_ec,input_es,input_omegaA,input_omegaV
theta_fixed,4.776582123805569,2.510542941809808,35.3,-0.38056930591417376,-0.2675156544965523,-0.3799968682835504,0.11254320681563423,0.00046335534727541923,-0.0005253483759115539,-0.4382444565983769,-0.1560109555944968,40.15843662075433,7.557184904826368,0.4829425441522388,-0.11884129196863207,0.05894489706406738,1.2203036897380706,0.0787074126899863,2.4585579092520504,2.5352349958644558,1.9683547510096062,0.23143944685102893,0.24942496765601166,0.25516898517125586,-0.010723007129149953,2.676164332598517,-0.002620638146693222,0.6666666666666666,-0.3333333333333333,-2.2813930698881224,5.1480322082505445
theta_fixed,4.212024784776628,2.5859619325391705,35.3,-0.3390724204419103,-0.3626953882942108,-0.5212483094876524,0.16435858748653726,0.0006290263254464638,-0.006434692618542066,-0.4919449235061526,-0.06714345262756194,50.789187390258675,1.399054861349397,0.37493623898420025,-0.10358409780206689,0.060201181910825866,1.294723182017876,0.0886335280420899,2.459167368711954,2.535078847463977,1.9683042880732515,0.26522951057490546,0.24989553563127237,0.21091307921636343,-0.009909047978897342,3.0594733944460875,-0.0036284298087485324,0.6666666666666666,-0.3333333333333333,-1.9044528724459444,5.8199772118141935
theta_fixed,3.425592257382516,2.5236610491201743,35.3,-0.3185651209483913,-0.2985493504784056,-0.5097028329369173,0.22934680995388076,0.0009724511634069949,-0.01916577865877604,-0.42774263142212454,-0.08747395166572489,38.424244567101965,2.3726122360002626,0.37585343169897734,-0.07810319163893063,0.059964380990403014,1.2800537906479839,0.0965802869660735,2.4593856884452534,2.5349990096290105,1.96840007314027,0.2248720177544679,0.25068334071958265,0.21038287922708526,-0.012935122141778768,3.0488576431535517,-0.004049773372868927,0.6666666666666666,-0.3333333333333333,-3.2231478487322587,6.468428876905364
theta_fixed,4.35680580263074,2.5984813858561564,35.3,-0.3494035098801655,-0.24243788448795361,-0.39116977634980155,0.1520215034359662,0.0005261601941236076,-0.0038157717682418815,-0.39976815296074175,-0.14506675852837622,33.53110062000747,6.529777273901129,0.5101814606444648,-0.11281775805212851,0.05970529046061099,1.264107324807104,0.08555460045448075,2.4592141838644808,2.5351379377747034,1.968397552244682,0.22596181600654666,0.2500508320444365,0.27999695875376457,-0.011748109798903941,3.3131150305052786,-0.004258302097059535,0.6666666666666666,-0.3333333333333333,-1.6357398289999527,4.092584441736924
theta_fixed,3.507007908061878,2.526069535783141,35.3,-0.2829235981411927,-0.2180122843048933,-0.38690222289705767,0.1829596379009789,0.0008011600228776467,-0.014870859331692177,-0.3414175786243695,-0.10492452286891377,24.357462402561666,3.417192598974306,0.4936331445793126,-0.07931840818839338,0.060076099466043614,1.2856892079786042,0.10518592120279797,2.4584571763717116,2.5351864261290125,1.968371512458403,0.24614703838980026,0.2494102453484163,0.2792735502304979,-0.014215577788057062,2.9060711630804037,-0.005149252508018887,0.6666666666666666,-0.3333333333333333,-1.6670284264087276,1.805258625362213
theta_fixed,4.313928336946598,2.5887360288346852,35.3,-0.4071023546136583,-0.2652221985193732,-0.3985413025118039,0.13670542841727368,0.00045349290931265827,-0.0038398173341556226,-0.451705005453343,-0.17899086504017447,42.95580566844856,9.934798348980836,0.4924035357592327,-0.10827370966113421,0.059942897620247564,1.279368404738517,0.09121596863127376,2.459820183123485,2.5350036326724803,1.968390890898151,0.2108368443785489,0.2506744830481501,0.2743617586902927,-0.009653685554733216,3.5380523359966856,-0.0059114455673096025,0.6666666666666666,-0.3333333333333333,-1.4055030990441049,4.987829662325193
theta_fixed,5.367820192520089,2.5832423662437543,35.3,-0.3438809026995181,-0.28777064406893094,-0.48201333071465996,0.19445457430492719,0.0007248919434609573,-0.0009367796026591206,-0.43357464145103175,-0.11436367045479112,39.50152600951854,4.057586069343973,0.3950101760491413,-0.12944656084526987,0.060057207044759024,1.285979449216617,0.10579753497466893,2.459515366230606,2.535133953771209,1.9684287611721227,0.21647542058224933,0.2502428801897612,0.22352617881347128,-0.014321745763015864,2.857206590680786,-0.004166569152822811,0.6666666666666666,-0.3333333333333333,-3.9263038137138446,3.731999028377181
theta_fixed,5.3147513784351545,2.5781551202774677,35.3,-0.3625340395380058,-0.27381897046570325,-0.415753853920571,0.14150633799756532,0.0004767357324207683,-4.819027511829726e-05,-0.43296701351969746,-0.1376492775661251,39.307807972434965,5.875914377419922,0.46136263800734584,-0.13315220000625008,0.05959297142349978,1.2573227600203996,0.0919911951252337,2.45910190437285,2.5350208071258873,1.9683935621218294,0.2334761329227322,0.2500114952295004,0.25315056880689873,-0.011106113479655276,3.1783260152805224,-0.0038330602283407453,0.6666666666666666,-0.3333333333333333,-0.424613871528861,2.367239673234118
theta_fixed,3.362587210514401,2.5792639303088274,35.3,-0.4123856265749435,-0.3004729523354751,-0.4406551280607694,0.15229642006971375,0.000674661359893701,-0.012788905704313116,-0.4835274497058457,-0.1629328250284954,49.04143596886116,8.2355134047515,0.4717691932781414,-0.0851977387563173,0.05925068964694617,1.237820288218777,0.08837662481560353,2.4591012080899888,2.535028191276839,1.9683285848844942,0.2431451148565393,0.24942546981027952,0.2544258226265308,-0.011160516522128008,2.788774379337487,-0.004187788012970585,0.6666666666666666,-0.3333333333333333,-3.2318337549047023,4.6046893114498175
theta_fixed,5.920495486598005,2.544424204822252,35.3,-0.4624923742140571,-0.2628680047509015,-0.3604322905318187,0.09652935840095295,0.0003863819233562457,0.0006485454566079605,-0.48179120456540303,-0.22555713096972427,48.93934305694675,15.810662195348163,0.5021642782847441,-0.1388659170125821,0.05982982835877491,1.2727762456885274,0.07208503353771163,2.4598512668371177,2.535229222301388,1.9681560834587526,0.184666859585523,0.25036805418831726,0.27454558036921367,-0.010369286464748374,2.5896100434220255,-0.005706570705919564,0.6666666666666666,-0.3333333333333333,-1.774642514103794,2.2785782623342374
theta_fixed,4.60401448049885,2.547631253046711,35.3,-0.3339439926621592,-0.24052772117231636,-0.37221707226288364,0.13346407075409067,0.0005201905672480087,-0.0022949102307713736,-0.38927579698194503,-0.13355346783802846,31.892926701562153,5.530466076271333,0.5083154164461186,-0.1147298187861106,0.05951553768995985,1.2537805381297191,0.0830705505400454,2.4598583434218737,2.535073846837174,1.9684862117909663,0.2376466357978085,0.24992220037221835,0.27625250034451865,-0.012124885907988525,2.8852769768394815,-0.006281245524602616,0.6666666666666666,-0.3333333333333333,-2.215486414732689,3.0071175025358845
theta_fixed,4.188057999607863,2.5459163310719486,35.3,-0.42580253950040714,-0.28104403697339986,-0.39501581039282646,0.11714822798030913,0.0004687830747157133,-0.0036452376355982433,-0.47542384697403894,-0.1851100188852757,47.54111954468232,10.631304759149062,0.4864217927301142,-0.10401072613201016,0.05940559237523229,1.247262113971902,0.09860685509661984,2.4596099041090045,2.535071674880363,1.9683469891537246,0.2297567081651169,0.24999911411416936,0.2661641570154972,-0.009752009756257321,2.901671516676699,-0.0020024183679394282,0.6666666666666666,-0.3333333333333333,-2.9503006552180864,5.203564607350001
theta_fixed,5.544821758475499,2.5330520343886853,35.3,-0.3405786878680584,-0.2355458948305684,-0.3965153254116314,0.16059034741513256,0.0005218122732461,-0.0001427291073156459,-0.38904385044738254,-0.14184707832922103,31.698368335430388,6.241590150246572,0.45292126185099185,-0.1278401100381455,0.0600222848758184,1.2829339807210838,0.0855881796106766,2.45892964802186,2.535128127160759,1.9684412128351871,0.18348012624821908,0.25013640451645697,0.25207422433868504,-0.0120696107559423,3.4080035901677883,-0.002857597747011246,0.6666666666666666,-0.3333333333333333,-2.1910224651083143,2.7814931041866897
theta_fixed,4.8315455478686795,2.5842797498136045,35.3,-0.44772014704015756,-0.35808421447210914,-0.4563192951733875,0.09923272393926799,0.0003979239996634749,-0.0013955672376531375,-0.5509644884022735,-0.15847954833160258,64.10694361585442,7.792964516415801,0.4255341342996191,-0.12231542709972504,0.0597120077194886,1.2661773758828843,0.0894071105325624,2.4603718442846607,2.5351227220869172,1.9683849842410768,0.2431982403643015,0.25025503075180294,0.2344554024371491,-0.007994879198511821,2.6984652964673153,-0.004371285725411806,0.6666666666666666,-0.3333333333333333,-2.0572438231709897,3.060694195462031
