accepted,M2_GeV2,s0_mix_GeV2,mc_GeV,ms_GeV,ss_GeV3,m0_sq_GeV2,theta_deg,theta_matrix_deg,Pi12_normalized,s01_GeV2,s02_GeV2,m_eff1_GeV,m_eff2_GeV,f1_GeV,f2_GeV,pole_fraction1,pole_fraction2,d5_fraction1,d5_fraction2
0,2.5676780356680022,10.120357825102827,1.2885149029899239,0.1087807081374957,-0.010821987567583364,0.9576754089265948,26.34384884632135,30.972578060081695,0.2037035687756709,7.7,9.725,2.4588370099328105,2.5348191984444606,0.3709303756998069,0.16213942318609084,0.4999778278686709,0.629521239535838,0.01890528678810221,0.08304842983265874
1,2.3230617834637903,9.58764031241594,1.3006705047295573,0.08983932042599943,-0.009799618304646164,0.9483689764457671,26.350359576424918,31.57927906271267,0.2406777249501935,7.925,10.175,2.459294188472297,2.5357532087547776,0.3894650819538443,0.16303415805569085,0.5869655807747346,0.7240664319756466,0.018262709180175748,0.0929309210002182
1,2.671865681259318,9.385291855134511,1.2430736162282492,0.09210216186909889,-0.01249334724658067,0.9966860340605188,27.023503987254436,30.16240129116754,0.14100735117953098,7.875,9.8,2.459852821691173,2.5352375909929097,0.4088473211565006,0.17218207293505103,0.5095316998098508,0.6041518906971955,0.019163759896609494,0.08624523246011398
1,2.262319114937663,9.988265506815225,1.265123742194635,0.11182919726739593,-0.00993973604203314,0.7111371337712498,27.035709397320932,31.077610209374136,0.1785273693913024,8.025,10.025,2.458953259712833,2.5352233963159003,0.39877667676216727,0.1678645384834473,0.618496156531437,0.7301480342572348,0.014596983187425803,0.07394816260432015
1,2.6495395657264003,9.880080362480719,1.2676962569815933,0.11115436424714562,-0.009815448397313428,0.43658031416840093,26.64956557156357,30.973912932188917,0.1955494580428235,8.075,9.175,2.4601816113523753,2.535213825059401,0.40088932330073285,0.1570343856483811,0.5234451291683516,0.5629603341001613,0.006552500969413233,0.0349581585108182
1,2.4575269787941263,10.943743616538303,1.269456087388291,0.09043029407653991,-0.00998527106131824,0.8162726198750091,26.523248277984006,30.068059275311622,0.16168359988823813,8.125,9.85,2.459711187557774,2.5352865352668887,0.41372027060060595,0.1661217184502172,0.5795724059997466,0.6664465627631799,0.013616803587634813,0.07098499168113709
0,2.5752096439292647,9.39187816070644,1.3134942820703888,0.07578037545449053,-0.013344285438912348,0.9299149825649344,26.953718690217446,30.939540060840574,0.18967051355660336,7.325,9.625,2.4589131613664916,2.5347316027470717,0.35336273640015975,0.15250551512602276,0.46093935112380624,0.6020293481249055,0.024699147461468417,0.1104248790148222
1,2.3085786687356147,10.757744437556104,1.2433634153047204,0.0991198561533969,-0.01029641208601935,0.8288136197949314,26.5606696590299,29.94957626525089,0.149606825060238,8.2,10.25,2.459405768095199,2.5350817589698154,0.42394862537995964,0.17641799859113072,0.6301324269480209,0.739656813449091,0.015833408447751003,0.07892307713543065
1,2.0647495846600785,9.27031918120733,1.29130760056674,0.09157268157532195,-0.012546951732423043,0.7528142867120029,26.805071736984768,31.030137044644682,0.19047433193013488,7.175,10.45,2.460234703927238,2.5346496558091065,0.3520577990192727,0.1636032435899392,0.581968145663082,0.807486796831031,0.028605529880567495,0.129724470498533
1,2.411959534015647,9.682493571256504,1.2474095786686639,0.08155923721946655,-0.010808127914255202,0.8016628479835389,26.62815966486703,30.263121457180095,0.16872047844192875,8.2,10.0,2.458687672526125,2.5358581677904466,0.4324910648350152,0.17205991849575272,0.6057461784941206,0.6903470306760685,0.014396065345965355,0.07579035298627086
1,2.299802605016314,9.117372623046304,1.2527197801302732,0.08969385633916237,-0.013537759648588181,1.2331913564851735,26.02092019077795,30.33044805057106,0.1837355815891191,7.425,11.025,2.4603182189047264,2.535718295483842,0.3795893828184813,0.1835221890182943,0.5529426168212798,0.7926943683722413,0.03855222321485639,0.14256696187971193
1,2.0779423876522927,10.937207938271252,1.270820228792496,0.09748395901058732,-0.010616594603649025,0.6110167179699295,26.611861483142185,30.411827550325437,0.17129653007431708,7.95,10.25,2.45903386675339,2.535666905620628,0.4004930657753381,0.1670384995545729,0.6649055255298658,0.7969093957276225,0.015631209636696466,0.08587856209584051
1,2.5556271695029507,9.852832021235757,1.2812463907215514,0.07694076487586386,-0.009813408125901445,0.6529794749461425,26.265484897195698,30.720391465083267,0.21390839188686955,8.175,9.5,2.45996155022735,2.5347144398659185,0.41913962886025385,0.15855437069034115,0.5596171885056488,0.6120223142886355,0.009664212952293302,0.05539444234064432
1,2.364316989944364,9.218834364002388,1.2616755021814139,0.0869302511397709,-0.012120237769654742,0.8057316597585543,27.05576338671389,30.679320722807763,0.166881592567681,7.85,9.975,2.4602002996271803,2.5347129023911825,0.40302997202853846,0.16760065032218177,0.5801362356123717,0.6952486229609001,0.018824536895700242,0.09298759853441964
