M2,s0_root,GA,GB,GB_em,G2460,G2536,Gamma2460_keV,Gamma2536_keV
5.125,2.55,-0.3554955661489707,-0.2636256799330922,-0.000870096708110511,-0.420580650437551,-0.13779518550838019,37.182049636489815,5.892074796076556
5.25,2.55,-0.35500896776263763,-0.26329893034957536,-0.0005265351814189778,-0.4200327932323446,-0.13758686901212075,37.08524448729602,5.874273178716105
5.375,2.55,-0.35458109267449994,-0.2630048655429317,-0.00021709112927782302,-0.41954554500775887,-0.13740759165941466,36.99925482568226,5.858974654440252
5.5,2.55,-0.35420507631691683,-0.2627399080621643,6.20525306643054e-05,-0.41911201932880937,-0.13725381827590488,36.9228300372373,5.845868388406021
5.625,2.55,-0.3538749608472231,-0.26250093509151795,0.00031421467141626996,-0.4187262247633623,-0.13712249098513046,36.854886049044,5.834686844881123
5.75,2.55,-0.35358555901740835,-0.2622852120506173,0.0005422906766311966,-0.4183829320267679,-0.13701095647712028,36.79447985729876,5.825198915418362
5.875,2.55,-0.3533323409984527,-0.26209033715199914,0.0007488145198807073,-0.4180775633337578,-0.13691690567933237,36.740788461450684,5.817204276460024
6.0,2.55,-0.35311133987017,-0.26191419490459983,0.0009360105769227583,-0.4178060998374785,-0.13683832349172656,36.693091355893145,5.810528731856432
3.0,2.6,-0.4188195812483839,-0.29832236501129145,-0.0224906123441604,-0.485490184312815,-0.16942655057254416,49.54452363934362,8.907649121791646
3.125,2.6,-0.413771841496643,-0.29574946890226794,-0.019298280653450673,-0.48047347218142267,-0.16679366804955234,48.52589773228846,8.632951138171133
3.25,2.6,-0.4095724189688781,-0.2935859947397748,-0.016595003197569045,-0.476281111266568,-0.1646165415079673,47.68276885436864,8.409053393278421
3.375,2.6,-0.40606064828512267,-0.29175688682406253,-0.014289893165325394,-0.4727590040755475,-0.1628074174001276,46.980146619937706,8.225239226517738
3.5,2.6,-0.4031110248724912,-0.29020312610728993,-0.012311928832952174,-0.4697864591705503,-0.16129797133315313,46.39121417453198,8.073427955729933
3.625,2.6,-0.40062447246820965,-0.2888778208928578,-0.010605001069185578,-0.4672679545014798,-0.16003444016910962,45.895144909138466,7.947436627355939
3.75,2.6,-0.3985220242054486,-0.2877433621581903,-0.009124336490532826,-0.4651271643252145,-0.1589741087400476,45.47557064252265,7.8424717217166915
3.875,2.6,-0.39674018693434787,-0.28676932514951364,-0.007833877988575568,-0.46330256785578805,-0.158082739075592,45.11948815124761,7.754772618772505
4.0,2.6,-0.3952274972431037,-0.28593090199899945,-0.00670434170085668,-0.4617441799348482,-0.15733266536642512,44.81646626056195,7.681357246257339
4.125,2.6,-0.393941932952907,-0.28520771744602913,-0.005711758649661891,-0.46041108870987846,-0.15670136573250124,44.55806259425562,7.619837800350869
4.25,2.6,-0.39284894662693143,-0.28458292448363776,-0.004836368151405889,-0.4592695812054414,-0.1561703798834079,44.33738889310467,7.568285332972764
4.375,2.6,-0.39191995672907237,-0.28404250695796296,-0.004061769611017389,-0.458291702252947,-0.15572448069452208,44.1487831432714,7.525128947407149
4.5,2.6,-0.3911311792181946,-0.28357473684743084,-0.003374266227254536,-0.45745413638362287,-0.15535103424251456,43.98755952074567,7.489079855421005
4.625,2.6,-0.39046271498415314,-0.28316974832835456,-0.002762352719007705,-0.45673733287538526,-0.15503950115702517,43.84981572824343,7.459073530328327
4.75,2.6,-0.3898978313912024,-0.28281920085219275,-0.0022163121822194594,-0.4561248156119061,-0.154781044954607,43.73228314467004,7.434225192805028
4.875,2.6,-0.3894223924061994,-0.2825160106651063,-0.0017278963900943447,-0.45560263466086826,-0.15456822208840276,43.63220924923814,7.413795231559314
5.0,2.6,-0.3890244034156288,-0.2822541353888732,-0.0012900704382168779,-0.4551589274313999,-0.15439473493776884,43.54726461555136,7.397162105044358
5.125,2.6,-0.38869364526160927,-0.28202840005744806,-0.0008968074035743186,-0.4547835652208875,-0.15425523365740473,43.47546878168691,7.3838009318239175
5.25,2.6,-0.38842137819406164,-0.28183435577742044,-0.0005429221702257055,-0.45446786678896595,-0.15414515623572014,43.4151307459204,7.373266446298639
5.375,2.6,-0.38820010099175706,-0.281668164237725,-0.000223936143948759,-0.45420436490781324,-0.15406059864141267,43.36480088546989,7.365179333028333
5.5,2.6,-0.3880233538995681,-0.28152650283270675,6.403350974640961e-05,-0.45398661505530524,-0.1539982088185106,43.323231863806605,7.359215196914466
5.625,2.6,-0.3878855565796754,-0.28140648632311344,0.0003243650352004499,-0.45380903783847637,-0.1539550997010542,43.289346660679236,7.355095605257666
5.75,2.6,-0.3877818742055828,-0.28130560184151704,0.0005600075098198026,-0.4536667885704062,-0.15392877748500097,43.26221228365376,7.352580769885992
5.875,2.6,-0.3877081063007749,-0.28122165472386024,0.0007735435403714849,-0.4535556488258795,-0.1539170822069288,43.241018039820474,7.351463536171243
6.0,2.6,-0.3876605940552403,-0.2811527231692798,0.0009672416175840484,-0.45347193587971,-0.1539181383017338,43.225057489145634,7.3515644199584615
