M2,s0_root,s0,theta_deg,GA,GB,T_A,T_B,T_A_pert,T_A_tw2,T_A_tw3,T_A_tw4,T_A_3p_g,T_A_3p_gamma,T_B_pert,T_B_tw2,T_B_tw3,T_B_tw4,T_B_3p_g,T_B_3p_gamma,GB_hard,GB_soft2p,GB_3p,GB_em,G_low_combo,G_high_combo,Gamma_low_combo_keV,Gamma_high_combo_keV,fB_effective,hard_qcd_side,f1_tensor_matched,chi_effective,fperp_s_used_GeV,transition_scheme,state,m_initial,m_final,quoted_combo,mass_comment,scenario,mb_MSbar,ms_MSbar,f_Bs,f_Bs1_A_working,fT_Bs1_working,G_quoted,Gamma_quoted_keV
14.0,6.05,36.6025,35.3,0.3137422348272804,0.41313276955184125,0.04567164018718673,0.09159754848604933,-0.011085219537125197,0.05215168311463067,0.0,0.003884483610315629,7.442695081562207e-05,0.0006462660485500099,0.03785183773630768,0.05101662424974402,-0.002746340950696887,0.0037999395017831337,-0.00016175359829187903,0.0018372415472032643,0.17072328697759193,0.23485252293804335,-0.0007295578664692951,0.008286517502675271,0.5184715254112461,0.017324910670095256,26.197986459353714,0.02925230558898249,0.22471315655866592,0.03785183773630768,-0.15625,3.15,-0.034836479999999996,rohrwild_nonlocal_exact_post_borel,Bs1_lower_model_5720_low_combo,5.72,5.36692,low,model lower 1+ partner diagnostic,legacy_chi_condensate,4.18,0.093,0.2303,0.14753936745002144,0.1678670136320244,0.5184715254112461,26.197986459353714
8.0,6.15,37.822500000000005,35.3,0.48168310508170015,0.5938716334067606,0.01349440772021472,0.025339939790364013,-0.003461606573042055,0.014455583847924273,0.0,0.0021577563549583733,2.9189139052281013e-05,0.0003134849513218471,0.008875897235372328,0.01414096430711993,-0.0006154708131655445,0.0021107937195707937,-6.343734656609683e-05,0.0008911926880326005,0.20801721048783098,0.36645499179301916,-0.0014867296819120615,0.020886160807822473,0.7630252185137436,0.04994643729452475,56.74085524528471,0.24312360352186105,0.22471315655866592,0.008875897235372328,-0.15625,3.15,-0.034836479999999996,rohrwild_nonlocal_exact_post_borel,Bs1_lower_model_5720_low_combo,5.72,5.36692,low,model lower 1+ partner diagnostic,legacy_chi_condensate,4.18,0.093,0.2303,0.14753936745002144,0.1678670136320244,0.7630252185137436,56.74085524528471
8.5,6.15,37.822500000000005,35.3,0.45340212484540887,0.564437952474696,0.015926000287452037,0.03019673300860676,-0.0040375933245880725,0.017224281077182057,0.0,0.002354566861351666,3.3190716695973475e-05,0.0003515549568104138,0.010860310980356272,0.016849402036653638,-0.0007435869277505464,0.0023033207302714637,-7.213405623401103e-05,0.000999420245309948,0.20300115549730396,0.3441039445204423,-0.0013483312579812856,0.018681183714931045,0.7226609050360798,0.043873743179638325,50.89641757864928,0.1875976834316277,0.22471315655866592,0.010860310980356272,-0.15625,3.15,-0.034836479999999996,rohrwild_nonlocal_exact_post_borel,Bs1_lower_model_5720_low_combo,5.72,5.36692,low,model lower 1+ partner diagnostic,legacy_chi_condensate,4.18,0.093,0.2303,0.14753936745002144,0.1678670136320244,0.7226609050360798,50.89641757864928
9.0,6.15,37.822500000000005,35.3,0.4305610699104672,0.5403597304853839,0.0184915856595959,0.03534621815879906,-0.0046265532096759435,0.020151712859455134,0.0,0.0025407652409270816,3.7205958085442694e-05,0.00038845481080418474,0.013006745405413841,0.01971311953019482,-0.000882574127691469,0.0024854665825123335,-8.086046159711782e-05,0.001104321229966647,0.19884224700321446,0.3258711989921594,-0.0012361644190402653,0.016882448909050125,0.689810885225189,0.039146083808269005,46.37438681653594,0.14934639258095134,0.22471315655866592,0.013006745405413841,-0.15625,3.15,-0.034836479999999996,rohrwild_nonlocal_exact_post_borel,Bs1_lower_model_5720_low_combo,5.72,5.36692,low,model lower 1+ partner diagnostic,legacy_chi_condensate,4.18,0.093,0.2303,0.14753936745002144,0.1678670136320244,0.689810885225189,46.37438681653594
9.5,6.15,37.822500000000005,35.3,0.4118063272423148,0.5203507067930447,0.021171783942274352,0.04074564248704349,-0.005222852348421348,0.02321316454463429,0.0,0.002716345221651037,4.120858835372553e-05,0.0004239179360566469,0.01529672749538492,0.02270794004132257,-0.0010318285326582442,0.002657225140767923,-8.955945895535491e-05,0.001205137801181675,0.19535004182042776,0.3107539395946808,-0.0011437377084492029,0.015390463086385425,0.6626431978049241,0.035402000221597896,42.7934777322237,0.12214443772208536,0.22471315655866592,0.01529672749538492,-0.15625,3.15,-0.034836479999999996,rohrwild_nonlocal_exact_post_borel,Bs1_lower_model_5720_low_combo,5.72,5.36692,low,model lower 1+ partner diagnostic,legacy_chi_condensate,4.18,0.093,0.2303,0.14753936745002144,0.1678670136320244,0.6626431978049241,42.7934777322237
10.0,6.15,37.822500000000005,35.3,0.39618543677902157,0.5034955510245385,0.023948343872786042,0.0463546385125574,-0.005821767732858118,0.02638564182879445,0.0,0.0028815310205378866,4.517783948891161e-05,0.0004577609168229096,0.017712043322882346,0.02581136972720824,-0.001190752901168987,0.0028188157420660814,-9.818591276818143e-05,0.001301348534337909,0.19238495431712382,0.29804206577808234,-0.0010664773114058604,0.014135008240738238,0.639860420941716,0.03239308459498258,39.901441770923064,0.10226398308257542,0.22471315655866592,0.017712043322882346,-0.15625,3.15,-0.034836479999999996,rohrwild_nonlocal_exact_post_borel,Bs1_lower_model_5720_low_combo,5.72,5.36692,low,model lower 1+ partner diagnostic,legacy_chi_condensate,4.18,0.093,0.2303,0.14753936745002144,0.1678670136320244,0.639860420941716,39.901441770923064
10.5,6.15,37.822500000000005,35.3,0.38301175943676125,0.4891274510544854,0.026804344662312105,0.052135759655515514,-0.006419401791554252,0.029648086095996826,0.0,0.003036695577885683,4.9097523447689844e-05,0.0004898672565361569,0.02023519780209946,0.02900280830359624,-0.0013587672651963147,0.002970603209820303,-0.00010670464123349234,0.0013926222464293082,0.1898426490363252,0.28722057576248733,-0.0010010819738137252,0.013065308229486537,0.6205215645647327,0.0299442674319762,37.52596346274395,0.08738672816931042,0.22471315655866592,0.02023519780209946,-0.15625,3.15,-0.034836479999999996,rohrwild_nonlocal_exact_post_borel,Bs1_lower_model_5720_low_combo,5.72,5.36692,low,model lower 1+ partner diagnostic,legacy_chi_condensate,4.18,0.093,0.2303,0.14753936745002144,0.1678670136320244,0.6205215645647327,37.52596346274395
11.0,6.15,37.822500000000005,35.3,0.37177966066458845,0.47675056671694305,0.029724293244016337,0.05805474364002695,-0.0070125850037823295,0.03298144746342973,0.0,0.00318230224135123,5.295522206850772e-05,0.0005201733209492024,0.02284970857615435,0.03226362050014891,-0.0015353156221239853,0.0031130408071257058,-0.00011508865570949495,0.0014787780344314644,0.18764377947382363,0.27790805233589433,-0.0009451179764466771,0.01214385288367179,0.6039297700954613,0.02792940638907443,35.546019121323376,0.07602238745386816,0.22471315655866592,0.02284970857615435,-0.15625,3.15,-0.034836479999999996,rohrwild_nonlocal_exact_post_borel,Bs1_lower_model_5720_low_combo,5.72,5.36692,low,model lower 1+ partner diagnostic,legacy_chi_condensate,4.18,0.093,0.2303,0.14753936745002144,0.1678670136320244,0.6039297700954613,35.546019121323376
11.5,6.15,37.822500000000005,35.3,0.3621097464180289,0.4659894539146354,0.03269414680827934,0.06408058463283167,-0.007598777710311786,0.03636866268469014,0.0,0.0033188637248066514,5.6741596118861634e-05,0.0005486565129754673,0.025540275932585395,0.03557711444465359,-0.0017198698322855395,0.003246630088858367,-0.00012331765905320292,0.0015597516580730492,0.18572707010785985,0.26981673792787186,-0.0008967572460440879,0.011342403124947728,0.5895593877518962,0.02625581695926993,33.87452484017723,0.06718451182223457,0.22471315655866592,0.025540275932585395,-0.15625,3.15,-0.034836479999999996,rohrwild_nonlocal_exact_post_borel,Bs1_lower_model_5720_low_combo,5.72,5.36692,low,model lower 1+ partner diagnostic,legacy_chi_condensate,4.18,0.093,0.2303,0.14753936745002144,0.1678670136320244,0.5895593877518962,33.87452484017723
12.0,6.15,37.822500000000005,35.3,0.3537125596854091,0.4565552191878835,0.03570128395123129,0.07018547592350867,-0.008175977360075576,0.039794572335072984,0.0,0.003446913644921104,6.0449805316560484e-05,0.0005753255259962125,0.02829286273177091,0.03892846065073838,-0.001911931562999024,0.003371893057751045,-0.00013137678514091213,0.0016355678313882815,0.18404454733674785,0.2627259369927675,-0.0008546035507628156,0.010639338409131047,0.577007375780938,0.02485420168293373,32.447468769672085,0.06020294409622225,0.22471315655866592,0.02829286273177091,-0.15625,3.15,-0.034836479999999996,rohrwild_nonlocal_exact_post_borel,Bs1_lower_model_5720_low_combo,5.72,5.36692,low,model lower 1+ partner diagnostic,legacy_chi_condensate,4.18,0.093,0.2303,0.14753936745002144,0.1678670136320244,0.577007375780938,32.447468769672085
