sector,state,scan,M2_GeV2,s0_GeV2,theta_deg,width_keV
Ds,Ds1_2536,M2,4.3,7.5,26.6,0.6631710607307203
Ds,Ds1_2460,M2,4.3,7.5,27.200000000000003,30.0611580119451
Ds,Ds1_2536,M2,4.3,7.5,27.200000000000003,0.969377116170846
Ds,Ds1_2460,M2,4.35,7.5,26.0,30.208955078020022
Ds,Ds1_2536,M2,4.35,7.5,26.0,0.37877775599411306
Ds,Ds1_2460,M2,4.35,7.5,26.6,30.181732382543828
Ds,Ds1_2536,M2,4.35,7.5,26.6,0.6176538536591107
Ds,Ds1_2460,M2,4.35,7.5,27.200000000000003,30.147905771826228
Ds,Ds1_2536,M2,4.35,7.5,27.200000000000003,0.914478566425906
Ds,Ds1_2460,M2,4.4,7.5,26.0,30.292538624957476
Ds,Ds1_2536,M2,4.4,7.5,26.0,0.3454528265402277
Ds,Ds1_2460,M2,4.4,7.5,26.6,30.266339723551457
Ds,Ds1_2536,M2,4.4,7.5,26.6,0.5751185629354789
Ds,Ds1_2460,M2,4.4,7.5,27.200000000000003,30.23351730219122
Ds,Ds1_2536,M2,4.4,7.5,27.200000000000003,0.862847634286778
Ds,Ds1_2460,M2,4.45,7.5,26.0,30.37507829007424
Ds,Ds1_2536,M2,4.45,7.5,26.0,0.3146291478074334
Ds,Ds1_2460,M2,4.45,7.5,26.6,30.349874345278323
Ds,Ds1_2536,M2,4.45,7.5,26.6,0.5353598943079075
Ds,Ds1_2460,M2,4.45,7.5,27.200000000000003,30.318027578232574
Ds,Ds1_2536,M2,4.45,7.5,27.200000000000003,0.8142670543004087
Ds,Ds1_2460,M2,4.5,7.5,26.0,30.456605142033265
Ds,Ds1_2536,M2,4.5,7.5,26.0,0.28612873699004576
Ds,Ds1_2460,M2,4.5,7.5,26.6,30.432368444816106
Ds,Ds1_2536,M2,4.5,7.5,26.6,0.4981884852387765
Ds,Ds1_2460,M2,4.5,7.5,27.200000000000003,30.401469913935617
Ds,Ds1_2536,M2,4.5,7.5,27.200000000000003,0.7685361576575462
Ds,Ds1_2460,M2,3.0,8.0,26.0,32.01353563929737
Ds,Ds1_2536,M2,3.0,8.0,26.0,2.5019005744001763
Ds,Ds1_2460,M2,3.0,8.0,26.6,31.948007592912745
Ds,Ds1_2536,M2,3.0,8.0,26.6,3.0998096419688608
Ds,Ds1_2460,M2,3.0,8.0,27.200000000000003,31.875547327754802
Ds,Ds1_2536,M2,3.0,8.0,27.200000000000003,3.7609715713521044
Ds,Ds1_2460,M2,3.05,8.0,26.0,32.22844001577243
Ds,Ds1_2536,M2,3.05,8.0,26.0,2.2406732913052063
Ds,Ds1_2460,M2,3.05,8.0,26.6,32.16595625915186
Ds,Ds1_2536,M2,3.05,8.0,26.6,2.8096294891799847
Ds,Ds1_2460,M2,3.05,8.0,27.200000000000003,32.09648564872894
Ds,Ds1_2536,M2,3.05,8.0,27.200000000000003,3.4422056418958005
Ds,Ds1_2460,M2,3.1,8.0,26.0,32.43879504892396
Ds,Ds1_2536,M2,3.1,8.0,26.0,2.0049464573612332
Ds,Ds1_2460,M2,3.1,8.0,26.6,32.37923621587483
Ds,Ds1_2536,M2,3.1,8.0,26.6,2.5461873131296384
Ds,Ds1_2460,M2,3.1,8.0,27.200000000000003,32.312637530604626
Ds,Ds1_2536,M2,3.1,8.0,27.200000000000003,3.1514028212806053
Ds,Ds1_2460,M2,3.15,8.0,26.0,32.644826290769686
Ds,Ds1_2536,M2,3.15,8.0,26.0,1.7921117732514862
Ds,Ds1_2460,M2,3.15,8.0,26.6,32.58808010687877
Ds,Ds1_2536,M2,3.15,8.0,26.6,2.306796497093197
Ds,Ds1_2460,M2,3.15,8.0,27.200000000000003,32.52424259817787
Ds,Ds1_2536,M2,3.15,8.0,27.200000000000003,2.885799141564112
Ds,Ds1_2460,M2,3.2,8.0,26.0,32.846740035976204
Ds,Ds1_2536,M2,3.2,8.0,26.0,1.599865285549403
Ds,Ds1_2460,M2,3.2,8.0,26.6,32.79270076133124
Ds,Ds1_2536,M2,3.2,8.0,26.6,2.089081222345594
Ds,Ds1_2460,M2,3.2,8.0,27.200000000000003,32.73152011541856
Ds,Ds1_2536,M2,3.2,8.0,27.200000000000003,2.642947779597199
Ds,Ds1_2460,M2,3.25,8.0,26.0,33.04472555538954
Ds,Ds1_2536,M2,3.25,8.0,26.0,1.4261669767362255
Ds,Ds1_2460,M2,3.25,8.0,26.6,32.993293479906455
Ds,Ds1_2536,M2,3.25,8.0,26.6,1.8909354226604347
Ds,Ds1_2460,M2,3.25,8.0,27.200000000000003,32.93467132284045
Ds,Ds1_2536,M2,3.25,8.0,27.200000000000003,2.4206773897186014
Ds,Ds1_2460,M2,3.3,8.0,26.0,33.23895702459341
Ds,Ds1_2536,M2,3.3,8.0,26.0,1.269206366910343
Ds,Ds1_2460,M2,3.3,8.0,26.6,33.1900380103233
Ds,Ds1_2536,M2,3.3,8.0,26.6,1.7104878216353903
Ds,Ds1_2460,M2,3.3,8.0,27.200000000000003,33.13388145884211
Ds,Ds1_2536,M2,3.3,8.0,27.200000000000003,2.2170565883961557
Ds,Ds1_2460,M2,3.35,8.0,26.0,33.429595193709595
Ds,Ds1_2536,M2,3.35,8.0,26.0,1.1273731398981497
Ds,Ds1_2460,M2,3.35,8.0,26.6,33.383100259151924
Ds,Ds1_2536,M2,3.35,8.0,26.6,1.546072056826712
Ds,Ds1_2460,M2,3.35,8.0,27.200000000000003,33.32932151250659
Ds,Ds1_2536,M2,3.35,8.0,27.200000000000003,2.0303635863964753
Ds,Ds1_2460,M2,3.4,8.0,26.0,33.61678883707144
Ds,Ds1_2536,M2,3.4,8.0,26.0,0.999231983269826
Ds,Ds1_2460,M2,3.4,8.0,26.6,33.572633779093934
Ds,Ds1_2536,M2,3.4,8.0,26.6,1.3962010726056266
Ds,Ds1_2460,M2,3.4,8.0,27.200000000000003,33.52114974761404
Ds,Ds1_2536,M2,3.4,8.0,27.200000000000003,1.8590601430733604
Ds,Ds1_2460,M2,3.45,8.0,26.0,33.80067601514835
Ds,Ds1_2536,M2,3.45,8.0,26.0,0.8835009743840013
Ds,Ds1_2460,M2,3.45,8.0,26.6,33.75878106461864
Ds,Ds1_2536,M2,3.45,8.0,26.6,1.2595451072552073
Ds,Ds1_2460,M2,3.45,8.0,27.200000000000003,33.70951303123285
Ds,Ds1_2536,M2,3.45,8.0,27.200000000000003,1.7017691619104667
Ds,Ds1_2460,M2,3.5,8.0,26.0,33.9813851759264
Ds,Ds1_2536,M2,3.5,8.0,26.0,0.7790329601029344
Ds,Ds1_2460,M2,3.5,8.0,26.6,33.9416746836041
Ds,Ds1_2536,M2,3.5,8.0,26.6,1.1349127161972452
Ds,Ds1_2460,M2,3.5,8.0,27.200000000000003,33.89454799496435
Ds,Ds1_2536,M2,3.5,8.0,27.200000000000003,1.5572553636397275
Ds,Ds1_2460,M2,3.55,8.0,26.0,34.15903611866877
Ds,Ds1_2536,M2,3.55,8.0,26.0,0.6847994717517359
Ds,Ds1_2460,M2,3.55,8.0,26.6,34.12143826829671
Ds,Ds1_2536,M2,3.55,8.0,26.6,1.0212343679091334
