input_set,transition_scheme,M2,s0_root,s0,g1_GeV_inv,width_keV,qcd_side,pert,heavy_local,legacy_heavy_local_diagnostic,twist2,twist4_2p,twist3_2p
project_inputs_chi_positive_rohrwild_local_free_stage1,rohrwild_local_free,3.0,2.55,6.5024999999999995,-0.2854922016757867,17.132598971398334,-0.021468847165807513,-0.05141745388022929,0.0,-0.0041466589598807245,0.024542246432882248,0.005406360281539573,-4.411266838595554e-17
project_inputs_chi_positive_rohrwild_local_free_stage1,rohrwild_local_free,3.25,2.55,6.5024999999999995,-0.2946085906383665,18.24423100937199,-0.02516013411398323,-0.05745121293881985,0.0,-0.004334326395267839,0.026807993081853082,0.005483085742983585,-4.597525957345841e-17
project_inputs_chi_positive_rohrwild_local_free_stage1,rohrwild_local_free,3.5,2.55,6.5024999999999995,-0.30178842152049906,19.14431787308768,-0.02874285431978278,-0.063232045844697,0.0,-0.00450193358418762,0.02894284069207809,0.005546350832836178,-4.763423703316121e-17
project_inputs_chi_positive_rohrwild_local_free_stage1,rohrwild_local_free,3.75,2.55,6.5024999999999995,-0.30758674167727607,19.887032010077885,-0.03219882843454007,-0.06874991115478339,0.0,-0.0046524297180261485,0.030951974420839426,0.005599108299403945,-4.9120362949784607e-17
project_inputs_chi_positive_rohrwild_local_free_stage1,rohrwild_local_free,4.0,2.55,6.5024999999999995,-0.31236722425632474,20.510000287369692,-0.03551831977089434,-0.07400382818611699,0.0,-0.004788237257495481,0.032841959291737347,0.0056435491234853525,-5.04587080542506e-17
project_inputs_chi_positive_rohrwild_local_free_stage1,rohrwild_local_free,4.25,2.55,6.5024999999999995,-0.31637719044714513,21.03996823064229,-0.03869736382718548,-0.0789986752158562,0.0,-0.0049113575368091855,0.03461998637633544,0.005681325012335331,-5.1669850925499724e-17
project_inputs_chi_positive_rohrwild_local_free_stage1,rohrwild_local_free,4.5,2.55,6.5024999999999995,-0.31979025578626535,21.496373651306673,-0.04173588952885672,-0.08374299188503775,0.0,-0.005023454300872238,0.036293403159274755,0.005713699196906333,-5.277080579778854e-17
project_inputs_chi_positive_rohrwild_local_free_stage1,rohrwild_local_free,4.75,2.55,6.5024999999999995,-0.3227316689634612,21.893637215772586,-0.04463640267122945,-0.088247481120646,0.0,-0.005125919431852715,0.037869427898609725,0.005741650550806872,-5.377574046697624e-17
project_inputs_chi_positive_rohrwild_local_free_stage1,rohrwild_local_free,5.0,2.55,6.5024999999999995,-0.3252939534648347,22.242660400653197,-0.04740306607816501,-0.0925239955507595,0.0,-0.005219924659722206,0.0393549827437705,0.00576594672882405,-5.469653377592446e-17
project_inputs_chi_positive_rohrwild_local_free_stage1,rohrwild_local_free,5.25,2.55,6.5024999999999995,-0.32754689020789035,22.551825929321,-0.050041059021268756,-0.09658485851244479,0.0,-0.005306462362190647,0.04075660312316487,0.005787196368011218,-5.554321086150873e-17
project_inputs_chi_positive_rohrwild_local_free_stage1,rohrwild_local_free,5.5,2.55,6.5024999999999995,-0.32954407789415063,22.82767982853965,-0.052556133138756234,-0.10044241573662101,0.0,-0.005386377900398216,0.04208039570050774,0.0058058868973570885,-5.632428511345681e-17
project_inputs_chi_positive_rohrwild_local_free_stage1,rohrwild_local_free,5.75,2.55,6.5024999999999995,-0.33132735760021853,23.07540560477846,-0.054954306689012765,-0.10410874581166485,0.0,-0.005460395383643557,0.0433320268241132,0.005822412298538945,-5.704702865020581e-17
project_inputs_chi_positive_rohrwild_local_free_stage1,rohrwild_local_free,6.0,2.55,6.5024999999999995,-0.33292986670007707,23.299159982198525,-0.05724165625594371,-0.10759547967852512,0.0,-0.0055291383173971306,0.04451672967604632,0.005837093746535142,-5.771768772243913e-17
project_inputs_chi_positive_rohrwild_local_free_stage1,rohrwild_local_free,3.0,2.6,6.760000000000001,-0.3111130885937285,20.345638062299212,-0.023395522928805704,-0.05383610466231825,0.0,-0.0041466589598807245,0.02503422145197302,0.005406360281539573,-4.411266838595554e-17
project_inputs_chi_positive_rohrwild_local_free_stage1,rohrwild_local_free,3.25,2.6,6.760000000000001,-0.3213494226775567,21.70649975555825,-0.027443852042804234,-0.060318063457398784,0.0,-0.004334326395267839,0.027391125671611012,0.005483085742983585,-4.597525957345841e-17
project_inputs_chi_positive_rohrwild_local_free_stage1,rohrwild_local_free,3.5,2.6,6.760000000000001,-0.32952817099357795,22.82547612412524,-0.031384836321460795,-0.06654862811260531,0.0,-0.00450193358418762,0.02961744095830839,0.005546350832836178,-4.763423703316121e-17
project_inputs_chi_positive_rohrwild_local_free_stage1,rohrwild_local_free,3.75,2.6,6.760000000000001,-0.33622241556411475,23.7622782819754,-0.03519647113383811,-0.07251295553953079,0.0,-0.0046524297180261485,0.03171737610628878,0.005599108299403945,-4.9120362949784607e-17
project_inputs_chi_positive_rohrwild_local_free_stage1,rohrwild_local_free,4.0,2.6,6.760000000000001,-0.3418105854189055,24.558722163170074,-0.03886623413480444,-0.07820656844765146,0.0,-0.004788237257495481,0.03369678518936172,0.0056435491234853525,-5.04587080542506e-17
project_inputs_chi_positive_rohrwild_local_free_stage1,rohrwild_local_free,4.25,2.6,6.760000000000001,-0.3465521532996037,25.244801083343898,-0.042388184629794746,-0.08363186461209492,0.0,-0.0049113575368091855,0.03556235496996489,0.005681325012335331,-5.1669850925499724e-17
project_inputs_chi_positive_rohrwild_local_free_stage1,rohrwild_local_free,4.5,2.6,6.760000000000001,-0.350630809341557,25.84252219771771,-0.04576089627281681,-0.08879568259317717,0.0,-0.005023454300872238,0.03732108712345408,0.005713699196906333,-5.277080579778854e-17
project_inputs_chi_positive_rohrwild_local_free_stage1,rohrwild_local_free,4.75,2.6,6.760000000000001,-0.35418021126527716,26.368373091242375,-0.04898599068072219,-0.09370761557714173,0.0,-0.005125919431852715,0.038979974345612727,0.005741650550806872,-5.377574046697624e-17
project_inputs_chi_positive_rohrwild_local_free_stage1,rohrwild_local_free,5.0,2.6,6.760000000000001,-0.35729994752657857,26.83494160136829,-0.05206710066978927,-0.09837885101962655,0.0,-0.005219924659722206,0.04054580362101329,0.00576594672882405,-5.469653377592446e-17
project_inputs_chi_positive_rohrwild_local_free_stage1,rohrwild_local_free,5.25,2.6,6.760000000000001,-0.3600657722701667,27.252003030220944,-0.05500913945564941,-0.10282137840300701,0.0,-0.005306462362190647,0.04202504257934643,0.005787196368011218,-5.554321086150873e-17
project_inputs_chi_positive_rohrwild_local_free_stage1,rohrwild_local_free,5.5,2.6,6.760000000000001,-0.36253636477858037,27.627265481793387,-0.0578177874616935,-0.10704745416906931,0.0,-0.005386377900398216,0.04342377981001879,0.0058058868973570885,-5.632428511345681e-17
project_inputs_chi_positive_rohrwild_local_free_stage1,rohrwild_local_free,5.75,2.6,6.760000000000001,-0.3647579121175695,27.966891139005156,-0.060499133892647994,-0.11106924605569998,0.0,-0.005460395383643557,0.04474769986451311,0.005822412298538945,-5.704702865020581e-17
project_inputs_chi_positive_rohrwild_local_free_stage1,rohrwild_local_free,6.0,2.6,6.760000000000001,-0.36676728932704145,28.27586768518539,-0.06305942843060015,-0.11489860237047063,0.0,-0.0055291383173971306,0.04600208019333538,0.005837093746535142,-5.771768772243913e-17
colangelo_inputs_chi_positive_local_benchmark_stage1,colangelo_local_benchmark,3.0,2.5,6.25,-0.2448654693916428,12.603461563563176,-0.0181117842561885,-0.04302719807906396,-0.004049880333831748,-0.004049880333831748,0.023358365883731903,0.005606928272975349,-4.3727099313716314e-17
colangelo_inputs_chi_positive_local_benchmark_stage1,colangelo_local_benchmark,3.25,2.5,6.25,-0.251448405245048,13.290230730744934,-0.021122029596458706,-0.04813623055364277,-0.004261051931028792,-0.004261051931028792,0.02557088365623854,0.005704369231974364,-4.5818997639189385e-17
colangelo_inputs_chi_positive_local_benchmark_stage1,colangelo_local_benchmark,3.5,2.5,6.25,-0.2565977404143223,13.84013750715454,-0.02403805717938244,-0.05302733534852039,-0.004450808778064736,-0.004450808778064736,0.027654969218631163,0.00578511772857157,-4.769152674713338e-17
colangelo_inputs_chi_positive_local_benchmark_stage1,colangelo_local_benchmark,3.75,2.5,6.25,-0.2607286521181641,14.289343247442169,-0.02684605242762994,-0.05769225518451219,-0.004622094433858464,-0.004622094433858464,0.029615552121325876,0.005852745069414884,-4.937617554780172e-17
colangelo_inputs_chi_positive_local_benchmark_stage1,colangelo_local_benchmark,4.0,2.5,6.25,-0.26411262965489785,14.66267094218989,-0.029538969460625116,-0.06213054702251081,-0.004777373973040371,-0.004777373973040371,0.03145902613188317,0.005909925403042943,-5.089898750444347e-17
colangelo_inputs_chi_positive_local_benchmark_stage1,colangelo_local_benchmark,4.25,2.5,6.25,-0.2669338405547903,14.977592817728794,-0.03211434485426676,-0.06634677679897884,-0.0049187163710853535,-0.0049187163710853535,0.033192457965372,0.005958690350425499,-5.22816004895553e-17
colangelo_inputs_chi_positive_local_benchmark_stage1,colangelo_local_benchmark,4.5,2.5,6.25,-0.26932119147172934,15.246698204226725,-0.03457277111043677,-0.07034860734586663,-0.005047864420730654,-0.005047864420730654,0.034823096539263645,0.006000604116896929,-5.354208774780749e-17
colangelo_inputs_chi_positive_local_benchmark_stage1,colangelo_local_benchmark,4.75,2.5,6.25,-0.27136737884257245,15.479254091609313,-0.036916834848474786,-0.07414550383029872,-0.005166292524241334,-0.005166292524241334,0.03635807562385827,0.00603688588220706,-5.46956302761514e-17
colangelo_inputs_chi_positive_local_benchmark_stage1,colangelo_local_benchmark,5.0,2.5,6.25,-0.2731406441993306,15.68221517034971,-0.039150380548884506,-0.07774786396930344,-0.005275253869198157,-0.005275253869198157,0.037804240620462344,0.006068496669154803,-5.575505235863149e-17
colangelo_inputs_chi_positive_local_benchmark_stage1,colangelo_local_benchmark,5.25,2.5,6.25,-0.2746922705606474,15.860892733557558,-0.04127800190989739,-0.08116643971996329,-0.005375818737038458,-0.005375818737038458,0.03916805464676369,0.006096201900340727,-5.67312482450348e-17
colangelo_inputs_chi_positive_local_benchmark_stage1,colangelo_local_benchmark,5.5,2.5,6.25,-0.27606150330162305,16.019407420293167,-0.04330469231974704,-0.08441195868806872,-0.005468905576442396,-0.005468905576442396,0.040455554882303194,0.006120617062460937,-5.763352301164061e-17
colangelo_inputs_chi_positive_local_benchmark_stage1,colangelo_local_benchmark,5.75,2.5,6.25,-0.2772788642846686,16.16100195224,-0.04523560662714534,-0.08749488217536311,-0.005555306240990668,-0.005555306240990668,0.04167234032478051,0.006142241464427983,-5.846986596201886e-17
colangelo_inputs_chi_positive_local_benchmark_stage1,colangelo_local_benchmark,6.0,2.5,6.25,-0.2783684355102466,16.28826126785711,-0.04707590080883083,-0.09042525647839936,-0.005635706543584311,-0.005635706543584311,0.04282357872311569,0.0061614834900372,-5.924717096806923e-17
colangelo_inputs_chi_positive_local_benchmark_stage1,colangelo_local_benchmark,3.0,2.55,6.5024999999999995,-0.27060767304474737,15.392705603423995,-0.020015838919356165,-0.04548998228182687,-0.004049880333831748,-0.004049880333831748,0.02391709542332715,0.005606928272975349,-4.3727099313716314e-17
colangelo_inputs_chi_positive_local_benchmark_stage1,colangelo_local_benchmark,3.25,2.55,6.5024999999999995,-0.27814090082210285,16.261644530478847,-0.023364237818190896,-0.051036379904376906,-0.004261051931028792,-0.004261051931028792,0.02622882478524048,0.005704369231974364,-4.5818997639189385e-17
