fB_scheme,M2,s0_root,s0,GA_stage1_full,GB_twist2_only,G2460_using_partial_GB,G2536_using_partial_GB,Gamma2460_keV_partial,Gamma2536_keV_partial,fB
fB_equal_fT,4.75,2.5,6.25,-0.3285698471944077,0.2174253230953895,-0.012417612130340344,-0.3937990839469683,0.03241238063028583,48.1226535315957,0.256
fB_converted_fT_M_over_msum,4.75,2.5,6.25,-0.3285698471944077,0.12049226077618046,-0.09152832801062961,-0.3377855748309719,1.7609450643250864,35.40644812457864,0.4619457079970653
fB_equal_fT,5.0,2.5,6.25,-0.32942290194456664,0.21426114011439118,-0.015492964994420905,-0.392666846734455,0.05045495566407221,47.846330234626535,0.256
fB_converted_fT_M_over_msum,5.0,2.5,6.25,-0.32942290194456664,0.11873874119776993,-0.09345238544490789,-0.33746850022108277,1.835758436650524,35.34000824383799,0.4619457079970653
fB_equal_fT,5.25,2.5,6.25,-0.3301591722180165,0.21147267205269812,-0.018194197989426508,-0.3916564070512768,0.06958258879104026,47.600403553460595,0.256
fB_converted_fT_M_over_msum,5.25,2.5,6.25,-0.3301591722180165,0.11719343444107642,-0.09513902776837024,-0.3371764307763371,1.9026204821255654,35.27886315922863,0.4619457079970653
fB_equal_fT,5.5,2.5,6.25,-0.33080115175968633,0.20899756088399069,-0.02058520202668801,-0.39075008882726164,0.08907278201113372,47.38035763170932,0.256
fB_converted_fT_M_over_msum,5.5,2.5,6.25,-0.33080115175968633,0.1158217830798452,-0.0966294567776078,-0.3369077552152728,1.9626995631236854,35.22266236321517,0.4619457079970653
fB_equal_fT,5.75,2.5,6.25,-0.331365966027381,0.2067864012234717,-0.022716194774254406,-0.3899333195139807,0.10846907015632834,47.182490104767716,0.256
fB_converted_fT_M_over_msum,5.75,2.5,6.25,-0.331365966027381,0.11459640775262933,-0.0979559138750534,-0.3366606288949889,2.016954360200199,35.17100873166815,0.4619457079970653
fB_equal_fT,6.0,2.5,6.25,-0.3318668622526693,0.20479956633202284,-0.02462717211725643,-0.3891940120617529,0.12748639512603976,47.00374519328964,0.256
fB_converted_fT_M_over_msum,6.0,2.5,6.25,-0.3318668622526693,0.11349534820514214,-0.09914397666348213,-0.33643317347876023,2.06617650415455,35.12350015293893,0.4619457079970653
fB_equal_fT,3.0,2.55,6.5024999999999995,-0.34063437055481355,0.26727002609284745,0.02129094684390287,-0.43244853663000815,0.09528503569406208,58.03219897746606,0.256
fB_converted_fT_M_over_msum,3.0,2.55,6.5024999999999995,-0.34063437055481355,0.1481150825633466,-0.07595588161440153,-0.36359394402850004,1.212711699829987,41.0235694743835,0.4619457079970653
fB_equal_fT,3.25,2.55,6.5024999999999995,-0.3453606965250696,0.25706750082705776,0.010233138963515104,-0.43041026190450427,0.022011644657992574,57.48643783035367,0.256
fB_converted_fT_M_over_msum,3.25,2.55,6.5024999999999995,-0.3453606965250696,0.14246107079783682,-0.08330147664822381,-0.36418406250874424,1.4586132343469942,41.1568412874471,0.4619457079970653
