M2,s0_root,GA,GB,GB_em,G2460,G2536,Gamma2460_keV,Gamma2536_keV,plot_M2
4.5,2.5533333333333332,-0.36126878451301736,-0.2671034728406249,-0.0032876550420075316,-0.42675510620879786,-0.1404972568833751,38.28178696662521,6.125419738696101,4.5
4.5,2.5566666666666666,-0.3634007401424856,-0.26828751227723446,-0.003293943005695198,-0.4289534121164878,-0.14155301979695153,38.67719795307452,6.217824233280657,4.5
4.5,2.56,-0.3655330024778485,-0.26947046302938416,-0.0033002153702694765,-0.431151006740206,-0.1426096621293534,39.07451162748384,6.310998334588928,4.5
4.5,2.5633333333333335,-0.3676655357083717,-0.2706523077140114,-0.0033064721329090804,-0.4333478551994757,-0.1436671646990295,39.47371966390898,6.404942062440128,4.5
4.5,2.566666666666667,-0.36979830416302717,-0.2718330290575256,-0.0033127132910341062,-0.4355439227838949,-0.144725508375189,39.87481363937114,6.499655392254833,4.5
4.5,2.5700000000000003,-0.371931272310961,-0.27301260989583076,-0.003318938842305166,-0.43773917495342474,-0.14578467407817017,40.27778503480666,6.595138255153911,4.5
4.5,2.5733333333333333,-0.3740644047619587,-0.27419103317434457,-0.003325148784622525,-0.4399335773386742,-0.14684464277980896,40.68262523602208,6.691390538061562,4.5
4.5,2.5766666666666667,-0.37619766626690143,-0.27536828194801394,-0.003331343116125231,-0.4421270957411766,-0.14790539550380272,41.089325534653106,6.788412083811999,4.5
4.5,2.58,-0.37833102171820876,-0.2765443393813244,-0.003337521835190243,-0.4443196961336525,-0.14896691332606574,41.497877129126955,6.886202691259465,4.5
4.5,2.5833333333333335,-0.3804644361502807,-0.27771918874830653,-0.003343684940431557,-0.4465113446602711,-0.15002917737508636,41.90827112562942,6.984762115392369,4.5
4.5,2.586666666666667,-0.3825978747399267,-0.2788928134325384,-0.0033498324306993313,-0.4487020076368996,-0.151092168832276,42.32049853907532,7.084090067450703,4.5
4.5,2.59,-0.38473130280678763,-0.28006519692714277,-0.003355964305079004,-0.45089165155134514,-0.15215586893231475,42.73455029408239,7.184186215047061,4.5
4.5,2.5933333333333333,-0.38686468581375094,-0.28123632283478117,-0.003362080562890419,-0.4530802430635895,-0.15322025896349384,43.15041722594899,7.285050182291301,4.5
4.5,2.5966666666666667,-0.3889979893673566,-0.2824061748676429,-0.003368181203686934,-0.4552677490060152,-0.15428532026805328,43.56809008163496,7.38668154991862,4.5
4.5,2.6,-0.39113117921819407,-0.2835747368474302,-0.0033742662272545384,-0.457454136383622,-0.1553510342425145,43.9875595207455,7.489079855421001,4.5
5.5,2.5,-0.32083942030330864,-0.24389909994801573,6.0017841909602355e-05,-0.3844547288793446,-0.12091015680382247,31.068848978156094,4.53655031948914,5.5
5.5,2.5033333333333334,-0.323047347955066,-0.24515556525281165,6.015513459031785e-05,-0.3867560452728752,-0.1219860715004494,31.441913688253848,4.617646196466092,5.5
5.5,2.506666666666667,-0.3252577792828162,-0.2464120557029547,6.0292193690138436e-05,-0.38905882895673033,-0.12306401501073688,31.817444862388292,4.699615458665405,5.5
5.5,2.51,-0.32747067860457935,-0.2476685517124028,6.042901881135782e-05,-0.3913630433269006,-0.1241439695312237,32.195440739537396,4.782460806212962,5.5
5.5,2.513333333333333,-0.3296860103031722,-0.24892503376779415,6.056560956030814e-05,-0.393668651876137,-0.12522591726933247,32.57589943548629,4.866184899923948,5.5
5.5,2.5166666666666666,-0.33190373882691854,-0.2501814824286914,6.070196554735387e-05,-0.39597561819456073,-0.1263098404438089,32.958818943180745,4.950790361152676,5.5
5.5,2.52,-0.33412382869035934,-0.25143787832782666,6.0838086386886e-05,-0.39828390597027336,-0.12739572128515944,33.34419713309049,5.036279771646224,5.5
5.5,2.5233333333333334,-0.336346244474955,-0.252694202171339,6.097397169731595e-05,-0.40059347898995656,-0.12848354203608703,33.73203175358095,5.122655673401863,5.5
5.5,2.526666666666667,-0.33857095082977956,-0.2539504347390123,6.110962110106945e-05,-0.4029043011394675,-0.12957328495192066,34.122320431293915,5.209920568527934,5.5
5.5,2.5300000000000002,-0.34079791247221175,-0.25520655688450683,6.124503422458045e-05,-0.4052163364044268,-0.1306649323010453,34.515060671536794,5.298076919108663,5.5
5.5,2.533333333333333,-0.34302709418861616,-0.2564625495355879,6.138021069828479e-05,-0.40752954887079906,-0.13175846636532546,34.910249858680274,5.3871271470723965,5.5
5.5,2.5366666666666666,-0.3452584608350232,-0.25771839369435384,6.151515015661405e-05,-0.40984390272547194,-0.13285386944052896,35.30788525656524,5.47707363406377,5.5
5.5,2.54,-0.34749197733779713,-0.2589740704374553,6.164985223798914e-05,-0.41215936225682076,-0.13395112383674496,35.70796400891686,5.567918721319283,5.5
5.5,2.5433333333333334,-0.3497276086943027,-0.260229560916316,6.178431658481386e-05,-0.4144758918552743,-0.13505021187880045,36.11048313976817,5.659664709546688,5.5
5.5,2.546666666666667,-0.35196531997356384,-0.26148484635734803,6.191854284346849e-05,-0.4167934560138709,-0.13615111590667386,36.51543955389133,5.752313858807987,5.5
5.5,2.55,-0.35420507631691645,-0.26273990806216374,6.205253066430321e-05,-0.4191120193288087,-0.13725381827590494,36.92283003723717,5.845868388406027,5.5
5.5,2.5533333333333332,-0.3564468429386546,-0.2639947274077842,6.218627970163161e-05,-0.42143154649998915,-0.13835830135800173,37.332651257382665,5.940330476774704,5.5
5.5,2.5566666666666666,-0.35869058512667207,-0.26524928584684426,6.231978961372396e-05,-0.42375200233155524,-0.13946454754084597,37.744899763986545,6.035702261372914,5.5
5.5,2.56,-0.36093626824309616,-0.2665035649077961,6.245306006280054e-05,-0.42607335173242344,-0.14057253922909246,38.15957198925284,6.131985838581828,5.5
5.5,2.5633333333333335,-0.36318385772491785,-0.26775754619510556,6.258609071502481e-05,-0.42839555971680865,-0.1416822588445699,38.57666424840202,6.229183263606142,5.5
5.5,2.566666666666667,-0.3654333190846137,-0.26901121138944906,6.271888124049673e-05,-0.4307185914047439,-0.1427936888266749,38.996172740150016,6.327296550378588,5.5
5.5,2.5700000000000003,-0.36768461791076334,-0.27026454224790425,6.285143131324574e-05,-0.4330424120225928,-0.14390681163276547,39.41809354719481,6.426327671468189,5.5
5.5,2.5733333333333333,-0.3699377198686598,-0.2715175206041393,6.298374061122385e-05,-0.4353669869035569,-0.14502160973855005,39.84242263671046,6.526278557991978,5.5
5.5,2.5766666666666667,-0.37219259070091676,-0.27277012836859843,6.311580881629879e-05,-0.43769228148817796,-0.14613806563847562,40.26915586084908,6.627151099530425,5.5
5.5,2.58,-0.37444919622806555,-0.274022347528683,6.324763561424671e-05,-0.44001826132483046,-0.14725616184611046,40.69828895724928,6.7289471440461615,5.5
5.5,2.5833333333333335,-0.3767075023491493,-0.2752741601489293,6.337922069474525e-05,-0.44234489207021044,-0.14837588089452616,41.12981754955239,6.83166849780646,5.5
5.5,2.586666666666667,-0.3789674750423124,-0.27652554837118615,6.35105637513663e-05,-0.44467213948982065,-0.14949720533667638,41.563737147926325,6.935316925309157,5.5
5.5,2.59,-0.38122908036538045,-0.2777764944147842,6.364166448156883e-05,-0.4469999694584442,-0.15062011774577214,42.00004314959549,7.039894149212053,5.5
5.5,2.5933333333333333,-0.3834922844564381,-0.2790269805767072,6.377252258669157e-05,-0.4493283479606183,-0.1517446007156542,42.438730839378785,7.145401850265771,5.5
5.5,2.5966666666666667,-0.3857570535343982,-0.28027698923175487,6.390313777194567e-05,-0.4516572410910955,-0.15287063686116395,42.87979539023342,7.25184166725022,5.5
5.5,2.6,-0.38802335389956766,-0.2815265028327062,6.403350974640734e-05,-0.4539866150553046,-0.15399820881851056,43.32323186380648,7.359215196914464,5.5
