M2,s0_root,s0,g1_GeV_inv,g1_stage2_GeV_inv,F1_integral,F1_delta_g1,em_delta_g1,width_keV,width_stage2_keV,pert,heavy_local,legacy_heavy_local_diagnostic,twist2,twist4_2p,twist3_2p,F1_delta_qcd,em_delta_qcd,em_qcd_unmasked,em_Sgamma_direct_kernel,em_T4gamma_direct_kernel,em_T4gamma_P_kernel,em_kernel_total
5.5,2.5,6.25,-0.29702680740886134,-0.3208394203033091,0.07032985001580344,0.0012124767657635876,-0.02502508966021133,18.54496611585747,21.6376551836586,-0.0938767108014362,0.0,-0.005386377900398216,0.040700588833510146,0.0058058868973570885,-5.632428511345681e-17,0.0001933674267075966,-0.0039910349850493364,-0.0039910349850493364,0.0,0.0,1.2741464515198362,1.2741464515198362
5.75,2.5,6.25,-0.298444463002091,-0.31991772556513864,0.07032985001580344,0.0011807996671279728,-0.02265406223017565,18.722412150366335,21.513514161761556,-0.09720362603205857,0.0,-0.005460395383643557,0.04188089879350214,0.005822412298538945,-5.704702865020581e-17,0.00019584868426087375,-0.003757426771414399,-0.003757426771414399,0.0,0.0,1.218748779714626,1.218748779714626
6.0,2.5,6.25,-0.2997081966342864,-0.319161357544207,0.07032985001580344,0.0011524898764980215,-0.02060565078641861,18.881304260073907,21.411907423091506,-0.1003638355952279,0.0,-0.0055291383173971306,0.042996989535171594,0.005837093746535142,-5.771768772243913e-17,0.00019815113015494293,-0.003542792933950726,-0.003542792933950726,0.0,0.0,1.16796758055985,1.16796758055985
3.0,2.55,6.5024999999999995,-0.2854922016757867,-0.3910424583500184,0.07032985001580344,0.0020138934259256976,-0.10756415010015732,17.132598971398334,32.14271656220438,-0.05141745388022929,0.0,-0.0041466589598807245,0.024542246432882248,0.005406360281539573,-4.411266838595554e-17,0.00015144361182419734,-0.00808876139335932,-0.00808876139335932,0.0,0.0,2.3359351611197,2.3359351611197
3.25,2.55,6.5024999999999995,-0.2946085906383665,-0.3809140520703031,0.07032985001580344,0.001848180033960194,-0.08815364146589681,18.24423100937199,30.499220386879504,-0.05745121293881985,0.0,-0.004334326395267839,0.026807993081853082,0.005483085742983585,-4.597525957345841e-17,0.00015783809094115694,-0.007528488687692447,-0.007528488687692447,0.0,0.0,2.156247841033569,2.156247841033569
3.5,2.55,6.5024999999999995,-0.30178842152049906,-0.37365616010109187,0.07032985001580344,0.0017170364821661754,-0.07358477506275901,19.14431787308768,29.348035959571643,-0.063232045844697,0.0,-0.00450193358418762,0.02894284069207809,0.005546350832836178,-4.763423703316121e-17,0.00016353354187679592,-0.007008342000420989,-0.007008342000420989,0.0,0.0,2.0022301381025995,2.0022301381025995
3.75,2.55,6.5024999999999995,-0.30758674167727607,-0.3683440652939718,0.07032985001580344,0.0016109302554083475,-0.0623682538721041,19.887032010077885,28.51951289226218,-0.06874991115478339,0.0,-0.0046524297180261485,0.030951974420839426,0.005599108299403945,-4.9120362949784607e-17,0.00016863557457338628,-0.006528840271980033,-0.006528840271980033,0.0,0.0,1.86874812889576,1.86874812889576
4.0,2.55,6.5024999999999995,-0.31236722425632474,-0.36439039867719536,0.07032985001580344,0.0015234801559998363,-0.05354665457687044,20.510000287369692,27.91056320142939,-0.07400382818611699,0.0,-0.004788237257495481,0.032841959291737347,0.0056435491234853525,-5.04587080542506e-17,0.00017323025959026667,-0.006088625989653261,-0.006088625989653261,0.0,0.0,1.7519513708397747,1.7519513708397747
4.25,2.55,6.5024999999999995,-0.31637719044714513,-0.36140873201604223,0.07032985001580344,0.0014502691956141726,-0.04648181076451131,21.03996823064229,27.455669123741238,-0.0789986752158562,0.0,-0.0049113575368091855,0.03461998637633544,0.005681325012335331,-5.1669850925499724e-17,0.00017738824543805758,-0.005685376812274273,-0.005685376812274273,0.0,0.0,1.6488954078491997,1.6488954078491997
4.5,2.55,6.5024999999999995,-0.31979025578626535,-0.3591371715394014,0.07032985001580344,0.0013881516305436097,-0.04073506738367963,21.496373651306673,27.111619801354426,-0.08374299188503775,0.0,-0.005023454300872238,0.036293403159274755,0.005713699196906333,-5.277080579778854e-17,0.0001811679438425175,-0.005316341700580377,-0.005316341700580377,0.0,0.0,1.5572901074131331,1.5572901074131331
4.75,2.55,6.5024999999999995,-0.3227316689634612,-0.35739365811155616,0.07032985001580344,0.001334831435470538,-0.03599682058356546,21.893637215772586,26.84901967703354,-0.088247481120646,0.0,-0.005125919431852715,0.037869427898609725,0.005741650550806872,-5.377574046697624e-17,0.00018461799439528783,-0.004978651718973208,-0.004978651718973208,0.0,0.0,1.475327470180863,1.475327470180863
5.0,2.55,6.5024999999999995,-0.3252939534648347,-0.35604882363467755,0.07032985001580344,0.001288596632960929,-0.03204346680280377,22.242660400653197,26.647339808411864,-0.0925239955507595,0.0,-0.005219924659722206,0.0393549827437705,0.00576594672882405,-5.469653377592446e-17,0.00018777917846220026,-0.004669495261279113,-0.004669495261279113,0.0,0.0,1.4015610966718197,1.4015610966718197
5.25,2.55,6.5024999999999995,-0.32754689020789035,-0.35500896776263763,0.07032985001580344,0.0012481466054736715,-0.028710224160220933,22.551825929321,26.491917699409598,-0.09658485851244479,0.0,-0.005306462362190647,0.04075660312316487,0.005787196368011218,-5.554321086150873e-17,0.00019068591343383688,-0.004386211759799096,-0.004386211759799096,0.0,0.0,1.3348200920683997,1.3348200920683997
5.5,2.55,6.5024999999999995,-0.32954407789415063,-0.35420507631691683,0.07032985001580344,0.0012124767657635876,-0.025873475188529806,22.82767982853965,26.372075579142845,-0.10044241573662101,0.0,-0.005386377900398216,0.04208039570050774,0.0058058868973570885,-5.632428511345681e-17,0.0001933674267075966,-0.004126336651109381,-0.004126336651109381,0.0,0.0,1.2741464515198362,1.2741464515198362
5.75,2.55,6.5024999999999995,-0.33132735760021853,-0.35358555901740835,0.07032985001580344,0.0011807996671279728,-0.023439001084317804,23.07540560477846,26.2799048548808,-0.10410874581166485,0.0,-0.005460395383643557,0.0433320268241132,0.005822412298538945,-5.704702865020581e-17,0.00019584868426087375,-0.0038876175616801944,-0.0038876175616801944,0.0,0.0,1.218748779714626,1.218748779714626
6.0,2.55,6.5024999999999995,-0.33292986670007707,-0.35311133987017,0.07032985001580344,0.0011524898764980215,-0.02133396304659095,23.299159982198525,26.20946036631689,-0.10759547967852512,0.0,-0.0055291383173971306,0.04451672967604632,0.005837093746535142,-5.771768772243913e-17,0.00019815113015494293,-0.0036680139015286555,-0.0036680139015286555,0.0,0.0,1.16796758055985,1.16796758055985
3.0,2.6,6.760000000000001,-0.3111130885937285,-0.4188195812483839,0.07032985001580344,0.0020138934259256976,-0.10972038608058107,20.345638062299212,36.87132173406012,-0.05383610466231825,0.0,-0.0041466589598807245,0.02503422145197302,0.005406360281539573,-4.411266838595554e-17,0.00015144361182419734,-0.008250909082316875,-0.008250909082316875,0.0,0.0,2.3359351611197,2.3359351611197
3.25,2.6,6.760000000000001,-0.3213494226775567,-0.4095724189688781,0.07032985001580344,0.001848180033960194,-0.09007117632528162,21.70649975555825,35.26112431903329,-0.060318063457398784,0.0,-0.004334326395267839,0.027391125671611012,0.005483085742983585,-4.597525957345841e-17,0.00015783809094115694,-0.00769224981266786,-0.00769224981266786,0.0,0.0,2.156247841033569,2.156247841033569
3.5,2.6,6.760000000000001,-0.32952817099357795,-0.4031110248724912,0.07032985001580344,0.0017170364821661754,-0.07529989036107942,22.82547612412524,34.15734464453173,-0.06654862811260531,0.0,-0.00450193358418762,0.02961744095830839,0.005546350832836178,-4.763423703316121e-17,0.00016353354187679592,-0.0071716925654058215,-0.0071716925654058215,0.0,0.0,2.0022301381025995,2.0022301381025995
3.75,2.6,6.760000000000001,-0.33622241556411475,-0.3985220242054486,0.07032985001580344,0.0016109302554083475,-0.0639105388967422,23.7622782819754,33.38407941163882,-0.07251295553953079,0.0,-0.0046524297180261485,0.03171737610628878,0.005599108299403945,-4.9120362949784607e-17,0.00016863557457338628,-0.006690289919109447,-0.006690289919109447,0.0,0.0,1.86874812889576,1.86874812889576
4.0,2.6,6.760000000000001,-0.3418105854189055,-0.3952274972431037,0.07032985001580344,0.0015234801559998363,-0.054940391980198004,24.558722163170074,32.834397694418925,-0.07820656844765146,0.0,-0.004788237257495481,0.03369678518936172,0.0056435491234853525,-5.04587080542506e-17,0.00017323025959026667,-0.006247103598454569,-0.006247103598454569,0.0,0.0,1.7519513708397747,1.7519513708397747
4.25,2.6,6.760000000000001,-0.3465521532996037,-0.39284894662693143,0.07032985001580344,0.0014502691956141726,-0.047747062522941926,25.244801083343898,32.44038021017153,-0.08363186461209492,0.0,-0.0049113575368091855,0.03556235496996489,0.005681325012335331,-5.1669850925499724e-17,0.00017738824543805758,-0.005840134832470914,-0.005840134832470914,0.0,0.0,1.6488954078491997,1.6488954078491997
4.5,2.6,6.760000000000001,-0.350630809341557,-0.3911311792181946,0.07032985001580344,0.0013881516305436097,-0.04188852150718123,25.84252219771771,32.15730348575948,-0.08879568259317717,0.0,-0.005023454300872238,0.03732108712345408,0.005713699196906333,-5.277080579778854e-17,0.0001811679438425175,-0.005466879226361783,-0.005466879226361783,0.0,0.0,1.5572901074131331,1.5572901074131331
4.75,2.6,6.760000000000001,-0.35418021126527716,-0.3898978313912024,0.07032985001580344,0.001334831435470538,-0.03705245156139576,26.368373091242375,31.95482098856465,-0.09370761557714173,0.0,-0.005125919431852715,0.038979974345612727,0.005741650550806872,-5.377574046697624e-17,0.00018461799439528783,-0.0051246540296543824,-0.0051246540296543824,0.0,0.0,1.475327470180863,1.475327470180863
5.0,2.6,6.760000000000001,-0.35729994752657857,-0.3890244034156288,0.07032985001580344,0.001288596632960929,-0.0330130525220112,26.83494160136829,31.811814432157494,-0.09837885101962655,0.0,-0.005219924659722206,0.04054580362101329,0.00576594672882405,-5.469653377592446e-17,0.00018777917846220026,-0.004810786961990062,-0.004810786961990062,0.0,0.0,1.4015610966718197,1.4015610966718197
5.25,2.6,6.760000000000001,-0.3600657722701667,-0.38842137819406164,0.07032985001580344,0.0012481466054736715,-0.029603752529368626,27.252003030220944,31.713268128747835,-0.10282137840300701,0.0,-0.005306462362190647,0.04202504257934643,0.005787196368011218,-5.554321086150873e-17,0.00019068591343383688,-0.00452272078245939,-0.00452272078245939,0.0,0.0,1.3348200920683997,1.3348200920683997
5.5,2.6,6.760000000000001,-0.36253636477858037,-0.3880233538995681,0.07032985001580344,0.0012124767657635876,-0.026699465886751296,27.627265481793387,31.6483068031297,-0.10704745416906931,0.0,-0.005386377900398216,0.04342377981001879,0.0058058868973570885,-5.632428511345681e-17,0.0001933674267075966,-0.004258066759520088,-0.004258066759520088,0.0,0.0,1.2741464515198362,1.2741464515198362
5.75,2.6,6.760000000000001,-0.3647579121175695,-0.3877818742055828,0.07032985001580344,0.0011807996671279728,-0.02420476175514127,27.966891139005156,31.60892749619124,-0.11106924605569998,0.0,-0.005460395383643557,0.04474769986451311,0.005822412298538945,-5.704702865020581e-17,0.00019584868426087375,-0.004014627438134746,-0.004014627438134746,0.0,0.0,1.218748779714626,1.218748779714626
6.0,2.6,6.760000000000001,-0.36676728932704145,-0.3876605940552403,0.07032985001580344,0.0011524898764980215,-0.022045794604696866,28.27586768518539,31.589158980652048,-0.11489860237047063,0.0,-0.0055291383173971306,0.04600208019333538,0.005837093746535142,-5.771768772243913e-17,0.00019815113015494293,-0.0037904012912966583,-0.0037904012912966583,0.0,0.0,1.16796758055985,1.16796758055985
