sector,state,scenario,M2,s0,theta_deg,GA_basis,GB_basis,f1_GeV,f2_GeV,rho_AB,f1_target_clipped,g_2460,g_2536,Gamma_2460_keV,Gamma_2536_keV,chi_effective,g1_abs,g2_abs,scan,fixed_s0,fixed_M2,quoted_combo,g_low,g_high,g_quoted,Gamma_low_keV,Gamma_high_keV,Gamma_quoted_keV,g_quoted_abs
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.9,8.0,35.3,-0.339714300318597,-0.27056531853756405,0.345,0.3807805629715229,-0.4081864418895571,0,-0.4236960376289971,0.025847780702996273,37.73493052449664,0.20732261806191682,4.980468750000001,0.4236960376289971,0.025847780702996273,M2,8.0,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.95,8.0,35.3,-0.34061289978981657,-0.27101006877703937,0.345,0.3807805629715229,-0.4081864418895571,0,-0.4245207040690377,0.025726215768103005,37.88196524860565,0.2053770820603923,4.980468750000001,0.4245207040690377,0.025726215768103005,M2,8.0,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,4.0,8.0,35.3,-0.34151251302914565,-0.2714557667424879,0.345,0.3807805629715229,-0.4081864418895571,0,-0.42534678822336064,0.02560482632975138,38.02953938794208,0.20344350650561877,4.980468750000001,0.42534678822336064,0.02560482632975138,M2,8.0,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,4.05,8.0,35.3,-0.3424121303818383,-0.2719019050133461,0.345,0.3807805629715229,-0.4081864418895571,0,-0.4261733550875591,0.025483743575327216,38.17748690014408,0.20152392657192567,4.980468750000001,0.4261733550875591,0.025483743575327216,M2,8.0,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,4.1,8.0,35.3,-0.34331084747704943,-0.27234802680667874,0.345,0.3807805629715229,-0.4081864418895571,0,-0.4269995646710075,0.02536308341771474,38.32565750033137,0.19962009770013492,4.980468750000001,0.4269995646710075,0.02536308341771474,M2,8.0,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,4.15,8.0,35.3,-0.3442078547629385,-0.27279372109649913,0.345,0.3807805629715229,-0.4081864418895571,0,-0.42782466271948233,0.025242948120473743,38.473915157183804,0.19773352705429414,4.980468750000001,0.42782466271948233,0.025242948120473743,M2,8.0,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,4.2,8.0,35.3,-0.3451024281544717,-0.27323861823923257,0.345,0.3807805629715229,-0.4081864418895571,0,-0.4286479724102251,0.025123427741241273,38.62213674744607,0.1958655014345402,4.980468750000001,0.4286479724102251,0.025123427741241273,M2,8.0,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,4.25,8.0,35.3,-0.34599392066484574,-0.2736823860478108,0.345,0.3807805629715229,-0.4081864418895571,0,-0.4294688869079549,0.025004601415287007,38.770210850228786,0.1940171120613964,4.980468750000001,0.4294688869079549,0.025004601415287007,M2,8.0,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,4.3,8.0,35.3,-0.3468817549077778,-0.2741247262640376,0.345,0.3807805629715229,-0.4081864418895571,0,-0.4302868626843029,0.024886538498295037,38.91803666490577,0.1921892765960369,4.980468750000001,0.4302868626843029,0.024886538498295037,M2,8.0,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,4.35,8.0,35.3,-0.34776541637201547,-0.2745653713850493,0.345,0.3807805629715229,-0.4081864418895571,0,-0.43110141351521936,0.02476929958497428,39.065523038491094,0.19038275871648624,4.980468750000001,0.43110141351521936,0.02476929958497428,M2,8.0,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,4.4,8.0,35.3,-0.34864444738157935,-0.27500408180505553,0.345,0.3807805629715229,-0.4081864418895571,0,-0.4319121050813427,0.024652937417997085,39.21258759016584,0.1885981855311677,4.980468750000001,0.4319121050813427,0.024652937417997085,M2,8.0,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,4.45,8.0,35.3,-0.3495184416658224,-0.2754406432381968,0.345,0.3807805629715229,-0.4081864418895571,0,-0.432718550105385,0.02453749769992537,39.3591559221657,0.18683606307711878,4.980468750000001,0.432718550105385,0.02453749769992537,M2,8.0,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,4.5,8.0,35.3,-0.350387039472525,-0.27587486439240233,0.345,0.3807805629715229,-0.4081864418895571,0,-0.4335204039684604,0.024423019819217552,39.50516090756818,0.1850967901207486,4.980468750000001,0.4335204039684604,0.024423019819217552,M2,8.0,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.0,8.5,35.3,-0.3596418287264625,-0.28072506198448915,0.345,0.3807805629715229,-0.4081864418895571,0,-0.44230842704113993,0.0233600463134146,41.1230366950611,0.16933532382180314,4.980468750000001,0.44230842704113993,0.0233600463134146,M2,8.5,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.05,8.5,35.3,-0.3606436534068161,-0.2812350900286942,0.345,0.3807805629715229,-0.4081864418895571,0,-0.4432433299996893,0.02323446289102259,41.297063133784405,0.16751952713453175,4.980468750000001,0.4432433299996893,0.02323446289102259,M2,8.5,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.1,8.5,35.3,-0.3616997194358217,-0.2817712443542015,0.345,0.3807805629715229,-0.4081864418895571,0,-0.444227224992871,0.02310103696923956,41.4806059761298,0.1656010605992794,4.980468750000001,0.444227224992871,0.02310103696923956,M2,8.5,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.15,8.5,35.3,-0.3628025372384097,-0.2823300232205866,0.345,0.3807805629715229,-0.4081864418895571,0,-0.4452534628181587,0.02296092555902215,41.67248137287333,0.16359835964108738,4.980468750000001,0.4452534628181587,0.02296092555902215,M2,8.5,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.2,8.5,35.3,-0.36394547717156517,-0.28290831526852,0.345,0.3807805629715229,-0.4081864418895571,0,-0.446316144953268,0.022815144639268967,41.87163736827025,0.16152755392048324,4.980468750000001,0.446316144953268,0.022815144639268967,M2,8.5,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.25,8.5,35.3,-0.36512266373930924,-0.28350335268248344,0.345,0.3807805629715229,-0.4081864418895571,0,-0.4474100325064867,0.022664587337143407,42.0771374075026,0.1594027449841992,4.980468750000001,0.4474100325064867,0.022664587337143407,M2,8.5,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.3,8.5,35.3,-0.3663288841823917,-0.2841126705915538,0.345,0.3807805629715229,-0.4081864418895571,0,-0.4485304674011857,0.022510039549286924,42.28814619621081,0.157236250782641,4.980468750000001,0.4485304674011857,0.022510039549286924,M2,8.5,,,,,,,,,
