key,python,mathematica,absolute_difference,relative_difference,passed
Ds.Lprime_T4gamma,0.4098669166402215,0.4098669166401059,1.1562972801471005e-13,0.0,1
Ds.M2,3.75,3.75,0.0,0.0,1
Ds.N_1,5.365506303992629,5.365506303992629,0.0,0.0,1
Ds.N_2,13.157380159508245,13.157380159508243,1.7763568394002505e-15,0.0,1
Ds.T_A,-0.031167128991395572,-0.031167128987082002,4.3135703342578324e-12,0.0,1
Ds.T_A_3p_g,0.0001686355745733854,0.000168635574573385,4.0657581468206416e-19,0.0,1
Ds.T_A_3p_gamma,-0.0032152534763993617,-0.0032152534763984554,9.063930161978817e-16,0.0,1
Ds.T_A_pert,-0.08866170062910952,-0.08866170062479688,4.312647461368613e-12,0.0,1
Ds.T_A_tw2,0.05494208124013597,0.05494208124013598,6.938893903907228e-18,0.0,1
Ds.T_A_tw3,0.0,0.0,0.0,0.0,1
Ds.T_A_tw4,0.0055991082994039576,0.00559910829940396,2.6020852139652106e-18,0.0,1
Ds.T_B,-0.0701320395140108,-0.07013203950589691,8.113884564231455e-12,0.0,1
Ds.T_B_3p_g,-0.0003490899906346081,-0.00034908999063460843,3.2526065174565133e-19,0.0,1
Ds.T_B_3p_gamma,-0.008706319680501156,-0.008706319680500275,8.81239525796218e-16,0.0,1
Ds.T_B_pert,-0.11226165291008422,-0.11226165290197122,8.112996385811755e-12,0.0,1
Ds.T_B_tw2,0.0511932818598479,0.0511932818598479,0.0,0.0,1
Ds.T_B_tw3,-0.005225329621870576,-0.005225329621870578,2.6020852139652106e-18,0.0,1
Ds.T_B_tw4,0.005217070829231861,0.005217070829231863,1.734723475976807e-18,0.0,1
Ds.a0,0.5,0.5,0.0,0.0,1
Ds.bar_psi_V,0.0,0.0,0.0,0.0,1
Ds.bar_psi_V_prime,8.984374999999996,8.984375,3.552713678800501e-15,0.0,1
Ds.g_1,-0.4113423853042112,-0.4113423852549209,4.929029406852692e-11,0.0,1
Ds.g_1_A,-0.07487760021127161,-0.07487760020090845,1.0363168656546407e-11,0.0,1
Ds.g_1_B,-0.3364647850929396,-0.33646478505401245,3.892713928976832e-11,0.0,1
Ds.g_2,0.046498676244491555,0.046498676247437865,2.9463098627502404e-12,0.0,1
