fB_scheme,include_vector_da_diagnostic,M2,s0_root,s0,GA_stage1_full,GB_tensor_DA_soft2p,GB_vector_DA_diagnostic,GB_soft2p_estimate,G2460_partial,G2536_partial,Gamma2460_keV_partial,Gamma2536_keV_partial,fB
fB_converted_fT_M_over_msum,True,3.25,2.55,6.5024999999999995,-0.2946085906383665,0.17159888293605896,-8.065016241669486e-16,0.17159888293605816,-0.030193521529377015,-0.3396008680208027,0.1916294648791703,35.78802622574055,0.4619457079970653
fB_equal_fT,False,3.5,2.55,6.5024999999999995,-0.30178842152049906,0.2965555879199636,-1.3520459947515797e-15,0.2965555879199636,0.06763942252352068,-0.4176677825869196,0.9616887417618087,54.13300261153387,0.256
fB_equal_fT,True,3.5,2.55,6.5024999999999995,-0.30178842152049906,0.2965555879199636,-1.3520459947515797e-15,0.2965555879199623,0.0676394225235196,-0.41766778258691883,0.9616887417617778,54.13300261153366,0.256
fB_converted_fT_M_over_msum,False,3.5,2.55,6.5024999999999995,-0.30178842152049906,0.1643444872270422,-7.492737104478158e-16,0.1643444872270422,-0.04026302657784561,-0.3412685900233796,0.3407591962383381,36.14038709729739,0.4619457079970653
fB_converted_fT_M_over_msum,True,3.5,2.55,6.5024999999999995,-0.30178842152049906,0.1643444872270422,-7.492737104478158e-16,0.16434448722704145,-0.04026302657784622,-0.34126859002337917,0.34075919623834855,36.14038709729731,0.4619457079970653
fB_equal_fT,False,3.75,2.55,6.5024999999999995,-0.30758674167727607,0.2859421679998244,-1.2684947712358523e-15,0.2859421679998244,0.055626808056179367,-0.41626696400454855,0.6504336932216962,53.77049750621536,0.256
fB_equal_fT,True,3.75,2.55,6.5024999999999995,-0.30758674167727607,0.2859421679998244,-1.2684947712358523e-15,0.28594216799982314,0.05562680805617834,-0.4162669640045478,0.650433693221672,53.77049750621517,0.256
fB_converted_fT_M_over_msum,False,3.75,2.55,6.5024999999999995,-0.30758674167727607,0.1584627668159222,-7.02971487373233e-16,0.1584627668159222,-0.04841392321091251,-0.34260202007858703,0.49269176533309195,36.42335967009181,0.4619457079970653
fB_converted_fT_M_over_msum,True,3.75,2.55,6.5024999999999995,-0.30758674167727607,0.1584627668159222,-7.02971487373233e-16,0.1584627668159215,-0.04841392321091309,-0.34260202007858664,0.4926917653331038,36.42335967009173,0.4619457079970653
fB_equal_fT,False,4.0,2.55,6.5024999999999995,-0.31236722425632474,0.2771792349086965,-1.1996339416181026e-15,0.2771792349086965,0.04571261065461674,-0.4151047678373628,0.4392449720512853,53.47066766406307,0.256
