sector,state,state_label,scan,M2,s0,fixed_s0,g_abs
Ds,Ds1_2460,D_{s1}(2460),M2,4.1,9.5,9.5,0.591297271980796
Ds,Ds1_2460,D_{s1}(2460),M2,4.15,9.5,9.5,0.5936543373608231
Ds,Ds1_2460,D_{s1}(2460),M2,4.2,9.5,9.5,0.5959749742887924
Ds,Ds1_2460,D_{s1}(2460),M2,4.25,9.5,9.5,0.5982601114455935
Ds,Ds1_2460,D_{s1}(2460),M2,4.3,9.5,9.5,0.6005106421859369
Ds,Ds1_2460,D_{s1}(2460),M2,4.35,9.5,9.5,0.6027274265668027
Ds,Ds1_2460,D_{s1}(2460),M2,4.4,9.5,9.5,0.6049112932091424
Ds,Ds1_2460,D_{s1}(2460),M2,4.45,9.5,9.5,0.6070630410103666
Ds,Ds1_2460,D_{s1}(2460),M2,4.5,9.5,9.5,0.6091834407229896
Ds,Ds1_2536,D_{s1}(2536),M2,3.0,9.0,9.0,0.09859301995358327
Ds,Ds1_2536,D_{s1}(2536),M2,3.05,9.0,9.0,0.09668547156757835
Ds,Ds1_2536,D_{s1}(2536),M2,3.1,9.0,9.0,0.09486303059667023
Ds,Ds1_2536,D_{s1}(2536),M2,3.15,9.0,9.0,0.09312019666759658
Ds,Ds1_2536,D_{s1}(2536),M2,3.2,9.0,9.0,0.09145193629266594
Ds,Ds1_2536,D_{s1}(2536),M2,3.25,9.0,9.0,0.08985363462843537
Ds,Ds1_2536,D_{s1}(2536),M2,3.3,9.0,9.0,0.08832105303931882
Ds,Ds1_2536,D_{s1}(2536),M2,3.35,9.0,9.0,0.08685029167530016
Ds,Ds1_2536,D_{s1}(2536),M2,3.4,9.0,9.0,0.08543775639254579
Ds,Ds1_2536,D_{s1}(2536),M2,3.45,9.0,9.0,0.08408012944554046
Ds,Ds1_2536,D_{s1}(2536),M2,3.5,9.0,9.0,0.08277434346291968
Ds,Ds1_2536,D_{s1}(2536),M2,3.55,9.0,9.0,0.08151755828935407
Ds,Ds1_2536,D_{s1}(2536),M2,3.6,9.0,9.0,0.08030714033493888
Ds,Ds1_2536,D_{s1}(2536),M2,3.65,9.0,9.0,0.07914064412348724
Ds,Ds1_2536,D_{s1}(2536),M2,3.7,9.0,9.0,0.07801579577341718
Ds,Ds1_2536,D_{s1}(2536),M2,3.75,9.0,9.0,0.07693047818087792
Ds,Ds1_2536,D_{s1}(2536),M2,3.8,9.0,9.0,0.07588271770536184
Ds,Ds1_2536,D_{s1}(2536),M2,3.85,9.0,9.0,0.07487067218420315
Ds,Ds1_2536,D_{s1}(2536),M2,3.9,9.0,9.0,0.07389262012474539
Ds,Ds1_2536,D_{s1}(2536),M2,3.95,9.0,9.0,0.07294695094217378
Ds,Ds1_2536,D_{s1}(2536),M2,4.0,9.0,9.0,0.0720321561275359
Ds,Ds1_2536,D_{s1}(2536),M2,4.05,9.0,9.0,0.07114682124472498
Ds,Ds1_2536,D_{s1}(2536),M2,4.1,9.0,9.0,0.07028961866751568
Ds,Ds1_2536,D_{s1}(2536),M2,4.15,9.0,9.0,0.06945930097841374
Ds,Ds1_2536,D_{s1}(2536),M2,4.2,9.0,9.0,0.06865469496032563
Ds,Ds1_2536,D_{s1}(2536),M2,4.25,9.0,9.0,0.06787469612012242
Ds,Ds1_2536,D_{s1}(2536),M2,4.3,9.0,9.0,0.06711826369016706
Ds,Ds1_2536,D_{s1}(2536),M2,4.35,9.0,9.0,0.06638441606001806
Ds,Ds1_2536,D_{s1}(2536),M2,4.4,9.0,9.0,0.06567222659586529
Ds,Ds1_2536,D_{s1}(2536),M2,4.45,9.0,9.0,0.0649808198099576
Ds,Ds1_2536,D_{s1}(2536),M2,4.5,9.0,9.0,0.06430936784639978
Ds,Ds1_2536,D_{s1}(2536),M2,3.0,9.5,9.5,0.09547861484069196
Ds,Ds1_2536,D_{s1}(2536),M2,3.05,9.5,9.5,0.09349268789717825
Ds,Ds1_2536,D_{s1}(2536),M2,3.1,9.5,9.5,0.09159252380757417
Ds,Ds1_2536,D_{s1}(2536),M2,3.15,9.5,9.5,0.08977263620109087
Ds,Ds1_2536,D_{s1}(2536),M2,3.2,9.5,9.5,0.08802800359221344
Ds,Ds1_2536,D_{s1}(2536),M2,3.25,9.5,9.5,0.08635402130354229
Ds,Ds1_2536,D_{s1}(2536),M2,3.3,9.5,9.5,0.08474645918135591
Ds,Ds1_2536,D_{s1}(2536),M2,3.35,9.5,9.5,0.08320142431389607
Ds,Ds1_2536,D_{s1}(2536),M2,3.4,9.5,9.5,0.08171532808196257
Ds,Ds1_2536,D_{s1}(2536),M2,3.45,9.5,9.5,0.08028485697118679
Ds,Ds1_2536,D_{s1}(2536),M2,3.5,9.5,9.5,0.07890694665885549
Ds,Ds1_2536,D_{s1}(2536),M2,3.55,9.5,9.5,0.07757875895830413
Ds,Ds1_2536,D_{s1}(2536),M2,3.6,9.5,9.5,0.0762976612629495
Ds,Ds1_2536,D_{s1}(2536),M2,3.65,9.5,9.5,0.07506120818193258
Ds,Ds1_2536,D_{s1}(2536),M2,3.7,9.5,9.5,0.07386712510161034
Ds,Ds1_2536,D_{s1}(2536),M2,3.75,9.5,9.5,0.07271329344303187
Ds,Ds1_2536,D_{s1}(2536),M2,3.8,9.5,9.5,0.07159773741612344
Ds,Ds1_2536,D_{s1}(2536),M2,3.85,9.5,9.5,0.07051861209740758
Ds,Ds1_2536,D_{s1}(2536),M2,3.9,9.5,9.5,0.06947419268044776
Ds,Ds1_2536,D_{s1}(2536),M2,3.95,9.5,9.5,0.06846286476738563
Ds,Ds1_2536,D_{s1}(2536),M2,4.0,9.5,9.5,0.06748311558643964
Ds,Ds1_2536,D_{s1}(2536),M2,4.05,9.5,9.5,0.06653352603446057
Ds,Ds1_2536,D_{s1}(2536),M2,4.1,9.5,9.5,0.06561276345593384
Ds,Ds1_2536,D_{s1}(2536),M2,4.15,9.5,9.5,0.06471957508045799
Ds,Ds1_2536,D_{s1}(2536),M2,4.2,9.5,9.5,0.06385278204996689
