variant,M2,s0,theta_deg,f1_GeV,f2_GeV,amp_A,amp_B_low,amp_B_high,g_low_GeV_m2,g_high_GeV_m2,Gamma_low_keV,Gamma_high_keV,ratio_high_over_low
alternate_rotation_c_minus_s,8.0,54.0,43.28944792015294,0.26361499337400185,0.7211454286763629,0.0063727364279643406,-0.008478425321929092,-0.008482397991849378,0.4428202139360383,-0.028104278939824767,2361.323159395882,10.066641032168084,0.004263135688189125
swap_eigenstate_assignment,8.0,54.0,43.28944792015294,0.26361499337400185,0.7211454286763629,0.0063727364279643406,-0.008478425321929092,-0.008482397991849378,0.16187310231846586,-0.07688209241932595,315.5367383563751,75.3338350722769,0.23874822141056987
swap_assignment_and_JB_flip,8.0,54.0,43.28944792015294,0.26361499337400185,0.7211454286763629,0.0063727364279643406,-0.008478425321929092,-0.008482397991849378,-0.01819428155436688,0.44919988944576994,3.986303619496003,2571.6920908987777,645.1320161167057
baseline,8.0,55.0,43.403825203342606,0.26898271278922997,0.7323365460719683,0.006410810803855617,-0.00854671995763944,-0.008550717866587225,-0.07491733372147028,0.1615292181736364,67.587312381038,332.5384513044983,4.920131302599241
radiative_JB_sign_flip,8.0,55.0,43.403825203342606,0.26898271278922997,0.7323365460719683,0.006410810803855617,-0.00854671995763944,-0.008550717866587225,0.4407224738583838,-0.018676396818878182,2339.0039007849873,4.4455538313863,0.00190061839139915
alternate_rotation_c_s,8.0,55.0,43.403825203342606,0.26898271278922997,0.7323365460719683,0.006410810803855617,-0.00854671995763944,-0.008550717866587225,-0.05045258966534336,-0.16282193851461335,30.652611270303733,337.88236851538556,11.022955451848443
alternate_rotation_c_minus_s,8.0,55.0,43.403825203342606,0.26898271278922997,0.7323365460719683,0.006410810803855617,-0.00854671995763944,-0.008550717866587225,0.43722895132397066,-0.02771467365866869,2302.069199674252,9.789471042273519,0.004252466017815082
swap_eigenstate_assignment,8.0,55.0,43.403825203342606,0.26898271278922997,0.7323365460719683,0.006410810803855617,-0.00854671995763944,-0.008550717866587225,0.160591506825544,-0.07545640451104059,310.5601286703764,72.56578577554704,0.23366098567201207
swap_assignment_and_JB_flip,8.0,55.0,43.403825203342606,0.26898271278922997,0.7323365460719683,0.006410810803855617,-0.00854671995763944,-0.008550717866587225,-0.01853092612708732,0.44330155956888206,4.135183643278656,2504.5990192058075,605.6802394439708
baseline,9.0,53.0,43.32213038297105,0.2546121986865104,0.6952361568459186,0.010663838902955039,-0.014266039398921177,-0.0142726884815514,-0.07412144991387985,0.15632785593765489,66.1589134443452,311.4672804109614,4.7078657159775865
radiative_JB_sign_flip,9.0,53.0,43.32213038297105,0.2546121986865104,0.6952361568459186,0.010663838902955039,-0.014266039398921177,-0.0142726884815514,0.4283150809507254,-0.018121542581115067,2209.1605747622853,4.185332979054536,0.0018945354298226579
alternate_rotation_c_s,9.0,53.0,43.32213038297105,0.2546121986865104,0.6952361568459186,0.010663838902955039,-0.014266039398921177,-0.0142726884815514,-0.04913418081495039,-0.1576589352494099,29.071536857635888,316.7939406945181,10.89704827941731
alternate_rotation_c_minus_s,9.0,53.0,43.32213038297105,0.2546121986865104,0.6952361568459186,0.010663838902955039,-0.014266039398921177,-0.0142726884815514,0.42470458786884663,-0.027319070764442385,2172.0731981755757,9.511993262611211,0.004379223163658008
swap_eigenstate_assignment,9.0,53.0,43.32213038297105,0.2546121986865104,0.6952361568459186,0.010663838902955039,-0.014266039398921177,-0.0142726884815514,0.1555370327689972,-0.07459660560198797,291.3185709191355,70.92148489455381,0.24344992724216086
swap_assignment_and_JB_flip,9.0,53.0,43.32213038297105,0.2546121986865104,0.6952361568459186,0.010663838902955039,-0.014266039398921177,-0.0142726884815514,-0.01799411852327991,0.43049858883696335,3.8990760435251595,2362.0177242939626,605.789088985928
baseline,9.0,54.0,43.455073756864564,0.26110241639811826,0.7090638173945522,0.01075650155224957,-0.014429239964184389,-0.014435950040447988,-0.07260987719659676,0.1549091550235596,63.48804533876528,305.8396991842932,4.8172801281306725
radiative_JB_sign_flip,9.0,54.0,43.455073756864564,0.26110241639811826,0.7090638173945522,0.01075650155224957,-0.014429239964184389,-0.014435950040447988,0.4218567804256479,-0.01852000359601904,2143.041688605214,4.371412815678475,0.0020398169755267725
alternate_rotation_c_s,9.0,54.0,43.455073756864564,0.26110241639811826,0.7090638173945522,0.01075650155224957,-0.014429239964184389,-0.014435950040447988,-0.04994357464739457,-0.1561344027177573,30.037224339987283,310.6968858318097,10.343728245828364
alternate_rotation_c_minus_s,9.0,54.0,43.455073756864564,0.26110241639811826,0.7090638173945522,0.01075650155224957,-0.014429239964184389,-0.014435950040447988,0.41855144196758937,-0.02690903073531569,2109.5908676064364,9.228599463195074,0.004374592061856022
swap_eigenstate_assignment,9.0,54.0,43.455073756864564,0.26110241639811826,0.7090638173945522,0.01075650155224957,-0.014429239964184389,-0.014435950040447988,0.15412546826351992,-0.07307561652925318,286.0548858379177,68.05885902394661,0.23792237921260193
swap_assignment_and_JB_flip,9.0,54.0,43.455073756864564,0.26110241639811826,0.7090638173945522,0.01075650155224957,-0.014429239964184389,-0.014435950040447988,-0.01839099345375046,0.42400701282238007,4.072967375523336,2291.3201116093774,562.5677547478429
