normalization,M2,s0,channel,g_pert_GeV_inv,Gamma_pert_keV,two_point_max_abs_G2_over_pert,estimated_radiative_shift_abs,estimated_axial_residue_shift_abs,estimated_vector_residue_shift_abs,conservative_abs_delta_g_over_g,conservative_abs_delta_Gamma_over_Gamma,Gamma_shift_envelope_keV
reference_f_Bcstar_0p384,8.0,53.0,Bc1(6750)->Bc* gamma,0.18895033334882588,455.02474263366196,0.039972994192471877,0.039972994192471877,0.019986497096235938,0.019986497096235938,0.07994598838494375,0.1598919767698875,72.75480557890552
standard_vector_invariant,8.0,54.0,Bc1(6743)->Bc* gamma,-0.07749811697641021,72.32406908696186,0.03845609625382984,0.03845609625382984,0.01922804812691492,0.01922804812691492,0.07691219250765968,0.15382438501531936,11.125205449107378
standard_vector_invariant,8.0,54.0,Bc1(6750)->Bc* gamma,0.16540025642761874,348.66796328429365,0.03845609625382984,0.03845609625382984,0.01922804812691492,0.01922804812691492,0.07691219250765968,0.15382438501531936,53.633635026750426
reference_f_Bcstar_0p384,8.0,54.0,Bc1(6743)->Bc* gamma,-0.08775597485282813,92.73719202688605,0.03845609625382984,0.03845609625382984,0.01922804812691492,0.01922804812691492,0.07691219250765968,0.15382438501531936,14.265241531583325
reference_f_Bcstar_0p384,8.0,54.0,Bc1(6750)->Bc* gamma,0.187293076399929,447.0778300076018,0.03845609625382984,0.03845609625382984,0.01922804812691492,0.01922804812691492,0.07691219250765968,0.15382438501531936,68.77147225490283
standard_vector_invariant,8.0,55.0,Bc1(6743)->Bc* gamma,-0.07694688737373494,71.29887297731423,0.03712490234524062,0.03712490234524062,0.01856245117262031,0.01856245117262031,0.07424980469048124,0.1484996093809625,10.587854786434026
standard_vector_invariant,8.0,55.0,Bc1(6750)->Bc* gamma,0.16403426462113285,342.93265339511703,0.03712490234524062,0.03712490234524062,0.01856245117262031,0.01856245117262031,0.07424980469048124,0.1484996093809625,50.92536507315188
reference_f_Bcstar_0p384,8.0,55.0,Bc1(6743)->Bc* gamma,-0.08713178302678377,91.4226392136132,0.03712490234524062,0.03712490234524062,0.01856245117262031,0.01856245117262031,0.07424980469048124,0.1484996093809625,13.576226211798224
reference_f_Bcstar_0p384,8.0,55.0,Bc1(6750)->Bc* gamma,0.18574627826732878,439.7237563051564,0.03712490234524062,0.03712490234524062,0.01856245117262031,0.01856245117262031,0.07424980469048124,0.1484996093809625,65.29880604684527
standard_vector_invariant,9.0,53.0,Bc1(6743)->Bc* gamma,-0.07549922456162073,68.64130536473368,0.021944112683312422,0.021944112683312422,0.010972056341656211,0.010972056341656211,0.043888225366624845,0.08777645073324969,6.0250901586134935
standard_vector_invariant,9.0,53.0,Bc1(6750)->Bc* gamma,0.15879111820797323,321.3602095110732,0.021944112683312422,0.021944112683312422,0.010972056341656211,0.010972056341656211,0.043888225366624845,0.08777645073324969,28.207858597775516
reference_f_Bcstar_0p384,9.0,53.0,Bc1(6743)->Bc* gamma,-0.08549250369598481,88.0149858400733,0.021944112683312422,0.021944112683312422,0.010972056341656211,0.010972056341656211,0.043888225366624845,0.08777645073324969,7.725643068378862
reference_f_Bcstar_0p384,9.0,53.0,Bc1(6750)->Bc* gamma,0.17980913498263468,412.0625932066265,0.021944112683312422,0.021944112683312422,0.010972056341656211,0.010972056341656211,0.043888225366624845,0.08777645073324969,36.16939191161656
standard_vector_invariant,9.0,54.0,Bc1(6743)->Bc* gamma,-0.0749470251137245,67.6408956832064,0.020988662871890572,0.020988662871890572,0.010494331435945286,0.010494331435945286,0.041977325743781144,0.08395465148756229,5.6787678233901495
standard_vector_invariant,9.0,54.0,Bc1(6750)->Bc* gamma,0.15728611859786384,315.29746460700505,0.020988662871890572,0.020988662871890572,0.010494331435945286,0.010494331435945286,0.041977325743781144,0.08395465148756229,26.470688755993116
reference_f_Bcstar_0p384,9.0,54.0,Bc1(6743)->Bc* gamma,-0.08486721365341413,86.7322153058297,0.020988662871890572,0.020988662871890572,0.010494331435945286,0.010494331435945286,0.041977325743781144,0.08395465148756229,7.281572908745148
reference_f_Bcstar_0p384,9.0,54.0,Bc1(6750)->Bc* gamma,0.1781049296020255,404.28866752080035,0.020988662871890572,0.020988662871890572,0.010494331435945286,0.010494331435945286,0.041977325743781144,0.08395465148756229,33.941914182079735
standard_vector_invariant,9.0,55.0,Bc1(6743)->Bc* gamma,-0.07440822821024144,66.67184577284598,0.020148154601337218,0.020148154601337218,0.010074077300668609,0.010074077300668609,0.040296309202674435,0.08059261840534887,5.373258624751249
standard_vector_invariant,9.0,55.0,Bc1(6750)->Bc* gamma,0.15586696011608012,309.6334120996967,0.020148154601337218,0.020148154601337218,0.010074077300668609,0.010074077300668609,0.040296309202674435,0.08059261840534887,24.95416742689699
reference_f_Bcstar_0p384,9.0,55.0,Bc1(6743)->Bc* gamma,-0.0842571001518534,85.48965568832986,0.020148154601337218,0.020148154601337218,0.010074077300668609,0.010074077300668609,0.040296309202674435,0.08059261840534887,6.8898351984942305
reference_f_Bcstar_0p384,9.0,55.0,Bc1(6750)->Bc* gamma,0.17649792751089732,397.0259632557924,0.020148154601337218,0.020148154601337218,0.010074077300668609,0.010074077300668609,0.040296309202674435,0.08059261840534887,31.99736195369014
