index,normalization,mb,mc,M2,s0,M2_vector,s0_vector,theta_deg,f_Bcstar_used_GeV,theta_sumrule_deg,Pi_1,Pi_2,f1_GeV,f2_GeV,int_A,int_B_1,int_B_2,g1_GeV_inv,g2_GeV_inv,Gamma1_keV,Gamma2_keV
2900,standard_vector_invariant,4.206227693923013,1.2699065871992847,8.991478863722014,54.54362629182911,5.333733999975408,40.73398196146671,43.233358360871115,0.43453206737631017,43.47902220438078,0.019059420801115404,0.1406439647088894,0.2566081093442413,0.7004355925624933,0.010408093860642835,-0.013965285828888679,-0.01397168605836256,-0.0746873988359199,0.15485932391944618,67.17307360392365,305.64296609077553
2901,reference_f_Bcstar_0p384,4.206227693923013,1.2699065871992847,8.991478863722014,54.54362629182911,5.333733999975408,40.73398196146671,43.233358360871115,0.40728948076111715,43.47902220438078,0.019059420801115404,0.1406439647088894,0.2566081093442413,0.7004355925624933,0.010408093860642835,-0.013965285828888679,-0.01397168605836256,-0.07968305432903192,0.1652174813095216,76.45968370553881,347.89779982255266
2902,projector_diagnostic,4.186584047940658,1.2816213929290319,8.212504457626839,54.618585516098996,5.478071493330338,42.208015839635955,43.168670765502256,0.784319336084043,43.30645784794751,0.012360403113938712,0.09001780986777438,0.26265526725554833,0.7126453147191476,0.007021086504593532,-0.009345437599267366,-0.009349810733663191,-0.041963487414731354,0.08898772240297288,21.20526473463774,100.92525851985363
2903,standard_vector_invariant,4.186584047940658,1.2816213929290319,8.212504457626839,54.618585516098996,5.478071493330338,42.208015839635955,43.168670765502256,0.45282697981875086,43.30645784794751,0.012360403113938712,0.09001780986777438,0.26265526725554833,0.7126453147191476,0.007021086504593532,-0.009345437599267366,-0.009349810733663191,-0.07268289226509186,0.15413125645178422,63.615794203913225,302.7757755595607
2904,reference_f_Bcstar_0p384,4.186584047940658,1.2816213929290319,8.212504457626839,54.618585516098996,5.478071493330338,42.208015839635955,43.168670765502256,0.42101280879952235,43.30645784794751,0.012360403113938712,0.09001780986777438,0.26265526725554833,0.7126453147191476,0.007021086504593532,-0.009345437599267366,-0.009349810733663191,-0.07817523339192652,0.1657783086309036,73.59340967384085,350.2636722359586
2905,projector_diagnostic,4.186393971948507,1.263931992249308,8.938811166565186,54.662300199423655,7.388426274482725,41.50861609619329,43.22844773329229,0.7010947051509611,43.564302543085425,0.019607156931144155,0.14367521764004224,0.2641755911258502,0.718594348142099,0.010518100126628072,-0.014141785904578286,-0.014148317202007009,-0.04707469090718011,0.09734653146452102,26.685509925510303,120.77600264395214
2906,standard_vector_invariant,4.186393971948507,1.263931992249308,8.938811166565186,54.662300199423655,7.388426274482725,41.50861609619329,43.22844773329229,0.40477721674632866,43.564302543085425,0.019607156931144155,0.14367521764004224,0.2641755911258502,0.718594348142099,0.010518100126628072,-0.014141785904578286,-0.014148317202007009,-0.0815357564018366,0.16860913843715275,80.05652977653092,362.3280079318564
2907,reference_f_Bcstar_0p384,4.186393971948507,1.263931992249308,8.938811166565186,54.662300199423655,7.388426274482725,41.50861609619329,43.22844773329229,0.450917629325559,43.564302543085425,0.019607156931144155,0.14367521764004224,0.2641755911258502,0.718594348142099,0.010518100126628072,-0.014141785904578286,-0.014148317202007009,-0.07319256200074975,0.15135610882339617,64.51110045975972,291.9709183538567
2908,projector_diagnostic,4.180805972808476,1.2527910548447352,8.617631839984432,53.06778068761511,5.367206321236434,43.39701789669757,43.50942240660193,0.8376283409757957,43.402947183822796,0.015510413004021659,0.116863258134079,0.2583230928917423,0.7126819735574309,0.009101386866853854,-0.012190658882830724,-0.012196309689163163,-0.0400132518915515,0.08489195281005255,19.28005408913833,91.84864119823477
2909,standard_vector_invariant,4.180805972808476,1.2527910548447352,8.617631839984432,53.06778068761511,5.367206321236434,43.39701789669757,43.50942240660193,0.48360494814323535,43.402947183822796,0.015510413004021659,0.116863258134079,0.2583230928917423,0.7126819735574309,0.009101386866853854,-0.012190658882830724,-0.012196309689163163,-0.06930498525221869,0.14703717542075054,57.840162267415,275.54592359470433
2910,reference_f_Bcstar_0p384,4.180805972808476,1.2527910548447352,8.617631839984432,53.06778068761511,5.367206321236434,43.39701789669757,43.50942240660193,0.4112463799843108,43.402947183822796,0.015510413004021659,0.116863258134079,0.2583230928917423,0.7126819735574309,0.009101386866853854,-0.012190658882830724,-0.012196309689163163,-0.08149915824242772,0.17290828334389874,79.98467751918805,381.04062949466294
2911,projector_diagnostic,4.171031986273644,1.251831358126544,8.440150368305725,54.628505433430824,6.0410672130531875,41.56587960354766,43.49780704927189,0.7755481881873373,43.59079818955913,0.015320474859310679,0.11327812446959858,0.2713812338922933,0.7417868891556417,0.00852255874692792,-0.011448038542353541,-0.011453360492320841,-0.043232544433421255,0.09172526087286197,22.50723496563414,107.23031925198998
2912,standard_vector_invariant,4.171031986273644,1.251831358126544,8.440150368305725,54.628505433430824,6.0410672130531875,41.56587960354766,43.49780704927189,0.4477629552194858,43.59079818955913,0.015320474859310679,0.11327812446959858,0.2713812338922933,0.7417868891556417,0.00852255874692792,-0.011448038542353541,-0.011453360492320841,-0.07488096349916465,0.1588728121693065,67.5217048969024,321.6909577559698
2913,reference_f_Bcstar_0p384,4.171031986273644,1.251831358126544,8.440150368305725,54.628505433430824,6.0410672130531875,41.56587960354766,43.49780704927189,0.3722756545817181,43.59079818955913,0.015320474859310679,0.11327812446959858,0.2713812338922933,0.7417868891556417,0.00852255874692792,-0.011448038542353541,-0.011453360492320841,-0.0900647708046901,0.19108786461174193,97.68107897422867,465.37805729039985
2914,projector_diagnostic,4.182364269921717,1.2722369753553455,7.990792384092961,53.7143189546584,6.851374296032603,43.079789336854304,43.28706470486094,0.7497023024749203,43.23419350533874,0.010463854847326447,0.07761653986880376,0.26095910881840273,0.7146976585061976,0.006281315079800244,-0.008346101985989618,-0.008350013885576442,-0.04487085712096797,0.09592913020825193,24.245396051314504,117.28452174955194
2915,standard_vector_invariant,4.182364269921717,1.2722369753553455,7.990792384092961,53.7143189546584,6.851374296032603,43.079789336854304,43.28706470486094,0.4328408261459775,43.23419350533874,0.010463854847326447,0.07761653986880376,0.26095910881840273,0.7146976585061976,0.006281315079800244,-0.008346101985989618,-0.008350013885576442,-0.07771860431268028,0.16615412744658273,72.73618815394352,351.8535652486558
2916,reference_f_Bcstar_0p384,4.182364269921717,1.2722369753553455,7.990792384092961,53.7143189546584,6.851374296032603,43.079789336854304,43.28706470486094,0.3911622650116356,43.23419350533874,0.010463854847326447,0.07761653986880376,0.26095910881840273,0.7146976585061976,0.006281315079800244,-0.008346101985989618,-0.008350013885576442,-0.08599956567030362,0.18385794393895233,89.06212797672467,430.82856075602103
