M2,s0_root,GA,GB,G2460,G2536,Gamma2460_keV,Gamma2536_keV,plot_M2
3.5,2.5566666666666666,-0.3510603521399745,-0.2642278928427788,-0.4185092167995068,-0.1338274473142237,36.816695313206246,5.55764179485493,3.5
3.5,2.56,-0.3529182677385,-0.26529203472845253,-0.42045131368765293,-0.1347288395713142,37.15918474235804,5.632760710551916,3.5
3.5,2.5633333333333335,-0.35477459088943825,-0.2663540390321626,-0.4223907458068269,-0.13563016739010403,37.502786623663276,5.708378465927685,3.5
3.5,2.566666666666667,-0.35662928808528926,-0.26741389205501154,-0.4243274826142792,-0.13653141133987512,37.84748899057144,5.7844933063826005,3.5
3.5,2.5700000000000003,-0.35848232605284014,-0.2684715802515628,-0.4262614938278902,-0.13743255209244154,38.1932798328581,5.86110344260056,3.5
3.5,2.5733333333333333,-0.36033367175309816,-0.2695270902294361,-0.428192749425801,-0.13833357042232844,38.54014709796449,5.938207050862323,3.5
3.5,2.5766666666666667,-0.36218329238121455,-0.2705804087488981,-0.43012121964603556,-0.13923444720694644,38.88807869233309,6.015802273361247,3.5
3.5,2.58,-0.3640311553663952,-0.2716315227224474,-0.4320468749861104,-0.1401351634267586,39.23706248273839,6.0938872185211395,3.5
3.5,2.5833333333333335,-0.36587722837180126,-0.272680419214397,-0.4339696862026361,-0.14103570016544054,39.587086297613354,6.1724599613161795,3.5
3.5,2.586666666666667,-0.36772147929443944,-0.2737270854404498,-0.43588962431090794,-0.14193603861003623,39.938137928370985,6.251518543593081,3.5
3.5,2.59,-0.3695638762650417,-0.27477150876727136,-0.4378066605844872,-0.14283616005110678,40.29020513072115,6.331060974395189,3.5
3.5,2.5933333333333333,-0.37140438764793365,-0.2758136767120578,-0.43972076655477277,-0.14373604588287237,40.64327562598232,6.411085230288468,3.5
3.5,2.5966666666666667,-0.3732429820408915,-0.27685357694209894,-0.4416319140105618,-0.14463567760334847,40.99733710238804,6.491589255689385,3.5
3.5,2.6,-0.3750796282749904,-0.277891197274337,-0.44354007499760195,-0.14553503681447666,41.3523772163882,6.572570963194681,3.5
4.5,2.5,-0.32618178387503105,-0.2448404596643905,-0.38831013345181375,-0.1247262886451854,31.695105229727595,4.827431978381932,4.5
4.5,2.5033333333333334,-0.32822269928333253,-0.24603292782016692,-0.3904627100681253,-0.12570287961242407,32.047479481517186,4.903324289394872,4.5
4.5,2.506666666666667,-0.3302647056239886,-0.24722461579294058,-0.3926152803513398,-0.12668081176526216,32.40180065672248,4.979913955641176,4.5
4.5,2.51,-0.33230776500647824,-0.24841550446168525,-0.39476780680074275,-0.12766006522905185,32.75806251448758,5.057201844487349,4.5
4.5,2.513333333333333,-0.334351839668113,-0.24960557481361312,-0.3969202520778258,-0.12864062017092812,33.11625870528343,5.135188781603875,4.5
4.5,2.5166666666666666,-0.33639689197465283,-0.25079480794427095,-0.3990725790067215,-0.1296224568002553,33.47638277172442,5.2138755509666685,4.5
4.5,2.52,-0.3384428844209207,-0.25198318505763134,-0.4012247505746328,-0.13060555536907636,33.83842814939226,5.293262894863355,4.5
4.5,2.5233333333333334,-0.34048977963140437,-0.25317068746617966,-0.4033767299322518,-0.13158989617255373,34.202388167666065,5.373351513903429,4.5
4.5,2.526666666666667,-0.34253754036085027,-0.2543572965909967,-0.4055284803941706,-0.13257545954940594,34.568256050558915,5.4541420670325955,4.5
4.5,2.5300000000000002,-0.3445861294948496,-0.2555429939618361,-0.4076799654392826,-0.1335622258823416,34.93602491756048,5.535635171551401,4.5
4.5,2.533333333333333,-0.3466355100504122,-0.2567277612171974,-0.4098311487111742,-0.1345501755984851,35.305687784485585,5.617831403137666,4.5
4.5,2.5366666666666666,-0.3486856451765367,-0.25791158010439463,-0.4119819940185102,-0.1355392891698029,35.6772375643291,5.700731295873406,4.5
4.5,2.54,-0.3507364981547674,-0.2590944324796205,-0.4141324653354078,-0.1365295471135204,36.05066706812618,5.784335342275382,4.5
4.5,2.5433333333333334,-0.35278803239974493,-0.2602763003080054,-0.41628252680180333,-0.13752092999253754,36.42596900581833,5.868643993329943,4.5
4.5,2.546666666666667,-0.3548402114597477,-0.2614571656636735,-0.41843214272381024,-0.13851341841583797,36.80313598712508,5.953657658531665,4.5
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.42058127757406777,-0.1395069930388966,37.182160522420766,6.039376705926203,4.5
4.5,2.5533333333333332,-0.3589463588893216,-0.2638158177986175,-0.4227298959920828,-0.14050163456407846,37.56303502361692,6.125801462156675,4.5
4.5,2.5566666666666666,-0.3610002550283917,-0.2649935692715393,-0.4248779627845601,-0.14149732374103735,37.945751805049234,6.212932212514317,4.5
4.5,2.56,-0.3630546515225094,-0.2661702476591148,-0.42702544292572797,-0.14249404136710786,38.3303030843702,6.300769200992775,4.5
4.5,2.5633333333333335,-0.365109512595964,-0.26734583558110236,-0.42917230155765096,-0.14349176828769297,38.71668098344564,6.389312630346243,4.5
4.5,2.566666666666667,-0.36716480260975487,-0.2685203157664915,-0.4313185039905396,-0.1444904853966496,39.10487752925706,6.478562662151579,4.5
4.5,2.5700000000000003,-0.3692204860620694,-0.26969367105352565,-0.4334640157030465,-0.1454901736366659,39.49488465480754,6.568519416873836,4.5
4.5,2.5733333333333333,-0.3712765275887595,-0.2708658843897221,-0.4356088023425566,-0.14649081399963834,39.88669420003255,6.6591829739359065,4.5
4.5,2.5766666666666667,-0.37333289196380837,-0.27203693883188873,-0.4377528297254718,-0.14749238752704322,40.28029791271544,6.750553371791711,4.5
4.5,2.58,-0.3753895440997842,-0.2732068175461342,-0.43989606383748037,-0.14849487531030103,40.67568744940596,6.84263060800284,4.5
4.5,2.5833333333333335,-0.37744644904829294,-0.274375503807875,-0.4420384708338253,-0.14949825849114176,41.07285437634406,6.9354146393192515,4.5
4.5,2.586666666666667,-0.37950357200041845,-0.27554298100183916,-0.4441800170395608,-0.150502518261962,41.471790170386846,7.028905381763244,4.5
4.5,2.59,-0.381560878287155,-0.2767092326220638,-0.4463206689498008,-0.15150763586617955,41.872486219939475,7.123102710717128,4.5
4.5,2.5933333333333333,-0.38361833337983353,-0.2778742422718908,-0.4484603932299617,-0.15251359259858344,42.27493382588997,7.218006461014406,4.5
