ensemble,M2,s0_root,theta_deg,GA,GB,GB_hard,GB_soft2p,GB_3p,G2460,G2536,Gamma2460_keV,Gamma2536_keV,fB,hard_qcd_side,f1_tensor_matched,input_mc,input_ms,input_m_ds1,input_m_ds1_2536,input_m_ds,input_f_ds1,input_f_ds,input_fT,input_ss,input_chi,input_f3g,input_ec,input_es,input_omegaA,input_omegaV
theta_fixed,4.616347573650949,2.502640553583694,35.3,-0.40349381320397687,-0.268661616748037,-0.39178084482476877,0.12257436435203206,0.0005448637246996696,-0.4524268207912745,-0.17405830470349562,43.055223358333734,9.407411501298041,0.4583238749262594,-0.10862705146851692,0.059682822414686205,1.2633771721023024,0.07887291023297324,2.45949555340964,2.5351198705715747,1.9682205932256498,0.2005373634506583,0.24964808068047123,0.25012659933584863,-0.011400244733672418,2.549174653496621,-0.0017941614519029322,0.6666666666666666,-0.3333333333333333,-3.2762742333501302,3.9310332495434803
theta_fixed,4.833049167157991,2.5863956832076913,35.3,-0.444141496373481,-0.29421526620758465,-0.4056134205016826,0.1109277252866443,0.00047042900745366265,-0.4967706883119659,-0.1924660357167736,51.957654527178775,11.492561799951238,0.4747508433816938,-0.12053917248451504,0.06007773918253688,1.2877690641438928,0.07707692946134717,2.459827932358563,2.5351026883491095,1.9683879931828638,0.20991685984622863,0.25029270265175585,0.2634175252774395,-0.010427529703714357,2.5531175440071467,-0.0016156460761851757,0.6666666666666666,-0.3333333333333333,-3.426524237261036,1.798775244272081
theta_fixed,5.733713699734372,2.5767199068998727,35.3,-0.42639324612705426,-0.30444386446968924,-0.4218516220282234,0.11695210561007809,0.0004556519484561049,-0.49486267012313395,-0.17207034804000224,51.46727995098155,9.184547727982709,0.45228041801612556,-0.14521389762501624,0.05930159294254363,1.2411677335156288,0.07499805546809311,2.459472040979216,2.5350377284970564,1.9683522623467702,0.22186915669666324,0.24976024223278567,0.2420340639379978,-0.011007790543430075,2.595504648282294,-0.0007930324636144042,0.6666666666666666,-0.3333333333333333,-1.8689440756374165,4.327517826846465
theta_fixed,4.995538799156291,2.5390625675657446,35.3,-0.4192824837592053,-0.31127096469928967,-0.44622133888057286,0.134478742257978,0.0004716319233051556,-0.4963255150023149,-0.1623218956573683,51.742946961944945,8.173140486480294,0.4129270988502776,-0.11886152947128091,0.05984594312500298,1.2728409008999042,0.09300175032731761,2.4593862790654133,2.535047453509544,1.9683677479635753,0.2090100343314245,0.24964138740317032,0.22932283889603153,-0.009346631256996907,3.2102630597157673,0.0004560484135292284,0.6666666666666666,-0.3333333333333333,-3.0175257334101158,6.348847029542194
theta_fixed,3.6890024191614046,2.5658181219967124,35.3,-0.38591732833517156,-0.30217015144171167,-0.4612743660984338,0.15855433666735005,0.000549877989372131,-0.4696176897519871,-0.14035031244592938,46.09434181536506,6.1117374987789175,0.4320614002774937,-0.09295298651207515,0.059565763756093626,1.2548974471195407,0.07664287707674218,2.4584916151314307,2.5350946886362142,1.9683651666549675,0.21341456700604983,0.250079371479514,0.23400819163153339,-0.009074722527501562,3.612037853446031,-0.001472130211710552,0.6666666666666666,-0.3333333333333333,-1.1177008044638872,5.511422092087452
theta_fixed,5.304013327820321,2.5845508043145653,35.3,-0.4797439961477603,-0.26812207902255253,-0.38440331207149153,0.11593359300509776,0.0003476400438412288,-0.4960482333469426,-0.23660072124272014,51.49436441981052,17.37314370720725,0.5043075069953599,-0.1362659730029373,0.059314179196781704,1.24079417653436,0.09100571476343254,2.4586751089695853,2.5351023525788747,1.968319155098154,0.19720594389591095,0.25035262812289233,0.2731701641045854,-0.008943193038965978,3.5795420602296426,-0.006729723589528276,0.6666666666666666,-0.3333333333333333,-1.925923859238774,2.8005942636155985
theta_fixed,3.003026496580211,2.56011198067546,35.3,-0.3385871838007878,-0.26795468383405724,-0.39968810594924725,0.13114918819892357,0.0005842339162664631,-0.4143430755928432,-0.12149407117642164,36.05035547052561,4.579761317360415,0.5180621421638878,-0.0702444182533915,0.059694437779718584,1.2636718013120574,0.08147144258206693,2.4593544281837447,2.5351158294992535,1.968389600830561,0.26597052065260307,0.24989613560004084,0.28335394950117626,-0.009348374553013678,2.994182813931002,-0.006014496494658859,0.6666666666666666,-0.3333333333333333,-1.6165494197132324,5.647101864288305
theta_fixed,3.6382229553333474,2.5517598731326525,35.3,-0.28205771927426865,-0.2552803792074035,-0.4288247650056567,0.17286583692588484,0.0006785488723683398,-0.37133311707993827,-0.08268219379149741,29.19888419582271,2.122813372087464,0.4572037376192741,-0.08759142457733482,0.05977663932846882,1.2707310509753424,0.09194162250412934,2.4607845684425036,2.535206121896275,1.968306043392166,0.2621286475129387,0.24995274323265723,0.2531790256880506,-0.011626367181659552,3.1884491208517742,-0.0032707580296784675,0.6666666666666666,-0.3333333333333333,-2.1736816361434865,4.115632442108326
theta_fixed,4.265922208564795,2.523458523979732,35.3,-0.36470938662604857,-0.2704627663994205,-0.39131336600066374,0.12037110813577845,0.0004794914654647828,-0.43148493012173017,-0.14136406820483663,39.17989312391828,6.20474026728921,0.4676874298595497,-0.0980035787994115,0.06023164091828224,1.2973723736109664,0.08905447039779583,2.459561319903476,2.5350848981853202,1.968201969277705,0.2274370286746792,0.24933483815098545,0.26363010432616146,-0.009483825221900352,3.0113804626931704,-0.004087756625417012,0.6666666666666666,-0.3333333333333333,-0.5709342395076524,4.259378789785292
theta_fixed,3.2443375223928945,2.513243182230775,35.3,-0.23989449144908298,-0.21794026433841326,-0.44394455026700497,0.2250905414122231,0.000913744516368613,-0.3164941030500419,-0.06984846871665154,21.016352965553846,1.5143113052185055,0.43294459585609546,-0.0728803295066453,0.060044804662424865,1.2847766960627043,0.07606939189962149,2.4591261459739697,2.535119638204382,1.9683095747197308,0.19712850925352304,0.2498912298247419,0.2395854968805794,-0.013203635275037338,3.321664690840687,-0.005946783734246028,0.6666666666666666,-0.3333333333333333,-2.088503184821496,4.054309036584601
theta_fixed,4.776582123805569,2.510542941809808,35.3,-0.38235607820377415,-0.26699030612064023,-0.3799968682835504,0.11254320681563472,0.00046335534727541923,-0.4388482000314903,-0.15777278418943153,40.2691606367649,7.728834958525231,0.4829425441522388,-0.11884129196863207,0.05894489706406738,1.2203036897380706,0.0787074126899863,2.4585579092520504,2.5352349958644558,1.9683547510096062,0.23143944685102893,0.24942496765601166,0.25516898517125586,-0.010723007129149953,2.676164332598517,-0.002620638146693222,0.6666666666666666,-0.3333333333333333,-2.2813930698881224,5.1480322082505445
theta_fixed,4.212024784776628,2.5859619325391705,35.3,-0.33330872719465776,-0.3562606956756677,-0.5212483094876524,0.16435858748653825,0.0006290263254464638,-0.48336273489201564,-0.06615782210097729,49.03256672722146,1.3582815621648388,0.37493623898420025,-0.10358409780206689,0.060201181910825866,1.294723182017876,0.0886335280420899,2.459167368711954,2.535078847463977,1.9683042880732515,0.26522951057490546,0.24989553563127237,0.21091307921636343,-0.009909047978897342,3.0594733944460875,-0.0036284298087485324,0.6666666666666666,-0.3333333333333333,-1.9044528724459444,5.8199772118141935
theta_fixed,3.425592257382516,2.5236610491201743,35.3,-0.2856216870356312,-0.27938357181962803,-0.5097028329369173,0.2293468099538823,0.0009724511634069949,-0.3930641045556774,-0.0716626682284211,32.44643856789942,1.592411193326077,0.37585343169897734,-0.07810319163893063,0.059964380990403014,1.2800537906479839,0.0965802869660735,2.4593856884452534,2.5349990096290105,1.96840007314027,0.2248720177544679,0.25068334071958265,0.21038287922708526,-0.012935122141778768,3.0488576431535517,-0.004049773372868927,0.6666666666666666,-0.3333333333333333,-3.2231478487322587,6.468428876905364
theta_fixed,4.35680580263074,2.5984813858561564,35.3,-0.3435161160751231,-0.2386221127197111,-0.39116977634980155,0.15202150343596685,0.0005261601941236076,-0.39325188278752043,-0.1424668079456623,32.446887485820795,6.297815618883775,0.5101814606444648,-0.11281775805212851,0.05970529046061099,1.264107324807104,0.08555460045448075,2.4592141838644808,2.5351379377747034,1.968397552244682,0.22596181600654666,0.2500508320444365,0.27999695875376457,-0.011748109798903941,3.3131150305052786,-0.004258302097059535,0.6666666666666666,-0.3333333333333333,-1.6357398289999527,4.092584441736924
theta_fixed,3.507007908061878,2.526069535783141,35.3,-0.25329995427116087,-0.2031414249732006,-0.38690222289705767,0.18295963790097944,0.0008011600228776467,-0.3121626628546612,-0.08934079299738626,20.3620827689347,2.477507951948214,0.4936331445793126,-0.07931840818839338,0.060076099466043614,1.2856892079786042,0.10518592120279797,2.4584571763717116,2.5351864261290125,1.968371512458403,0.24614703838980026,0.2494102453484163,0.2792735502304979,-0.014215577788057062,2.9060711630804037,-0.005149252508018887,0.6666666666666666,-0.3333333333333333,-1.6670284264087276,1.805258625362213
theta_fixed,4.313928336946598,2.5887360288346852,35.3,-0.40147031769703445,-0.2613823811852165,-0.3985413025118039,0.13670542841727473,0.00045349290931265827,-0.4453166707148159,-0.17661321572658098,41.7493741775105,9.672610923931423,0.4924035357592327,-0.10827370966113421,0.059942897620247564,1.279368404738517,0.09121596863127376,2.459820183123485,2.5350036326724803,1.968390890898151,0.2108368443785489,0.2506744830481501,0.2743617586902927,-0.009653685554733216,3.5380523359966856,-0.0059114455673096025,0.6666666666666666,-0.3333333333333333,-1.4055030990441049,4.987829662325193
theta_fixed,5.367820192520089,2.5832423662437543,35.3,-0.35260815548336377,-0.28683386446627107,-0.48201333071465996,0.1944545743049279,0.0007248919434609573,-0.4378532099647481,-0.12202763474558326,40.284984611447584,4.6196381257136165,0.3950101760491413,-0.12944656084526987,0.060057207044759024,1.285979449216617,0.10579753497466893,2.459515366230606,2.535133953771209,1.9684287611721227,0.21647542058224933,0.2502428801897612,0.22352617881347128,-0.014321745763015864,2.857206590680786,-0.004166569152822811,0.6666666666666666,-0.3333333333333333,-3.9263038137138446,3.731999028377181
theta_fixed,5.3147513784351545,2.5781551202774677,35.3,-0.3682958673956282,-0.2737707801905846,-0.415753853920571,0.14150633799756565,0.0004767357324207683,-0.4362571997826092,-0.14237956898620027,39.907490653001645,6.286702856270361,0.46136263800734584,-0.13315220000625008,0.05959297142349978,1.2573227600203996,0.0919911951252337,2.45910190437285,2.5350208071258873,1.9683935621218294,0.2334761329227322,0.2500114952295004,0.25315056880689873,-0.011106113479655276,3.1783260152805224,-0.0038330602283407453,0.6666666666666666,-0.3333333333333333,-0.424613871528861,2.367239673234118
