sector,scenario,ensemble,window_id,M2,s0,theta_deg,f1_GeV,f2_GeV,rho_AB,f1_target_clipped,GA_basis,GB_basis,chi_effective,fperp_s_used_GeV,state,state_key,g_GeV_inv,Gamma_keV,g_low_GeV_inv,g_high_GeV_inv,quoted_combo
Ds,legacy_chi_condensate,theta_fixed,central,3.815457374120362,8.663645477574567,35.3,0.32228047767778195,0.35357955638448996,-0.42102688651578984,0,-0.7228996845688673,-0.4406621764575315,3.059416152629875,-0.027934721904802364,D_{s1}(2460),Ds1_2460,-0.7464954940094842,117.22755349347592,,,
Ds,legacy_chi_condensate,theta_fixed,central,3.815457374120362,8.663645477574567,35.3,0.32228047767778195,0.35357955638448996,-0.42102688651578984,0,-0.7228996845688673,-0.4406621764575315,3.059416152629875,-0.027934721904802364,D_{s1}(2536),Ds1_2536,-0.02657298562128837,0.21914532349389768,,,
Ds,legacy_chi_condensate,theta_fixed,central,3.9799902340362925,8.233207943902034,35.3,0.36357824724736115,0.3454670697461362,-0.15404098798351795,0,-0.5059523937382131,-0.3751514483470562,3.0730941247089265,-0.03530344972948656,D_{s1}(2460),Ds1_2460,-0.5652807350194125,67.15478102912165,,,
Ds,legacy_chi_condensate,theta_fixed,central,3.9799902340362925,8.233207943902034,35.3,0.36357824724736115,0.3454670697461362,-0.15404098798351795,0,-0.5059523937382131,-0.3751514483470562,3.0730941247089265,-0.03530344972948656,D_{s1}(2536),Ds1_2536,-0.017019428709479832,0.08987851065541662,,,
Ds,legacy_chi_condensate,theta_fixed,central,4.253873385199049,8.019721523778736,35.3,0.34445783363938987,0.36601781623499047,-0.3846273777763002,0,-0.48990507994530913,-0.32371914153023695,3.140066869368709,-0.04220600494604958,D_{s1}(2460),Ds1_2460,-0.5231393913625546,57.490474293832946,,,
Ds,legacy_chi_condensate,theta_fixed,central,4.253873385199049,8.019721523778736,35.3,0.34445783363938987,0.36601781623499047,-0.3846273777763002,0,-0.48990507994530913,-0.32371914153023695,3.140066869368709,-0.04220600494604958,D_{s1}(2536),Ds1_2536,0.003111937661903903,0.003004090379144486,,,
Ds,legacy_chi_condensate,theta_fixed,central,4.11270512931342,8.528975466611941,35.3,0.3439264394462969,0.44030428804238547,-0.6317934282699383,0,-0.5267765760257073,-0.3518437618218953,2.566717130100698,-0.03155009011758205,D_{s1}(2460),Ds1_2460,-0.63158789078613,83.72636951799127,,,
Ds,legacy_chi_condensate,theta_fixed,central,4.11270512931342,8.528975466611941,35.3,0.3439264394462969,0.44030428804238547,-0.6317934282699383,0,-0.5267765760257073,-0.3518437618218953,2.566717130100698,-0.03155009011758205,D_{s1}(2536),Ds1_2536,0.0036730180372452795,0.004187795332667779,,,
Ds,legacy_chi_condensate,theta_fixed,central,3.350817541414412,8.696877506744533,35.3,0.334992549840334,0.3913913739354853,-0.48325478407011796,0,-0.587943621307723,-0.37747241028968903,3.7000347921078207,-0.03349802661655493,D_{s1}(2460),Ds1_2460,-0.6547876655708442,90.55677138110083,,,
Ds,legacy_chi_condensate,theta_fixed,central,3.350817541414412,8.696877506744533,35.3,0.334992549840334,0.3913913739354853,-0.48325478407011796,0,-0.587943621307723,-0.37747241028968903,3.7000347921078207,-0.03349802661655493,D_{s1}(2536),Ds1_2536,-0.0186086941861389,0.10749727371458773,,,
Ds,legacy_chi_condensate,theta_fixed,central,4.0128446067361,8.463733382688815,35.3,0.34357972490410327,0.3298930846156345,-0.23100455903268494,0,-0.7554210057508517,-0.4506547458260088,3.2014407134753933,-0.02636329287162472,D_{s1}(2460),Ds1_2460,-0.7203670564628171,109.46262762806866,,,
Ds,legacy_chi_condensate,theta_fixed,central,4.0128446067361,8.463733382688815,35.3,0.34357972490410327,0.3298930846156345,-0.23100455903268494,0,-0.7554210057508517,-0.4506547458260088,3.2014407134753933,-0.02636329287162472,D_{s1}(2536),Ds1_2536,-0.042729875363392705,0.5666073068923984,,,
Ds,legacy_chi_condensate,theta_fixed,central,4.161651612979587,7.867534966882608,35.3,0.34306180248526724,0.4191447423272037,-0.5882686248773251,0,-0.3611778645607543,-0.25636183451783284,3.4798451866254507,-0.05043569634143216,D_{s1}(2460),Ds1_2460,-0.43681945718532356,40.20387220031027,,,
Ds,legacy_chi_condensate,theta_fixed,central,4.161651612979587,7.867534966882608,35.3,0.34306180248526724,0.4191447423272037,-0.5882686248773251,0,-0.3611778645607543,-0.25636183451783284,3.4798451866254507,-0.05043569634143216,D_{s1}(2536),Ds1_2536,0.017334481570309132,0.0932136964217721,,,
