fB_scheme,include_vector_da_diagnostic,M2,s0_root,s0,GA_stage1_full,GB_tensor_DA_soft2p,GB_vector_DA_diagnostic,GB_soft2p_estimate,G2460_partial,G2536_partial,Gamma2460_keV_partial,Gamma2536_keV_partial,fB
fB_converted_fT_M_over_msum,False,5.25,2.5,6.25,-0.3301591722180165,0.13438496937612082,-5.446613674080307e-16,0.13438496937612082,-0.08110836987670422,-0.3471106903134079,1.3828214119967552,37.388336454662586,0.4619457079970653
fB_converted_fT_M_over_msum,True,5.25,2.5,6.25,-0.3301591722180165,0.13438496937612082,-5.446613674080307e-16,0.13438496937612027,-0.08110836987670468,-0.3471106903134076,1.3828214119967712,37.388336454662515,0.4619457079970653
fB_equal_fT,False,5.5,2.5,6.25,-0.33080115175968633,0.23881079541186334,-9.547405497242972e-16,0.23881079541186334,0.003746499353384586,-0.40797789370672644,0.0029504351516909644,51.65036876840942,0.256
fB_equal_fT,True,5.5,2.5,6.25,-0.33080115175968633,0.23881079541186334,-9.547405497242972e-16,0.2388107954118624,0.0037464993533838364,-0.4079778937067259,0.002950435151689784,51.65036876840928,0.256
fB_converted_fT_M_over_msum,False,5.5,2.5,6.25,-0.33080115175968633,0.13234361217579577,-5.290959013109237e-16,0.13234361217579577,-0.08314537099552244,-0.34645502012712903,1.4531515203624412,37.24722144370153,0.4619457079970653
fB_converted_fT_M_over_msum,True,5.5,2.5,6.25,-0.33080115175968633,0.13234361217579577,-5.290959013109237e-16,0.13234361217579524,-0.08314537099552287,-0.34645502012712875,1.4531515203624563,37.24722144370147,0.4619457079970653
fB_equal_fT,False,5.75,2.5,6.25,-0.331365966027381,0.23553448735196114,-9.297970527278899e-16,0.23553448735196114,0.0007461989580678785,-0.40654562026976204,0.00011704261766440256,51.288351132963236,0.256
fB_equal_fT,True,5.75,2.5,6.25,-0.331365966027381,0.23553448735196114,-9.297970527278899e-16,0.23553448735196023,0.0007461989580671291,-0.4065456202697615,0.00011704261766416745,51.2883511329631,0.256
fB_converted_fT_M_over_msum,False,5.75,2.5,6.25,-0.331365966027381,0.130527955381469,-5.1527277205452885e-16,0.130527955381469,-0.0849535789870049,-0.34586679516054286,1.5170437633462277,37.12084921814105,0.4619457079970653
fB_converted_fT_M_over_msum,True,5.75,2.5,6.25,-0.331365966027381,0.130527955381469,-5.1527277205452885e-16,0.13052795538146847,-0.08495357898700533,-0.34586679516054253,1.5170437633462428,37.12084921814098,0.4619457079970653
fB_equal_fT,False,6.0,2.5,6.25,-0.3318668622526693,0.23260230975320798,-9.0750507499123e-16,0.23260230975320798,-0.001936308103873352,-0.40526003932646304,0.0007881042614201545,50.96449534404784,0.256
fB_equal_fT,True,6.0,2.5,6.25,-0.3318668622526693,0.23260230975320798,-9.0750507499123e-16,0.23260230975320706,-0.0019363081038741015,-0.40526003932646254,0.0007881042614207646,50.96449534404772,0.256
fB_converted_fT_M_over_msum,False,6.0,2.5,6.25,-0.3318668622526693,0.12890300800716503,-5.02919055585707e-16,0.12890300800716503,-0.0865692063238842,-0.3453366071692664,1.5752940092484926,37.00712946254439,0.4619457079970653
fB_converted_fT_M_over_msum,True,6.0,2.5,6.25,-0.3318668622526693,0.12890300800716503,-5.02919055585707e-16,0.12890300800716453,-0.08656920632388461,-0.3453366071692661,1.575294009248507,37.00712946254433,0.4619457079970653
fB_equal_fT,False,3.0,2.55,6.5024999999999995,-0.34063437055481355,0.3261463827240981,-1.5858000506455492e-15,0.3261463827240981,0.06934215465763188,-0.4664706882052987,1.0107166363981948,67.52255723927037,0.256
fB_equal_fT,True,3.0,2.55,6.5024999999999995,-0.34063437055481355,0.3261463827240981,-1.5858000506455492e-15,0.3261463827240965,0.06934215465763055,-0.46647068820529775,1.010716636398156,67.5225572392701,0.256
fB_converted_fT_M_over_msum,False,3.0,2.55,6.5024999999999995,-0.34063437055481355,0.18074304519330991,-8.788149904573626e-16,0.18074304519330991,-0.049326974824357744,-0.38244826100232443,0.5114506236342734,45.38847014068245,0.4619457079970653
fB_converted_fT_M_over_msum,True,3.0,2.55,6.5024999999999995,-0.34063437055481355,0.18074304519330991,-8.788149904573626e-16,0.18074304519330903,-0.049326974824358466,-0.3824482610023239,0.5114506236342884,45.38847014068231,0.4619457079970653
fB_equal_fT,False,3.25,2.55,6.5024999999999995,-0.3453606965250696,0.3096459666773566,-1.4553123585022818e-15,0.3096459666773566,0.05314440137269,-0.46079312927448723,0.5936764047835703,65.88888425221289,0.256
fB_equal_fT,True,3.25,2.55,6.5024999999999995,-0.3453606965250696,0.3096459666773566,-1.4553123585022818e-15,0.30964596667735517,0.05314440137268883,-0.46079312927448635,0.5936764047835443,65.88888425221265,0.256
fB_converted_fT_M_over_msum,False,3.25,2.55,6.5024999999999995,-0.3453606965250696,0.17159888293605896,-8.065016241669486e-16,0.17159888293605896,-0.05952101286952674,-0.3810215694106701,0.74468974905032,45.05046590291543,0.4619457079970653
fB_converted_fT_M_over_msum,True,3.25,2.55,6.5024999999999995,-0.3453606965250696,0.17159888293605896,-8.065016241669486e-16,0.17159888293605816,-0.05952101286952741,-0.38102156941066967,0.7446897490503368,45.05046590291531,0.4619457079970653
fB_equal_fT,False,3.5,2.55,6.5024999999999995,-0.34905691528407773,0.2965555879199636,-1.3520459947515797e-15,0.2965555879199636,0.04032496300911256,-0.4562453771738458,0.3418083792485969,64.59473454362364,0.256
fB_equal_fT,True,3.5,2.55,6.5024999999999995,-0.34905691528407773,0.2965555879199636,-1.3520459947515797e-15,0.2965555879199623,0.04032496300911148,-0.456245377173845,0.34180837924857854,64.59473454362342,0.256
fB_converted_fT_M_over_msum,False,3.5,2.55,6.5024999999999995,-0.34905691528407773,0.1643444872270422,-7.492737104478158e-16,0.1643444872270422,-0.06757748609225372,-0.3798461846103058,0.9599283394494229,44.772949017468235,0.4619457079970653
fB_converted_fT_M_over_msum,True,3.5,2.55,6.5024999999999995,-0.34905691528407773,0.1643444872270422,-7.492737104478158e-16,0.16434448722704145,-0.06757748609225434,-0.3798461846103054,0.9599283394494402,44.77294901746815,0.4619457079970653
fB_equal_fT,False,3.75,2.55,6.5024999999999995,-0.35203015056587755,0.2859421679998244,-1.2684947712358523e-15,0.2859421679998244,0.029944845376307344,-0.45253890062983904,0.1884859138080917,63.54947961319737,0.256
