scenario,ensemble,theta_deg,GA_basis,GB_basis,G2460_basis,G2536_basis,Gamma2460_basis_keV,Gamma2536_basis_keV,fA_GeV,fB_eff_GeV,f1_GeV,f2_GeV,rho_AB,f1_target_GeV,f1_target_clipped,G2460_phys,G2536_phys,Gamma2460_phys_keV,Gamma2536_phys_keV
legacy_chi_condensate,theta_fixed,35.3,-0.3435161160751231,-0.2386221127197111,-0.39325188278752043,-0.1424668079456623,32.446887485820795,6.297815618883775,0.22596181600654666,0.5101814606444648,0.3486819246801138,0.435619995500284,-0.6331039244602599,0.3486819246801138,0,-0.4135896988686603,0.016066472110208608,35.88978431972165,0.08009466753957738
legacy_chi_condensate,theta_fixed,35.3,-0.25329995427116087,-0.2031414249732006,-0.3121626628546612,-0.08934079299738626,20.3620827689347,2.477507951948214,0.24614703838980026,0.4936331445793126,0.3255175027637091,0.44530933218360585,-0.6681610848371403,0.3255175027637091,0,-0.36209718481000125,0.015855575427821997,27.397477669053004,0.07803320901648515
legacy_chi_condensate,theta_fixed,35.3,-0.40147031769703445,-0.2613823811852165,-0.4453166707148159,-0.17661321572658098,41.7493741775105,9.672610923931423,0.2108368443785489,0.4924035357592327,0.36789335617618685,0.38931721700577243,-0.41866477377539274,0.36789335617618685,0,-0.4184747784565287,0.013592430788717474,36.868089999272996,0.05729168338505984
legacy_chi_condensate,theta_fixed,35.3,-0.35260815548336377,-0.28683386446627107,-0.4378532099647481,-0.12202763474558326,40.284984611447584,4.6196381257136165,0.21647542058224933,0.3950101760491413,0.33546897181216306,0.3005914434077016,-0.08727479612029276,0.33546897181216306,0,-0.4071277027748322,0.010565829111730539,34.829515695749066,0.03463368754481365
legacy_chi_condensate,theta_fixed,35.3,-0.3682958673956282,-0.2737707801905846,-0.4362571997826092,-0.14237956898620027,39.907490653001645,6.286702856270361,0.2334761329227322,0.46136263800734584,0.3532355932228835,0.3776125051876965,-0.34650978151674733,0.3532355932228835,0,-0.4324971284089995,0.007440260264697578,39.22253528147483,0.01716737292186543
legacy_chi_condensate,theta_fixed,35.3,-0.38119100467377726,-0.28768404663116093,-0.45506389291921473,-0.14486388815537546,43.43758440955416,6.510191716619687,0.2431451148565393,0.4717691932781414,0.32238176269664204,0.4216108604928412,-0.5920592243255376,0.32238176269664204,0,-0.5097222456786941,0.006602334760865562,54.49894384402815,0.01352286102089737
legacy_chi_condensate,theta_fixed,35.3,-0.47444341243642574,-0.26351655020750897,-0.4892265054475105,-0.2349360555666242,50.46152336412378,17.152849693308692,0.184666859585523,0.5021642782847441,0.3198250433112567,0.428932107780905,-0.8810546835712958,0.3198250433112567,0,-0.49597975538158057,0.011568336570137621,51.864273716738566,0.04158902769806725
legacy_chi_condensate,theta_fixed,35.3,-0.33309469814971737,-0.23823281094154422,-0.3869120631673908,-0.13418645803550325,31.506786531332494,5.583014720717779,0.2376466357978085,0.5083154164461186,0.35800103830558816,0.43208302752472,-0.5511512411157631,0.35800103830558816,0,-0.4038387303680934,0.01243409543109808,34.32381127465454,0.04793798624706894
legacy_chi_condensate,theta_fixed,35.3,-0.4191239583634109,-0.2773987993378012,-0.46858956248477485,-0.1817658061313931,46.18412313870783,10.250642595556958,0.2297567081651169,0.4864217927301142,0.33498363243834717,0.4209278695786954,-0.5977586601352715,0.33498363243834717,0,-0.4948583212333374,-0.0014711958635352876,51.507353493563556,0.0006715335391000977
legacy_chi_condensate,theta_fixed,35.3,-0.3521573496458943,-0.23540316572325246,-0.3956181818461838,-0.1513793365518213,32.77874209857652,7.108658526463221,0.18348012624821908,0.45292126185099185,0.3334575249684875,0.3572236067320407,-0.46802664438391556,0.3334575249684875,0,-0.37292148290275434,0.024849553081158375,29.125581360315444,0.19155417520019202
legacy_chi_condensate,theta_fixed,35.3,-0.44853844437513524,-0.3566886472344554,-0.5502983728741695,-0.15995383071515834,63.95202685522532,7.938629616201054,0.2431982403643015,0.4255341342996191,0.3424452689344879,0.35065071132796105,-0.23659101787801368,0.3424452689344879,0,-0.5458123395289791,-0.003759527569473186,62.91360271524672,0.004385537178560864
legacy_chi_condensate,theta_fixed,35.3,-0.32823777753496336,-0.28241639992472817,-0.4201653423929579,-0.10469071878320738,37.059184642343666,3.400290278188686,0.28297022676292094,0.442069231116479,0.3593961859409868,0.38253331340583324,-0.23511277232672476,0.3593961859409868,0,-0.4328513201934,-0.00956769103014191,39.33081084066729,0.028399710629295617
legacy_chi_condensate,theta_fixed,35.3,-0.2961367992485347,-0.24792796454534782,-0.37346823880381286,-0.09842130906233873,29.335994475047933,3.0053901089056767,0.19580287390827952,0.4207955825725323,0.3925358361420373,0.24763542777149253,0.3003303984790707,0.3925358361420373,0,-0.3022703095624938,0.05234658819825212,19.216949527581306,0.8501574016881405
legacy_chi_condensate,theta_fixed,35.3,-0.3168291923136286,-0.25471923129373875,-0.39096810398084103,-0.11138476360169597,32.200256123830755,3.851461981161661,0.24453703687732117,0.4948626002093541,0.3097591319654548,0.45687704653956007,-0.7633764158471836,0.3097591319654548,0,-0.4766456622510219,0.021029908675104094,47.85947826598747,0.1372931323817021
legacy_chi_condensate,theta_fixed,35.3,-0.47240847971550043,-0.30432066202361224,-0.5213523735425722,-0.20969630336066064,57.03635823335663,13.653846001554854,0.2194162224663291,0.4593865067525109,0.3354100574776462,0.3829876428953165,-0.46430304925331584,0.3354100574776462,0,-0.518750084235025,-0.009950798395085027,56.468394274334884,0.03074604836562231
legacy_chi_condensate,theta_fixed,35.3,-0.4512960821715978,-0.3141853299731582,-0.5172033399800959,-0.1867653085217089,56.154539054855945,10.825792826440576,0.20237005101614103,0.4344979537746618,0.34358801861631966,0.3341996152690115,-0.2576754287032716,0.34358801861631966,0,-0.4778640007668434,0.013010590684022898,47.93700035017761,0.052536522275014964
legacy_chi_condensate,theta_fixed,35.3,-0.4012254894651758,-0.28864479161640566,-0.46742507280345896,-0.16065961047671318,46.21195309701032,8.014413784337979,0.2209696881305473,0.4330812917020533,0.36129672151912384,0.32534856279744495,-0.11852782544012234,0.36129672151912384,0,-0.42417966623464204,-0.0003738243055364599,38.05660190315063,4.3390375880444076e-05
