group,M2,s0_root,theta_deg,GA,GB,G2460,G2536,Gamma2460_keV,Gamma2536_keV
borel_threshold,3.478858766642341,2.5010482069740636,35.3,-0.319633231809971,-0.24618628324159952,-0.3856243799233229,-0.11860407472912748,31.25818201643183,4.3651521232289054
borel_threshold,3.1316955084831197,2.5842330741540773,35.3,-0.35937760400049623,-0.27183647742837524,-0.4295250560886369,-0.1362187905902059,38.78035283467582,5.75803372038664
borel_threshold,4.659186516231941,2.5705805596169307,35.3,-0.37075489107711135,-0.27002381347149895,-0.4346201249772687,-0.14655168393449083,39.70584239119821,6.664718177640504
borel_threshold,3.234694640254849,2.5764543779169977,35.3,-0.35742863913665834,-0.26984508180356903,-0.4267735790562871,-0.13577891024804054,38.28510122769715,5.720905857558361
borel_threshold,4.097106761394904,2.5767523973055217,35.3,-0.36974556286693255,-0.27160722906227613,-0.43532916195986376,-0.1448129444697373,39.83549987052925,6.507511314278786
borel_threshold,3.309169598748923,2.545701208250818,35.3,-0.34215788620248005,-0.26050731222617984,-0.4103283532835812,-0.12871177609466145,35.391405025576155,5.140871281559928
borel_threshold,4.285838517396906,2.5935903004655128,35.3,-0.3817530069013557,-0.2776226233504669,-0.4471771444422594,-0.1511366294539098,42.03334441232124,7.088259832056064
borel_threshold,4.06789893609891,2.530416885818559,35.3,-0.3419335850628334,-0.2557846815014074,-0.4063444227013241,-0.13125772367455554,34.707501896702425,5.346257840905277
borel_threshold,4.407192759462874,2.5015950539977574,35.3,-0.32671406264700587,-0.24549987044069008,-0.3891558847203389,-0.1247796558147104,31.833321389825315,4.831563930024354
borel_threshold,3.6056356552417768,2.578063561632489,35.3,-0.3645488136972943,-0.2712452834319138,-0.4320307833956757,-0.14078083516829484,39.234139767552215,6.15017166724928
borel_threshold,5.647956344584506,2.5402117595335594,35.3,-0.35623438147556247,-0.25910429779838307,-0.41731751058778044,-0.14101087560783213,36.60732253910492,6.170287247565487
borel_threshold,3.862748937430415,2.557125078246291,35.3,-0.3557663907886557,-0.26476292462193013,-0.4216652966601435,-0.13735905016291233,37.374076411222305,5.854835826895604
borel_threshold,4.348850512856914,2.5127037003249653,35.3,-0.33315787140230013,-0.2494855120061456,-0.3961323206418091,-0.1277355569965354,32.98491019369185,5.0631847646277075
borel_threshold,3.0612507130550535,2.5379018342875828,35.3,-0.3335799483424718,-0.2577300943539856,-0.4031049345883473,-0.12331583508375848,34.156312539973996,4.718868338305841
borel_threshold,5.77117372294333,2.5147534288590867,35.3,-0.3398795132982973,-0.2493828192439003,-0.3999326612362891,-0.13328068341054883,33.620835035398706,5.5123220864084415
borel_threshold,4.648260913159846,2.544109430360368,35.3,-0.3541810432029407,-0.2605638076294172,-0.41732213424770603,-0.13849168017466945,36.60813372360386,5.951789075808437
borel_threshold,3.995493502162851,2.566357487341258,35.3,-0.3625556228347909,-0.2679800233733798,-0.42821410138376964,-0.14104097260162035,38.543990825441476,6.172921468714463
borel_threshold,4.009564801062838,2.596809972396628,35.3,-0.3806392505750885,-0.2781882566566549,-0.44699518646080194,-0.14990079553126753,41.99914433507055,6.972813333310515
borel_threshold,3.2591299882751184,2.5972643874082637,35.3,-0.3689967402874553,-0.2762079631437467,-0.4386512811488533,-0.14154323294758636,40.445811540090205,6.216964473374729
borel_threshold,5.240516171971694,2.5532811711897385,35.3,-0.363111314458559,-0.2639893816660941,-0.42527829931951255,-0.14380051616100795,38.01729341903621,6.4168376793713415
borel_threshold,3.2897012898207034,2.505131371455905,35.3,-0.31964819863735827,-0.24762063189500677,-0.38680365447196796,-0.11778744041416692,31.44965508742121,4.305247592151089
borel_threshold,5.4765042175348775,2.5254689738259413,35.3,-0.3460082919580139,-0.25356819964720045,-0.40689006898888336,-0.13586405607903235,34.800776142150596,5.728083172711429
borel_threshold,4.942993715283155,2.5489049083309228,35.3,-0.3588340910492231,-0.2623283718306673,-0.4214510605970515,-0.1412695405530555,37.33610866275693,6.1929450866942455
borel_threshold,3.806657622218463,2.5505145808870977,35.3,-0.35133346226405043,-0.2625204555518352,-0.4172735318111567,-0.13503699840944197,36.599607260506254,5.658557267407778
borel_threshold,3.9042551286094316,2.5991354599545793,35.3,-0.380679299065031,-0.2787221298380209,-0.4474540427577087,-0.14962497792102936,42.085415793468215,6.947176973800243
borel_threshold,4.595036164699125,2.5047189062417954,35.3,-0.3295096259264459,-0.24644565792433915,-0.39154321499344324,-0.12651468958403603,32.225091170494466,4.966861754026604
borel_threshold,4.417941155058151,2.5814736644721545,35.3,-0.37560461328647443,-0.2736275510660634,-0.4403637196478003,-0.14842727728570215,40.76221849367198,6.836402204089489
borel_threshold,5.256168220196133,2.547485094795126,35.3,-0.35943381966090726,-0.2618383736986392,-0.42139771245325697,-0.14204215077342366,37.32665709783735,6.260869376971484
borel_threshold,4.026357204669209,2.509202489508815,35.3,-0.32904609591233525,-0.24849975272165659,-0.39295178461833763,-0.1249494109755536,32.45736658737321,4.844718972187013
borel_threshold,3.6799615949327973,2.566481636547327,35.3,-0.3590105897062133,-0.2676380212122898,-0.42588645614217474,-0.13834536636365014,38.126102205142885,5.939219816284587
borel_threshold,5.481089761126748,2.5767556012592525,35.3,-0.3796140089390262,-0.2728544304593344,-0.44204960670598026,-0.15214624942841992,41.074923824352574,7.183277855439239
borel_threshold,4.589407028240195,2.5130802732159894,35.3,-0.3346393314253171,-0.2494546864536873,-0.3969632357192326,-0.12896244499003442,33.123431604406754,5.160914690289205
borel_threshold,4.795921043712693,2.548425934530305,35.3,-0.35773316553793916,-0.26213321599337736,-0.4206556083817419,-0.14048380614793937,37.195304351670245,6.124246940618364
borel_threshold,5.501487720120052,2.511272518919897,35.3,-0.3368764109465172,-0.24820783223260354,-0.39723834457773366,-0.13150871389743235,33.16935881523911,5.366723553036118
borel_threshold,5.721371020807662,2.5285647702450516,35.3,-0.34881043401566725,-0.2546648199800934,-0.40940430121722415,-0.13751729912461164,35.23218289609866,5.868334106101118
borel_threshold,5.754002588299264,2.5496385257693785,35.3,-0.36284278372926976,-0.2626900886227259,-0.42406272489698904,-0.14433216453016212,37.8002740959509,6.464373081198864
