scenario,ensemble,M2,s0_root,theta_deg,GA,GB,GB_hard,GB_soft2p,GB_3p,G2460,G2536,Gamma2460_keV,Gamma2536_keV,chi_effective,fperp_s_used_GeV
legacy_chi_condensate,theta_fixed,3.277121222626431,2.524482625967285,35.3,-0.2636092055957943,-0.20669138225337436,-0.3997264617095609,0.19220852867275004,0.0008265507834364865,-0.3210171959138149,-0.09570319064841916,21.696290955456018,2.8420511641276938,3.0303486794992227,-0.04184395643137836
legacy_chi_condensate,theta_fixed,5.227590590825906,2.5356153540251856,35.3,-0.38874459643955006,-0.272578883797323,-0.39512795384008853,0.12212334916143029,0.00042572088133522326,-0.4471009023195701,-0.15975729184663023,42.25461254880461,7.9174695345951545,3.13211215709768,-0.031208056778673145
legacy_chi_condensate,theta_fixed,4.823468829248742,2.536669949954521,35.3,-0.32847638525859935,-0.25094730244434715,-0.37190862293217924,0.12049556605865565,0.0004657544291764541,-0.3946201103056619,-0.12307011342725607,32.7892943007331,4.700771402018924,2.971231149482799,-0.03096894286153088
legacy_chi_condensate,theta_fixed,4.561765694738343,2.537108065952439,35.3,-0.37680652476740156,-0.28585073014594364,-0.3945719877147875,0.10832813213612856,0.000393125432715282,-0.45103404927825974,-0.1423449451997219,42.62457149077081,6.292977284617017,3.1787999081161016,-0.026854304681486203
legacy_chi_condensate,theta_fixed,4.0657221367851175,2.5946230985529906,35.3,-0.34887296520642247,-0.2653988944389384,-0.410932666508811,0.14500586312154015,0.0005279089483324349,-0.4182009170031466,-0.1313655664131956,36.49107166169463,5.354595130604111,3.2084906438352023,-0.03463215347843642
legacy_chi_condensate,theta_fixed,4.698822707626439,2.533614612332782,35.3,-0.3576239926579681,-0.33012073345894105,-0.48757411125718775,0.15684685606952076,0.0006065217287259463,-0.47607969066055267,-0.10110760072639502,47.47909526294347,3.1711715742883935,2.926431907464693,-0.03126080186082504
legacy_chi_condensate,theta_fixed,3.5914473548808155,2.523440440259272,35.3,-0.36330875878245733,-0.2805779750960996,-0.3977110521356148,0.11662450556725679,0.0005085714722584152,-0.43893096869225273,-0.13437581270436255,40.75410429533042,5.600443969170016,2.8021698845129777,-0.026530860167897585
legacy_chi_condensate,theta_fixed,4.535095249245092,2.571601323319552,35.3,-0.31475661361083573,-0.25613096209418057,-0.4014276921180339,0.14477567857099152,0.0005210514528617995,-0.3909226151486118,-0.10887747480733484,32.28481336989763,3.677487306256062,3.222445958223084,-0.03521192882753755
legacy_chi_condensate,theta_fixed,5.4285503449018515,2.5864651304175865,35.3,-0.3217546513611281,-0.25742492431358743,-0.44428206330962244,0.1862740011268732,0.0005831378691618002,-0.3960225358257433,-0.11384111053799995,33.02939108183871,4.020914379646673,3.475005048860834,-0.04362064381968041
legacy_chi_condensate,theta_fixed,5.645481947766555,2.563329714337002,35.3,-0.35817068618551795,-0.28134761067436415,-0.4144784476159489,0.13267959194657022,0.0004512449950145252,-0.43659002279356013,-0.12973769873054256,40.20824143491258,5.224466212050597,3.1526390664530717,-0.03290080342108255
legacy_chi_condensate,theta_fixed,3.6515083899664917,2.5632618065770876,35.3,-0.23434950534866208,-0.22124317394701232,-0.4418490644099264,0.21990996201593824,0.0006959284469758313,-0.31598551924302776,-0.06341438562364754,21.090915937808294,1.2487446903736281,4.079521914703316,-0.047520789095450586
legacy_chi_condensate,theta_fixed,3.735163443345087,2.593620795696085,35.3,-0.23552390131923603,-0.2333080096765298,-0.46005699750720064,0.22587332006511948,0.0008756677655513559,-0.3265107188656706,-0.05740109700763543,22.385409740775767,1.0226751784421502,3.162812296131682,-0.04585612823489565
legacy_chi_condensate,theta_fixed,3.2707411935118462,2.594795931533656,35.3,-0.4393538633904207,-0.2654720138270888,-0.4589081278214277,0.19263398252540065,0.0008021314689382661,-0.4705456693610709,-0.20516817600943932,46.42290766087857,13.063990332903177,3.061397849381513,-0.037780763047298625
legacy_chi_condensate,theta_fixed,4.320521453991407,2.5835288562883827,35.3,-0.6177173978809831,-0.32761061169038497,-0.40504255299774095,0.07712433199469365,0.0003076093126623529,-0.6243280431895435,-0.3148300986629402,81.75308371916176,30.762923165220652,2.8965936660011615,-0.01814812543116151
legacy_chi_condensate,theta_fixed,5.293293226204457,2.597921446488772,35.3,-0.36843170064457176,-0.2731058520842862,-0.4106211056766895,0.1370431880694439,0.00047206552295938774,-0.4357930192389051,-0.14287466138253718,39.92412010421718,6.337454029777746,3.0631178575534492,-0.03481709777485774
