M2,s0_root,GA,GB,G2460,G2536,Gamma2460_keV,Gamma2536_keV
3.75,2.55,-0.3504192203104692,-0.2623109607342697,-0.41657425353220634,-0.13441190936229505,36.47704082173282,5.606291361727503
3.875,2.55,-0.3517449886708896,-0.2623916270506221,-0.41740619370047016,-0.13544730511103795,36.62288285553211,5.692996291933346
4.0,2.55,-0.3529540801424659,-0.26245861911029844,-0.41815955116403636,-0.13639537823837952,36.755200107321315,5.772972286391353
4.125,2.55,-0.3540617221112346,-0.2625147090696591,-0.41884538764503687,-0.13726695447477416,36.87586567284025,5.846987427067112
4.25,2.55,-0.3550805995670937,-0.26256206245880787,-0.41947280063211945,-0.138071135149226,36.98642544690837,5.9156974495580625
4.375,2.55,-0.35602135907351845,-0.26260238127241703,-0.4200493313849921,-0.13881562581179435,37.08816489502839,5.979665278307012
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.42058127757406777,-0.1395069930388966,37.182160522420766,6.039376705926203
4.625,2.55,-0.35770317459627543,-0.2626670195910038,-0.421073935069182,-0.14015086693427398,37.26931988822382,6.095253053664781
4.75,2.55,-0.3584584382443124,-0.262693261047484,-0.4215317865656718,-0.140752102162156,37.350412967444704,6.147661455021421
4.875,2.55,-0.35916443070525933,-0.2627164192194802,-0.4219586499466709,-0.1413149070215932,37.426096921344,6.196923257203961
5.0,2.55,-0.3598260340545179,-0.2627370449028523,-0.4223577958818788,-0.14184294767625133,37.496935805107356,6.2433209235822
5.125,2.55,-0.3604474951328987,-0.26275558322498116,-0.42273204172582507,-0.14233943291230425,37.56341635683718,6.287103735474868
5.25,2.55,-0.36103252579519596,-0.2627723951681558,-0.4230838270133188,-0.14280718351761035,37.62596073094367,6.328492526849936
5.375,2.55,-0.36158438485517336,-0.2627877744136533,-0.4234152745590694,-0.14324868942661623,37.6849368321404,6.367683635823711
5.5,2.55,-0.36210594547921204,-0.26280196059282807,-0.4237282402163325,-0.14366615706560285,37.74066675267192,6.404852218513732
5.625,2.55,-0.3625997509345075,-0.26281514976293374,-0.4240243536411424,-0.14406154879735128,37.79343370050161,6.440155041081358
5.75,2.55,-0.36306806095838057,-0.262827502727248,-0.4243050518775384,-0.1444366159570327,37.84348771958065,6.473732842636054
5.875,2.55,-0.36351289052865277,-0.26283915167187927,-0.4245716071778698,-0.14479292665903978,37.89105043757524,6.50571234352252
6.0,2.55,-0.36393604244196204,-0.2628502054815221,-0.4248251501668111,-0.14513188931362525,37.93631902617802,6.536207959216896
3.0,2.6,-0.3642413640468297,-0.27583175266713017,-0.435596311219647,-0.1378795877349235,39.8844067235002,5.899295027090609
3.125,2.6,-0.36742299536571865,-0.27645118824881637,-0.4379403857980916,-0.14011829107835327,40.31482165490513,6.09241989231839
3.25,2.6,-0.3702533485302997,-0.2769909915422049,-0.44001648071292615,-0.14211631924041832,40.69795957223259,6.267409411963284
3.375,2.6,-0.37279030520466433,-0.27746699365873634,-0.4418709636901974,-0.14391176349451165,41.04173177770298,6.4267699414804165
3.5,2.6,-0.3750796282749904,-0.277891197274337,-0.44354007499760195,-0.14553503681447666,41.3523772163882,6.572570963194681
3.625,2.6,-0.3771579434348252,-0.27827281982367147,-0.4450525017663185,-0.14701070444068168,41.63487288017599,6.706533231798397
3.75,2.6,-0.37905489419730787,-0.2786190256676568,-0.446431220830681,-0.14835881957792196,41.893232090492084,6.830097480237013
3.875,2.6,-0.3807947221448482,-0.27893544716093743,-0.4476948371502583,-0.14959591199377056,42.130723949910475,6.94447813928153
4.0,2.6,-0.38239744130504666,-0.27922656029814213,-0.44885856901096344,-0.15073572940085833,42.35003667895806,7.050705535992359
4.125,2.6,-0.3838797217934992,-0.27949595879636663,-0.4499349823338028,-0.15178980025033031,42.55340053209303,7.1496592266452454
4.25,2.6,-0.38525556241955233,-0.2797465563322312,-0.4509345443985048,-0.15276786580646065,42.742681266185706,7.242094486028888
4.375,2.6,-0.3865368082000717,-0.2799807373469449,-0.45186604597047797,-0.1536782153652359,42.91945192324398,7.3286634901922
4.5,2.6,-0.38773355257251685,-0.2802004706201756,-0.45273692641460844,-0.1545279488860382,43.0850484785822,7.409932362801103
4.625,2.6,-0.3888544529584969,-0.28040739560934624,-0.4535535265108105,-0.15532318464310416,43.24061336687809,7.4863949788112985
4.75,2.6,-0.3899069805461284,-0.2806028886699727,-0.4543212868375744,-0.1560692248163695,43.38712981577717,7.55848421099037
4.875,2.6,-0.3908976196556969,-0.2807881142750113,-0.4550449047789684,-0.15677068860378932,43.5254491468169,7.626581147785103
5.0,2.6,-0.3918320281162618,-0.28096406495065573,-0.4557284597925877,-0.15743162003350872,43.65631265056641,7.691022692175487
5.125,2.6,-0.39271516723441946,-0.28113159265387316,-0.456375514121382,-0.15805557590450775,43.78036924205052,7.752107860820801
5.25,2.6,-0.39355140785747234,-0.28129143360719416,-0.4569891943516718,-0.158645697997768,43.89818980928012,7.810103033811763
5.375,2.6,-0.39434461750019584,-0.28144422809377573,-0.4575722579155103,-0.15920477274497383,44.01027895129902,7.865246352378065
5.5,2.6,-0.3950982323636417,-0.2815905363424527,-0.4581271476716853,-0.1597352808264669,44.11708464111631,7.917751421023268
