sector,M2,s0,g_2460,g_2536,Gamma_2460_keV,Gamma_2536_keV,GA_basis,GB_basis,GB_hard_frac,GB_soft2p_frac,GB_3p_frac,GA_3p_frac,spectral_pole_axial,spectral_pole_tensor,twist2_retention,rho_AB,window,window_state,s0_sqrt,state,g_low,g_high,g_quoted,Gamma_low_keV,Gamma_high_keV,Gamma_quoted_keV
Ds,4.5,6.42,-0.2717394336399378,0.039056288403259094,15.5217284579869,0.47334969514607533,-0.18682984939675915,-0.1842355272658983,2.18365005288675,1.180742718578592,0.0029073343081582694,0.007430031309374322,0.3958007979855681,0.4891443737717704,0.6563887831915971,-0.4081864418895571,Ds_old_near_threshold,"Ds1(2460), Ds1(2536)",2.5337718918639855,,,,,,,
Ds,4.5,6.505000000000001,-0.2807254706202463,0.03850629259117123,16.565264961487472,0.46011201758099807,-0.1955515652829562,-0.18945076412498785,2.1612863533025646,1.158459052649143,0.0028273006534214676,0.007098647502693233,0.403972884890097,0.49783945555211273,0.662818302880735,-0.4081864418895571,Ds_old_near_threshold,"Ds1(2460), Ds1(2536)",2.55049014897137,,,,,,,
Ds,4.5,6.590000000000001,-0.2896466966633768,0.03793175622827049,17.63485566138327,0.44648416970463445,-0.20424975088054284,-0.19461480778301998,2.140234679988392,1.1374824008822768,0.0027522791061149058,0.006796344301812547,0.41207993780311164,0.5064282444835977,0.6691275158935746,-0.4081864418895571,Ds_old_near_threshold,"Ds1(2460), Ds1(2536)",2.5670995305986875,,,,,,,
Ds,4.5,6.675000000000001,-0.29850039986247495,0.03733377099668077,18.729431018051994,0.4325176972171779,-0.21292049548080175,-0.19972652526195783,2.120386826060474,1.1177049876391665,0.002681838421307565,0.006519577307055319,0.4201204359546915,0.5149101872700648,0.6753186733619362,-0.4081864418895571,Ds_old_near_threshold,"Ds1(2460), Ds1(2536)",2.583602136552763,,,,,,,
Ds,4.5,6.760000000000001,-0.30728407563848187,0.03671339725219131,19.847913498331977,0.41826286770212967,-0.22156011534530842,-0.2047848950336826,2.101646174260404,1.099030579642873,0.0026155946175311145,0.006265349827879137,0.4280929837989974,0.5232848506991289,0.6813939842953356,-0.4081864418895571,Ds_old_near_threshold,"Ds1(2460), Ds1(2536)",2.6,,,,,,,
Ds,4.8,6.25,-0.2563946022508793,0.03877776822253639,13.818232815006997,0.46662261660964316,-0.1736182779955843,-0.17474980202672835,2.1965158662676414,1.193590018571492,0.0029258476961495656,0.007632055432588653,0.35502391777074854,0.44901260151448646,0.6194213799393704,-0.4081864418895571,Ds_old_near_threshold,"Ds1(2460), Ds1(2536)",2.5,,,,,,,
Ds,4.8,6.335,-0.26567111065516835,0.0382709738052442,14.83622504582697,0.4545055488018351,-0.18253769597182543,-0.18016266645368273,2.171936227036822,1.1690982844390199,0.002837942597801979,0.007259127024247139,0.3630021805489599,0.45774052424113737,0.6261014717924847,-0.4081864418895571,Ds_old_near_threshold,"Ds1(2460), Ds1(2536)",2.5169425897306437,,,,,,,
Ds,4.8,6.42,-0.2748986914182324,0.037736227658358275,15.884739412783212,0.44189300841261936,-0.19145236853773487,-0.18553239411129807,2.1488637856597395,1.1461079795477578,0.0027558061119816084,0.0069211174136595685,0.3709305737997621,0.4663759301089865,0.6326643115856725,-0.4081864418895571,Ds_old_near_threshold,"Ds1(2460), Ds1(2536)",2.5337718918639855,,,,,,,
Ds,4.8,6.505000000000001,-0.28407398827151326,0.03717464517074296,16.96280567625431,0.42883855847012653,-0.20035778130528667,-0.19085747055910188,2.127167935408866,1.1244890184968652,0.002678916912000921,0.006613490692202643,0.37880724207248906,0.4749177857277967,0.6391119573812871,-0.4081864418895571,Ds_old_near_threshold,"Ds1(2460), Ds1(2536)",2.55049014897137,,,,,,,
Ds,4.8,6.590000000000001,-0.29319386901261824,0.036587312394270675,18.069432734964703,0.4153949196785891,-0.20924965894007874,-0.19613650395657167,2.1067327515363066,1.1041259379378765,0.002606813598429925,0.00633245630356002,0.38663045740599494,0.483365188166417,0.6454464311176193,-0.4081864418895571,Ds_old_near_threshold,"Ds1(2460), Ds1(2536)",2.5670995305986875,,,,,,,
Ds,4.8,6.675000000000001,-0.3022554143678524,0.035975286584564094,19.203612239839952,0.4016138562918185,-0.2181239545461265,-0.20136821853213965,2.0874549832147338,1.0849158968117776,0.0025390864029563357,0.006074822568342331,0.3943986132782135,0.49171735754032697,0.651669719242965,-0.4081864418895571,Ds_old_near_threshold,"Ds1(2460), Ds1(2536)",2.583602136552763,,,,,,,
