fB_scheme,M2,s0_root,s0,GA_stage1_full,GB_hard_candidate,GB_soft2p_tensor_DA,GB_stage1_candidate,hard_qcd_side,G2460_candidate,G2536_candidate,Gamma2460_keV_candidate,Gamma2536_keV_candidate,fB
fB_equal_fT,3.5,2.55,6.5024999999999995,-0.34905691528407773,-0.7706919532194938,0.2965555879199636,-0.4741363652995302,-0.08351521277874092,-0.5886657103856168,-0.010895155954945501,72.8403841762789,0.03683554213271537,0.256
fB_converted_fT_M_over_msum,3.5,2.55,6.5024999999999995,-0.34905691528407773,-0.4271002773889693,0.1643444872270422,-0.26275579016192707,-0.08351521277874092,-0.4161500772030551,-0.13304303294477987,36.40279321947009,5.492681761142293,0.4619457079970653
fB_equal_fT,3.75,2.55,6.5024999999999995,-0.35203015056587755,-0.7603975041684551,0.2859421679998244,-0.47445533616863067,-0.09056712642983109,-0.5906441411787042,-0.013137405283908998,73.33082152851918,0.05355738445721263,0.256
fB_converted_fT_M_over_msum,3.75,2.55,6.5024999999999995,-0.35203015056587755,-0.42139532351356135,0.1584627668159222,-0.26293255669763915,-0.09056712642983109,-0.418012449694192,-0.13536745613201223,36.72934493819009,5.686285993060858,0.4619457079970653
fB_equal_fT,4.0,2.55,6.5024999999999995,-0.3544775602984657,-0.7518401274431152,0.2771792349086965,-0.47466089253441873,-0.09726798137719503,-0.5922261578296706,-0.015016046051791021,73.72417494534938,0.06996991506249756,0.256
fB_converted_fT_M_over_msum,4.0,2.55,6.5024999999999995,-0.3544775602984657,-0.41665301634680457,0.15360654489959477,-0.26304647144720983,-0.09726798137719503,-0.4195196741773477,-0.1372990527065363,36.994691926869876,5.849722242615148,0.4619457079970653
fB_equal_fT,4.25,2.55,6.5024999999999995,-0.3565308687627079,-0.7446285336561383,0.26983195529294424,-0.4747965783631941,-0.10362709816260206,-0.5935234160862489,-0.016613421182810173,74.04751102656694,0.0856482146608474,0.256
fB_converted_fT_M_over_msum,4.25,2.55,6.5024999999999995,-0.3565308687627079,-0.4126565120444466,0.1495348465396556,-0.263121665504791,-0.10362709816260206,-0.4207675628255638,-0.1389313834687525,37.215105508063345,5.9896422624642955,0.4619457079970653
fB_equal_fT,4.5,2.55,6.5024999999999995,-0.35828115064776883,-0.7384784269935883,0.2635898573860869,-0.4748885696075014,-0.10965784525795542,-0.5946099073307891,-0.01798873418054525,74.31885873436097,0.10041564268691071,0.256
fB_converted_fT_M_over_msum,4.5,2.55,6.5024999999999995,-0.35828115064776883,-0.4092482602123443,0.14607561521335086,-0.2631726449989934,-0.10965784525795542,-0.42182058283920854,-0.14033039541897502,37.40160889361856,6.1108786781197075,0.4619457079970653
fB_equal_fT,4.75,2.55,6.5024999999999995,-0.3597932696797829,-0.7331787521253185,0.2582258058590703,-0.4749529462662482,-0.11537585183286632,-0.5955362370535409,-0.019185630820158395,74.5505985424421,0.11422267591791502,0.256
fB_converted_fT_M_over_msum,4.75,2.55,6.5024999999999995,-0.3597932696797829,-0.40631129869762506,0.14310297759134488,-0.2632083211062802,-0.11537585183286632,-0.42272348896305767,-0.1415438768910733,37.56189639758581,6.2170210410085796,0.4619457079970653
fB_equal_fT,5.0,2.55,6.5024999999999995,-0.36111463068747884,-0.7285698439125888,0.25357008301238665,-0.4749997609002022,-0.12079781564999191,-0.5963380027689367,-0.02023699101544224,74.75146742535381,0.12708434105482513,0.256
fB_converted_fT_M_over_msum,5.0,2.55,6.5024999999999995,-0.36111463068747884,-0.4037571446443824,0.14052287991294285,-0.2632342647314395,-0.12079781564999191,-0.4235082210636334,-0.1426072975579177,37.70148355499884,6.310789054481896,0.4619457079970653
fB_equal_fT,5.25,2.55,6.5024999999999995,-0.36228067240066963,-0.7245288873078952,0.2494935021705094,-0.47503538513738586,-0.12594071786967734,-0.5970408831423368,-0.021168055752109227,74.9277845586138,0.13904715426394487,0.256
fB_converted_fT_M_over_msum,5.25,2.55,6.5024999999999995,-0.36228067240066963,-0.4015177366947188,0.1382637298062225,-0.2632540068884963,-0.12594071786967734,-0.4241981394744332,-0.14354753987567712,37.82441922879874,6.394280321055147,0.4619457079970653
fB_equal_fT,5.5,2.55,6.5024999999999995,-0.3633184222449756,-0.7209600040453019,0.2458961049358388,-0.4750638991094631,-0.13082131560977572,-0.5976638261265266,-0.02199852539298086,75.08422305183034,0.15017142571124353,0.256
fB_converted_fT_M_over_msum,5.5,2.55,6.5024999999999995,-0.3633184222449756,-0.39953994125381026,0.13627013255846646,-0.2632698086953438,-0.13082131560977572,-0.4248107075827276,-0.14438535533814922,37.933739663050325,6.46913859673269,0.4619457079970653
fB_equal_fT,5.75,2.55,6.5024999999999995,-0.36424886062550854,-0.7177873466208535,0.24269941341154996,-0.47508793320930354,-0.13545582371016088,-0.5982211021710601,-0.02274400284274919,75.22430898153786,0.16052177951296728,0.256
fB_converted_fT_M_over_msum,5.75,2.55,6.5024999999999995,-0.36424886062550854,-0.3977817253280029,0.13449859747100731,-0.2632831278569956,-0.13545582371016088,-0.42535923876342996,-0.1451370244966446,38.03176578412953,6.5366705070151525,0.4619457079970653
fB_equal_fT,6.0,2.55,6.5024999999999995,-0.36508853231846006,-0.7149501937175228,0.23984100541895723,-0.4751091882985655,-0.13985972495170446,-0.5987236599381383,-0.023417008059306132,75.35075199792225,0.17016215401222137,0.256
fB_converted_fT_M_over_msum,6.0,2.55,6.5024999999999995,-0.36508853231846006,-0.39620943851879786,0.1329145315657811,-0.26329490695301677,-0.13985972495170446,-0.42585406281622107,-0.14581550548814437,38.120302611051834,6.597928108259797,0.4619457079970653
fB_equal_fT,3.0,2.6,6.760000000000001,-0.3662552574727554,-0.8306379372806951,0.331504090159276,-0.4991338471214191,-0.07106956941430187,-0.6190052881182897,-0.010486384041020202,80.54219627160907,0.03412335161046101,0.256
fB_converted_fT_M_over_msum,3.0,2.6,6.760000000000001,-0.3662552574727554,-0.4603210036648048,0.18371216706122914,-0.2766088366035756,-0.07106956941430187,-0.43739426230169454,-0.1390741579847758,40.214337003315364,6.0019592446438805,0.4619457079970653
fB_equal_fT,3.25,2.6,6.760000000000001,-0.3721015285642599,-0.8163480307509106,0.3152377480927791,-0.5011102826581315,-0.07932322119061451,-0.6239966437786096,-0.01411564729660425,81.84633883735751,0.06183035786537772,0.256
fB_converted_fT_M_over_msum,3.25,2.6,6.760000000000001,-0.3721015285642599,-0.45240185643971986,0.1746977233789217,-0.27770413306079816,-0.07932322119061451,-0.4416664872371542,-0.14321259417558532,41.0037563201187,6.364475031504225,0.4619457079970653
fB_equal_fT,3.5,2.6,6.760000000000001,-0.3767966647571566,-0.8049995131401245,0.3023561436801174,-0.5026433694600072,-0.0872329149744389,-0.6279609737930605,-0.01706161853686755,82.88960273123143,0.09033179062595392,0.256
