M2,s0_root,s0,g1_GeV_inv,g1_stage2_GeV_inv,F1_integral,F1_delta_g1,width_keV,width_stage2_keV,pert,heavy_local,twist2,twist4_2p,twist3_2p,F1_delta_qcd
5.5,2.5,6.25,-0.33080115175968633,-0.32958867499392275,0.07032985001580344,0.0012124767657635876,23.002168241278184,22.833858772536885,-0.0938767108014362,-0.005386377900398216,0.040700588833510146,0.0058058868973570885,-5.632428511345681e-17,0.0001933674267075966
5.75,2.5,6.25,-0.331365966027381,-0.330185166360253,0.07032985001580344,0.0011807996671279728,23.08078371197752,22.91658324462948,-0.09720362603205857,-0.005460395383643557,0.04188089879350214,0.005822412298538945,-5.704702865020581e-17,0.00019584868426087375
6.0,2.5,6.25,-0.3318668622526693,-0.3307143723761713,0.07032985001580344,0.0011524898764980215,23.150614754066197,22.990101462504153,-0.1003638355952279,-0.0055291383173971306,0.042996989535171594,0.005837093746535142,-5.771768772243913e-17,0.00019815113015494293
3.0,2.55,6.5024999999999995,-0.34063437055481355,-0.3386204771288879,0.07032985001580344,0.0020138934259256976,24.389993431775725,24.102449649898116,-0.05141745388022929,-0.0041466589598807245,0.024542246432882248,0.005406360281539573,-4.411266838595554e-17,0.00015144361182419734
3.25,2.55,6.5024999999999995,-0.3453606965250696,-0.3435125164911094,0.07032985001580344,0.001848180033960194,25.071514700346444,24.80389485134535,-0.05745121293881985,-0.004334326395267839,0.026807993081853082,0.005483085742983585,-4.597525957345841e-17,0.00015783809094115694
3.5,2.55,6.5024999999999995,-0.34905691528407773,-0.34733987880191153,0.07032985001580344,0.0017170364821661754,25.611041650709645,25.359696196191567,-0.063232045844697,-0.00450193358418762,0.02894284069207809,0.005546350832836178,-4.763423703316121e-17,0.00016353354187679592
3.75,2.55,6.5024999999999995,-0.35203015056587755,-0.3504192203104692,0.07032985001580344,0.0016109302554083475,26.049204934147383,25.81134214023441,-0.06874991115478339,-0.0046524297180261485,0.030951974420839426,0.005599108299403945,-4.9120362949784607e-17,0.00016863557457338628
4.0,2.55,6.5024999999999995,-0.3544775602984657,-0.3529540801424659,0.07032985001580344,0.0015234801559998363,26.41266637051273,26.186120561966227,-0.07400382818611699,-0.004788237257495481,0.032841959291737347,0.0056435491234853525,-5.04587080542506e-17,0.00017323025959026667
4.25,2.55,6.5024999999999995,-0.3565308687627079,-0.3550805995670937,0.07032985001580344,0.0014502691956141726,26.719542915846404,26.50260957195855,-0.0789986752158562,-0.0049113575368091855,0.03461998637633544,0.005681325012335331,-5.1669850925499724e-17,0.00017738824543805758
4.5,2.55,6.5024999999999995,-0.35828115064776883,-0.3568929990172252,0.07032985001580344,0.0013881516305436097,26.982530105490454,26.773848838186876,-0.08374299188503775,-0.005023454300872238,0.036293403159274755,0.005713699196906333,-5.277080579778854e-17,0.0001811679438425175
4.75,2.55,6.5024999999999995,-0.3597932696797829,-0.3584584382443124,0.07032985001580344,0.001334831435470538,27.21076927877225,27.009240142840568,-0.088247481120646,-0.005125919431852715,0.037869427898609725,0.005741650550806872,-5.377574046697624e-17,0.00018461799439528783
5.0,2.55,6.5024999999999995,-0.36111463068747884,-0.3598260340545179,0.07032985001580344,0.001288596632960929,27.411002448135996,27.21572537167662,-0.0925239955507595,-0.005219924659722206,0.0393549827437705,0.00576594672882405,-5.469653377592446e-17,0.00018777917846220026
5.25,2.55,6.5024999999999995,-0.36228067240066963,-0.36103252579519596,0.07032985001580344,0.0012481466054736715,27.5883088926726,27.398539250244397,-0.09658485851244479,-0.005306462362190647,0.04075660312316487,0.005787196368011218,-5.554321086150873e-17,0.00019068591343383688
