M2,s0_root,GA,GB,G2460,G2536,Gamma2460_keV,Gamma2536_keV,theta_deg
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.3843247631569004,-0.22055676951066858,31.047846750367476,15.095272167489806,23.8
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.3850923085185532,-0.21921388202493297,31.171983571345027,14.912012863274713,24.0
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.38585516165195444,-0.21786832348722446,31.295606910991722,14.729511595480078,24.2
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.3866133132619794,-0.21652011029274942,31.418710744080368,14.547777258960254,24.4
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.38736675411079,-0.21516925886905997,31.541289070703833,14.366818711190387,24.6
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.3881154750179473,-0.21381578567585452,31.663335916567394,14.18664477183482,24.8
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.3888594668605232,-0.21245970720477672,31.784845333279964,14.007264222317158,25.0
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.38959872057321204,-0.21110103997921487,31.90581139864402,13.828685805392324,25.2
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.3903332271484405,-0.2097398005541003,32.02622821694416,13.650918224720419,25.4
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.39106297763647785,-0.2083760055157057,32.14608991923458,13.473970144442514,25.6
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.39178796314554465,-0.20700967148144347,32.265390663625,13.297850188758442,25.8
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.39250817484192124,-0.20564081509966253,32.38412463556542,13.122566941506356,26.0
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.39322360395005546,-0.2042694530494458,32.502286048129584,12.948128945744427,26.2
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.3939342417526693,-0.20289560204040724,32.61986914229692,12.774544703334497,26.4
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.39464007959086544,-0.20151927881248766,32.73686818723333,12.601822674527623,26.6
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.3953411088642327,-0.2001405001357515,32.853277480570426,12.42997127755185,26.8
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.39603732103095035,-0.19875928281018165,32.96909134868345,12.258998888201797,27.0
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.3967287076078931,-0.19737564366547533,33.08430414696788,12.08891383943051,27.2
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.39741526017073353,-0.19598959956083883,33.19891026011448,11.919724420943316,27.4
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.39809697035404545,-0.19460116738478234,33.31290410238295,11.751438878793799,27.6
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.3987738298514053,-0.19321036405491362,33.426280117874256,11.584065414981854,27.8
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.3994458304154938,-0.19181720651773232,33.539032780801364,11.417612187053965,28.0
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.40011296385819606,-0.19042171174842348,33.651156595758515,11.252087307705658,28.200000000000003
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4007752220507017,-0.18902389675065037,33.762646097989204,11.087498844386014,28.4
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4014325969236036,-0.18762377855634768,33.873495853652344,10.923854818904537,28.6
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4020850804669964,-0.18622137422551377,33.98370046008724,10.76116320704017,28.8
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.402732664730574,-0.1848167008460027,34.093254546076835,10.59943193815254,29.0
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.40337534182372653,-0.18340977553331653,34.202152772109564,10.438668894795534,29.200000000000003
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.40401310391563644,-0.18200061543039608,34.3103898306395,10.278881912333086,29.4
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.40464594323537395,-0.18058923770741248,34.41796044634512,10.12007877855728,29.6
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.40527385207199157,-0.17917565956155784,34.524859376386374,9.962267233308824,29.8
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.40589682277461836,-0.177759898216836,34.63108141066023,9.80545496809981,30.0
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.40651484775255287,-0.17634197092385176,34.73662137205457,9.64964962573878,30.200000000000003
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.40712791947535565,-0.17492189495960211,34.84147411670058,9.494858799958351,30.4
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.40773603047294155,-0.1734996876272643,34.94563453422345,9.341090035044973,30.6
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.40833917333566966,-0.172075366255986,35.04909754799132,9.18835082547132,30.8
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4089373407144347,-0.17064894820067344,35.151858115362906,9.036648615530977,31.0
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.40953052532075596,-0.16922045084178056,35.2539112279331,8.88599079897563,31.200000000000003
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.41011871992686605,-0.16778989158509697,35.35525191177718,8.736384718654737,31.4
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4107019173657994,-0.16635728786153572,35.45587522769319,8.587837666157572,31.6
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4112801105314794,-0.16492265712692097,35.55577627144268,8.440356881457907,31.8
