sector,state,scenario,M2,s0,theta_deg,GA_basis,GB_basis,f1_GeV,f2_GeV,rho_AB,f1_target_clipped,g_2460,g_2536,Gamma_2460_keV,Gamma_2536_keV,chi_effective,g1_abs,g2_abs,scan,fixed_s0,fixed_M2,quoted_combo,g_low,g_high,g_quoted,Gamma_low_keV,Gamma_high_keV,Gamma_quoted_keV,g_quoted_abs
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.25,8.27,35.3,-0.3009325285019767,-0.2572048959654403,0.345,0.3807805629715229,-0.4081864418895571,0,-0.3944805107425744,0.035184176567721964,32.7103998758256,0.38414478930712354,4.980468750000001,0.3944805107425744,0.035184176567721964,M2,8.27,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.3,8.27,35.3,-0.3045967821566125,-0.2587239253262764,0.345,0.3807805629715229,-0.4081864418895571,0,-0.3975214092172313,0.03448198090887197,33.216647391292575,0.36896449606520515,4.980468750000001,0.3975214092172313,0.03448198090887197,M2,8.27,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.35,8.27,35.3,-0.30814004846220083,-0.2601960502899488,0.345,0.3807805629715229,-0.4081864418895571,0,-0.4004654554753656,0.03380524982966397,33.71047472170783,0.35462427696442217,4.980468750000001,0.4004654554753656,0.03380524982966397,M2,8.27,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.4,8.27,35.3,-0.3115688884034131,-0.2616237596349961,0.345,0.3807805629715229,-0.4081864418895571,0,-0.40331784181669783,0.033152564013378315,34.19240262800024,0.341062843289977,4.980468750000001,0.40331784181669783,0.033152564013378315,M2,8.27,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.45,8.27,35.3,-0.3148893667186909,-0.2630093515018007,0.345,0.3807805629715229,-0.4081864418895571,0,-0.40608336519701715,0.032522609814236186,34.66292029157009,0.3282244590423902,4.980468750000001,0.40608336519701715,0.032522609814236186,M2,8.27,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.5,8.27,35.3,-0.318107099212805,-0.2643549520740713,0.345,0.3807805629715229,-0.4081864418895571,0,-0.4087664654734347,0.03191416953726855,35.12248771213339,0.31605834327755833,4.980468750000001,0.4087664654734347,0.03191416953726855,M2,8.27,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.55,8.27,35.3,-0.3212272947245947,-0.26566253208579027,0.345,0.3807805629715229,-0.4081864418895571,0,-0.4113712592590638,0.03132611277130164,35.57153790350708,0.30451814648496145,4.980468750000001,0.4113712592590638,0.03132611277130164,M2,8.27,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.6,8.27,35.3,-0.3242547924386739,-0.26693392144165157,0.345,0.3807805629715229,-0.4081864418895571,0,-0.41390156996145994,0.030757388644807735,36.0104789037675,0.29356149068827175,4.980468750000001,0.41390156996145994,0.030757388644807735,M2,8.27,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.65,8.27,35.3,-0.3271940951310594,-0.2681708221966883,0.345,0.3807805629715229,-0.4081864418895571,0,-0.4163609544956495,0.03020701889235889,36.439695615380465,0.28314956454150214,4.980468750000001,0.4163609544956495,0.03020701889235889,M2,8.27,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.7,8.27,35.3,-0.3300493988553707,-0.2693748201052661,0.345,0.3807805629715229,-0.4081864418895571,0,-0.41875272709236044,0.02967409163469196,36.85955148993487,0.2732467660159672,4.980468750000001,0.41875272709236044,0.02967409163469196,M2,8.27,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.75,8.27,35.3,-0.33282461950584624,-0.27054739491969676,0.345,0.3807805629715229,-0.4081864418895571,0,-0.42107998056284174,0.02915775578837073,37.27039007108605,0.26382038637663824,4.980468750000001,0.42107998056284174,0.02915775578837073,M2,8.27,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.8,8.27,35.3,-0.335523416633735,-0.27168992959345956,0.345,0.3807805629715229,-0.4081864418895571,0,-0.4233456053315494,0.028657216032100537,37.672536408271846,0.25484033007031187,4.980468750000001,0.4233456053315494,0.028657216032100537,M2,8.27,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.85,8.27,35.3,-0.33814921484290944,-0.2728037185226233,0.345,0.3807805629715229,-0.4081864418895571,0,-0.4255523065054892,0.02817172826621011,38.06629835274564,0.24627886592379206,4.980468750000001,0.4255523065054892,0.02817172826621011,M2,8.27,,,,,,,,,
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.9,8.27,35.3,-0.3407052230473208,-0.27388997494090417,0.345,0.3807805629715229,-0.4081864418895571,0,-0.4277026192128684,0.0277005955099293,38.45196774649063,0.23811040570384148,4.980468750000001,0.4277026192128684,0.0277005955099293,M2,8.27,,,,,,,,,
