sector,state,scenario,M2,s0,theta_deg,GA_basis,GB_basis,f1_GeV,f2_GeV,rho_AB,f1_target_clipped,g_2460,g_2536,Gamma_2460_keV,Gamma_2536_keV,chi_effective
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.333333333333333,8.7025,35.3,-0.3358203808489994,-0.2746320193062274,0.345,0.3807805629715229,-0.4081864418895571,0,-0.42667259554468984,0.030576500498287078,38.26698526763726,0.2901186987580289,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.5,8.7025,35.3,-0.34844395332393086,-0.280046249533529,0.345,0.3807805629715229,-0.4081864418895571,0,-0.4373465577283186,0.028284339601580118,40.20556549742361,0.2482517106200786,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.6666666666666665,8.7025,35.3,-0.3599116254100469,-0.2850011797982138,0.345,0.3807805629715229,-0.4081864418895571,0,-0.44708298636688554,0.026227626888532047,42.015645108215,0.21346081207124218,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.833333333333333,8.7025,35.3,-0.3703928293123915,-0.2895613224274046,0.345,0.3807805629715229,-0.4081864418895571,0,-0.45601623248682566,0.024369879006092554,43.71146418199161,0.18429218094725427,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,4.0,8.7025,35.3,-0.38002292977218793,-0.29377830513351955,0.345,0.3807805629715229,-0.4081864418895571,0,-0.46425372819538707,0.022682009083751592,45.30493897236968,0.15964789761168438,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,4.166666666666666,8.7025,35.3,-0.3889117247167239,-0.2976941347759008,0.345,0.3807805629715229,-0.4081864418895571,0,-0.47188275686056536,0.021140515302565208,46.806154915966786,0.13868557830539344,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,4.333333333333333,8.7025,35.3,-0.3971494763795641,-0.30134349053569215,0.345,0.3807805629715229,-0.4081864418895571,0,-0.47897523197116826,0.019726179980755206,48.22373704551704,0.1207497238584128,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,4.5,8.7025,35.3,-0.4048112756665642,-0.30475536980475837,0.345,0.3807805629715229,-0.4081864418895571,0,-0.48559114051258345,0.01842311868216688,49.56513104622806,0.10532378633050855,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,4.666666666666666,8.7025,35.3,-0.4119602577563082,-0.30795429279330466,0.345,0.3807805629715229,-0.4081864418895571,0,-0.4917810711884006,0.017218073963791075,50.83681889631189,0.0919960756804121,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,4.833333333333333,8.7025,35.3,-0.4186500105881054,-0.3109612001215765,0.345,0.3807805629715229,-0.4081864418895571,0,-0.4975881029679009,0.016099883124694216,52.04448625260184,0.08043510078536457,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,5.0,8.7025,35.3,-0.424926406176433,-0.31379413275162443,0.345,0.3807805629715229,-0.4081864418895571,0,-0.5030492382620205,0.015059071709896572,53.19315390517585,0.07037146080178386,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,5.166666666666666,8.7025,35.3,-0.430829012410043,-0.31646875489099285,0.345,0.3807805629715229,-0.4081864418895571,0,-0.5081965064011023,0.01408753924350883,54.287282200550536,0.06158436126300785,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,5.333333333333333,8.7025,35.3,-0.4363921953098997,-0.3189987617585539,0.345,0.3807805629715229,-0.4081864418895571,0,-0.5130578246367631,0.013178313522550429,55.330854909640195,0.05389144576855572,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,5.5,8.7025,35.3,-0.4416459896914284,-0.321396201645525,0.345,0.3807805629715229,-0.4081864418895571,0,-0.5176576782067142,0.012325356515799498,56.32744729524072,0.04714103834365917,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,5.666666666666666,8.7025,35.3,-0.4466167943008739,-0.32367173328005494,0.345,0.3807805629715229,-0.4081864418895571,0,-0.5220176635508806,0.01152340955560523,57.28028190343059,0.041206161340800664,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,5.833333333333333,8.7025,35.3,-0.45132793231998386,-0.32583483371315053,0.345,0.3807805629715229,-0.4081864418895571,0,-0.5261569267201353,0.010767868769602956,58.1922747171891,0.03597987678948898,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,6.0,8.7025,35.3,-0.4558001074515395,-0.327893967902521,0.345,0.3807805629715229,-0.4081864418895571,0,-0.5300925205772574,0.010054684017502608,59.06607366697364,0.03137162516581832,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,6.166666666666666,8.7025,35.3,-0.46005177817680687,-0.32985672830997553,0.345,0.3807805629715229,-0.4081864418895571,0,-0.5338396983910866,0.009380276267949069,59.90409102141628,0.027304323606173447,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,6.333333333333333,8.7025,35.3,-0.46409946726826007,-0.3317299507751114,0.345,0.3807805629715229,-0.4081864418895571,0,-0.5374121571057958,0.008741469567400965,60.708530832558644,0.02371204789799375,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,6.5,8.7025,35.3,-0.4679580196128486,-0.3335198114361006,0.345,0.3807805629715229,-0.4081864418895571,0,-0.5408222404188163,0.008135434649619869,61.48141234976893,0.02053816720991844,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,6.666666666666666,8.7025,35.3,-0.47164081842183375,-0.3352319083710416,0.345,0.3807805629715229,-0.4081864418895571,0,-0.5440811094790176,0.007559641901834047,62.22459012044965,0.017733832854388527,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,6.833333333333333,8.7025,35.3,-0.4751599676762402,-0.3368713308170139,0.345,0.3807805629715229,-0.4081864418895571,0,-0.5471988872853992,0.007011821905323024,62.939771346648556,0.015256746046569965,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,7.0,8.7025,35.3,-0.478526446975649,-0.33844271821015276,0.345,0.3807805629715229,-0.4081864418895571,0,-0.5501847815621583,0.006489932148680784,63.628530952443725,0.013070147126914476,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,2.0,9.302499999999998,35.3,-0.1579965614683883,-0.20292801633745502,0.345,0.3807805629715229,-0.4081864418895571,0,-0.28130011005796024,0.06606511396709172,16.633151905834684,1.3543925015876968,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,2.1666666666666665,9.302499999999998,35.3,-0.202489568612758,-0.22118166095976197,0.345,0.3807805629715229,-0.4081864418895571,0,-0.31801523982271257,0.057404780579760575,21.2584019749832,1.0225776261465465,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,2.3333333333333335,9.302499999999998,35.3,-0.23869578324661428,-0.23613032292698188,0.345,0.3807805629715229,-0.4081864418895571,0,-0.3479957389574345,0.05042384850757792,25.455556869156467,0.7889911690980386,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,2.5,9.302499999999998,35.3,-0.26903366692870523,-0.24876159433948136,0.345,0.3807805629715229,-0.4081864418895571,0,-0.3732322648259287,0.044648349982903096,29.28148580716014,0.6186015320740383,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,2.6666666666666665,9.302499999999998,35.3,-0.29503707470984136,-0.259689924853721,0.345,0.3807805629715229,-0.4081864418895571,0,-0.39497433380594693,0.03976933334386781,32.79234694261458,0.4907912208108129,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,2.833333333333333,9.302499999999998,35.3,-0.3177245042619244,-0.26931676313214736,0.345,0.3807805629715229,-0.4081864418895571,0,-0.4140444782451762,0.035577057162761126,36.03534995778625,0.3927717166194414,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.0,9.302499999999998,35.3,-0.3377996026075673,-0.2779159015520204,0.345,0.3807805629715229,-0.4081864418895571,0,-0.4310070736873079,0.03192412538005194,39.04842714710586,0.316255567145676,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.1666666666666665,9.302499999999998,35.3,-0.3557655515886785,-0.285681275722264,0.345,0.3807805629715229,-0.4081864418895571,0,-0.4462636812541603,0.02870383397981872,41.86179406819114,0.25567012429294117,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.333333333333333,9.302499999999998,35.3,-0.37199317735267096,-0.29275492217196497,0.345,0.3807805629715229,-0.4081864418895571,0,-0.4601092674141063,0.02583692447068866,44.49966189787513,0.2071485009980903,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.5,9.302499999999998,35.3,-0.38676306009787037,-0.29924397065329245,0.345,0.3807805629715229,-0.4081864418895571,0,-0.47276664257020584,0.02326318863828236,46.98166477398655,0.16793400612084577,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.6666666666666665,9.302499999999998,35.3,-0.40029245347177494,-0.30523133334421043,0.345,0.3807805629715229,-0.4081864418895571,0,-0.4844082870171445,0.02093598015737327,49.3239533262178,0.13601498554444547,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,3.833333333333333,9.302499999999998,35.3,-0.4127530159363176,-0.3107826416888213,0.345,0.3807805629715229,-0.4081864418895571,0,-0.4951706137323437,0.018818526600581843,51.540007351250665,0.10989334634082394,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,4.0,9.302499999999998,35.3,-0.42428280958248576,-0.3159508777908315,0.345,0.3807805629715229,-0.4081864418895571,0,-0.5051635514163575,0.016881389773613396,53.64123463170055,0.08843344801291905,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,4.166666666666666,9.302499999999998,35.3,-0.43499462086283625,-0.32077954816832616,0.345,0.3807805629715229,-0.4081864418895571,0,-0.5144771485102327,0.015100677951650194,55.63741306199979,0.07076085222751445,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,4.333333333333333,9.302499999999998,35.3,-0.44498186071418266,-0.32530491140865747,0.345,0.3807805629715229,-0.4081864418895571,0,-0.5231862310880241,0.01345676220682505,57.53701956806695,0.05619288371582531,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,4.5,9.302499999999998,35.3,-0.4543228342609345,-0.32955757672224467,0.345,0.3807805629715229,-0.4081864418895571,0,-0.5313537588304703,0.011933337984267496,59.347477431593134,0.04419000452546218,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,4.666666666666666,9.302499999999998,35.3,-0.46308388872638845,-0.33356367471287934,0.345,0.3807805629715229,-0.4081864418895571,0,-0.5390332907600843,0.010516727771638396,61.07534457418679,0.03432111813533756,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,4.833333333333333,9.302499999999998,35.3,-0.4713217742405761,-0.3373457311433173,0.345,0.3807805629715229,-0.4081864418895571,0,-0.5462708297828849,0.009195355138921418,62.726458802419124,0.026238389680373005,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,5.0,9.302499999999998,35.3,-0.479085442298149,-0.340923330456547,0.345,0.3807805629715229,-0.4081864418895571,0,-0.5531062255487509,0.0079593425830741,64.30605137676307,0.019658689323850863,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,5.166666666666666,9.302499999999998,35.3,-0.4864174356596532,-0.3443136277502239,0.345,0.3807805629715229,-0.4081864418895571,0,-0.5595742577333384,0.0068002001596251475,65.81883701345573,0.014349724258197845,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,5.333333333333333,9.302499999999998,35.3,-0.4933549767865076,-0.34753174965130845,0.345,0.3807805629715229,-0.4081864418895571,0,-0.5657054842999706,0.005710581611657954,67.2690861482303,0.010119541802667541,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,5.5,9.302499999999998,35.3,-0.49993083060126603,-0.3505911124461717,0.345,0.3807805629715229,-0.4081864418895571,0,-0.5715269142908426,0.004684091323694137,68.66068368845059,0.006808491053559613,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,5.666666666666666,9.302499999999998,35.3,-0.5061739960331156,-0.3535036776691276,0.345,0.3807805629715229,-0.4081864418895571,0,-0.5770625477490265,0.0037151300001256613,69.99717734783174,0.00428300118073389,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,5.833333333333333,9.302499999999998,35.3,-0.5121102660393708,-0.3562801597651409,0.345,0.3807805629715229,-0.4081864418895571,0,-0.5823338137011795,0.0027987701734641045,71.2818178521184,0.0024307183390645673,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,6.0,9.302499999999998,35.3,-0.5177626854161559,-0.35893019655345254,0.345,0.3807805629715229,-0.4081864418895571,0,-0.5873599289700633,0.0019306549259302465,72.5175927260087,0.001156670018375314,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,6.166666666666666,9.302499999999998,35.3,-0.5231519283180481,-0.36146249047205786,0.345,0.3807805629715229,-0.4081864418895571,0,-0.5921581947980042,0.001106914847780591,73.70725495331538,0.0003802144249998433,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,6.333333333333333,9.302499999999998,35.3,-0.5282966120700137,-0.36388492661574434,0.345,0.3807805629715229,-0.4081864418895571,0,-0.5967442441015574,0.00032409945017132394,74.85334749689736,3.259543281770778e-05,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,6.5,9.302499999999998,35.3,-0.5332135599557153,-0.3662046721529433,0.345,0.3807805629715229,-0.4081864418895571,0,-0.6011322491482385,-0.00042087986991868416,75.95822443976292,5.496882741661703e-05,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,6.666666666666666,9.302499999999998,35.3,-0.5379180227840028,-0.3684282606578096,0.345,0.3807805629715229,-0.4081864418895571,0,-0.6053350972138237,-0.0011307975604814319,77.02406934122362,0.00039679837913592016,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,6.833333333333333,9.302499999999998,35.3,-0.542423866881502,-0.3705616641141704,0.345,0.3807805629715229,-0.4081864418895571,0,-0.6093645401148504,-0.001808154096698795,78.05291127612966,0.0010145443649851682,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,7.0,9.302499999999998,35.3,-0.546743734532947,-0.37261035476169513,0.345,0.3807805629715229,-0.4081864418895571,0,-0.6132313222573934,-0.0024552099970340147,79.04663892976971,0.0018705850161058425,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,2.0,9.610000000000001,35.3,-0.1648696037532393,-0.2062774690036547,0.345,0.3807805629715229,-0.4081864418895571,0,-0.28755054580896544,0.06509866679924682,17.38053506593855,1.3150563192869875,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,2.1666666666666665,9.610000000000001,35.3,-0.21065862023193904,-0.22516262821336444,0.345,0.3807805629715229,-0.4081864418895571,0,-0.32544420486424214,0.056256045593845075,22.263212658937,0.9820612289219757,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,2.3333333333333335,9.610000000000001,35.3,-0.24816863577195797,-0.2407465907822639,0.345,0.3807805629715229,-0.4081864418895571,0,-0.3566103069541803,0.04909172233975426,26.73145093736023,0.7478537954150977,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,2.5,9.610000000000001,35.3,-0.27980373303356637,-0.25400994387863834,0.345,0.3807805629715229,-0.4081864418895571,0,-0.3830264356646857,0.04313375280326383,30.838429149926355,0.5773439960606982,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,2.6666666666666665,9.610000000000001,35.3,-0.3070871858917032,-0.26556198269102915,0.345,0.3807805629715229,-0.4081864418895571,0,-0.4059324869810814,0.03807467464149663,34.63716741197329,0.44985501397251626,4.980468750000001
Ds,"Ds1(2460), Ds1(2536)",lattice_fperp_s,2.833333333333333,9.610000000000001,35.3,-0.33102989252481285,-0.27580045417949306,0.345,0.3807805629715229,-0.4081864418895571,0,-0.42614408410859456,0.033705816266236914,38.17224277107727,0.3525411864877047,4.980468750000001
