input_set,M2,s0_root,s0,g1_GeV_inv,width_keV,qcd_side,pert,heavy_local,twist2,twist4_2p,twist3_2p
project_inputs_chi_positive_stage1,5.5,2.5,6.25,-0.33080115175968633,23.002168241278184,-0.05275661297096723,-0.0938767108014362,-0.005386377900398216,0.040700588833510146,0.0058058868973570885,-5.632428511345681e-17
project_inputs_chi_positive_stage1,5.75,2.5,6.25,-0.331365966027381,23.08078371197752,-0.054960710323661094,-0.09720362603205857,-0.005460395383643557,0.04188089879350214,0.005822412298538945,-5.704702865020581e-17
project_inputs_chi_positive_stage1,6.0,2.5,6.25,-0.3318668622526693,23.150614754066197,-0.05705889063091833,-0.1003638355952279,-0.0055291383173971306,0.042996989535171594,0.005837093746535142,-5.771768772243913e-17
project_inputs_chi_positive_stage1,3.0,2.55,6.5024999999999995,-0.34063437055481355,24.389993431775725,-0.025615506125688234,-0.05141745388022929,-0.0041466589598807245,0.024542246432882248,0.005406360281539573,-4.411266838595554e-17
project_inputs_chi_positive_stage1,3.25,2.55,6.5024999999999995,-0.3453606965250696,25.071514700346444,-0.02949446050925107,-0.05745121293881985,-0.004334326395267839,0.026807993081853082,0.005483085742983585,-4.597525957345841e-17
project_inputs_chi_positive_stage1,3.5,2.55,6.5024999999999995,-0.34905691528407773,25.611041650709645,-0.03324478790397039,-0.063232045844697,-0.00450193358418762,0.02894284069207809,0.005546350832836178,-4.763423703316121e-17
project_inputs_chi_positive_stage1,3.75,2.55,6.5024999999999995,-0.35203015056587755,26.049204934147383,-0.03685125815256622,-0.06874991115478339,-0.0046524297180261485,0.030951974420839426,0.005599108299403945,-4.9120362949784607e-17
project_inputs_chi_positive_stage1,4.0,2.55,6.5024999999999995,-0.3544775602984657,26.41266637051273,-0.040306557028389825,-0.07400382818611699,-0.004788237257495481,0.032841959291737347,0.0056435491234853525,-5.04587080542506e-17
project_inputs_chi_positive_stage1,4.25,2.55,6.5024999999999995,-0.3565308687627079,26.719542915846404,-0.043608721363994664,-0.0789986752158562,-0.0049113575368091855,0.03461998637633544,0.005681325012335331,-5.1669850925499724e-17
project_inputs_chi_positive_stage1,4.5,2.55,6.5024999999999995,-0.35828115064776883,26.982530105490454,-0.04675934382972896,-0.08374299188503775,-0.005023454300872238,0.036293403159274755,0.005713699196906333,-5.277080579778854e-17
project_inputs_chi_positive_stage1,4.75,2.55,6.5024999999999995,-0.3597932696797829,27.21076927877225,-0.049762322103082166,-0.088247481120646,-0.005125919431852715,0.037869427898609725,0.005741650550806872,-5.377574046697624e-17
project_inputs_chi_positive_stage1,5.0,2.55,6.5024999999999995,-0.36111463068747884,27.411002448135996,-0.05262299073788722,-0.0925239955507595,-0.005219924659722206,0.0393549827437705,0.00576594672882405,-5.469653377592446e-17
project_inputs_chi_positive_stage1,5.25,2.55,6.5024999999999995,-0.36228067240066963,27.5883088926726,-0.05534752138345941,-0.09658485851244479,-0.005306462362190647,0.04075660312316487,0.005787196368011218,-5.554321086150873e-17
project_inputs_chi_positive_stage1,5.5,2.55,6.5024999999999995,-0.3633184222449756,27.74658820645621,-0.057942511039154446,-0.10044241573662101,-0.005386377900398216,0.04208039570050774,0.0058058868973570885,-5.632428511345681e-17
project_inputs_chi_positive_stage1,5.75,2.55,6.5024999999999995,-0.36424886062550854,27.888885135626634,-0.06041470207265631,-0.10410874581166485,-0.005460395383643557,0.0433320268241132,0.005822412298538945,-5.704702865020581e-17
project_inputs_chi_positive_stage1,6.0,2.55,6.5024999999999995,-0.36508853231846006,28.017613052814372,-0.06277079457334084,-0.10759547967852512,-0.0055291383173971306,0.04451672967604632,0.005837093746535142,-5.771768772243913e-17
project_inputs_chi_positive_stage1,3.0,2.6,6.760000000000001,-0.3662552574727554,28.1969727610722,-0.02754218188868643,-0.05383610466231825,-0.0041466589598807245,0.02503422145197302,0.005406360281539573,-4.411266838595554e-17
project_inputs_chi_positive_stage1,3.25,2.6,6.760000000000001,-0.3721015285642599,29.104333471748614,-0.031778178438072076,-0.060318063457398784,-0.004334326395267839,0.027391125671611012,0.005483085742983585,-4.597525957345841e-17
project_inputs_chi_positive_stage1,3.5,2.6,6.760000000000001,-0.3767966647571566,29.84343776843779,-0.03588676990564841,-0.06654862811260531,-0.00450193358418762,0.02961744095830839,0.005546350832836178,-4.763423703316121e-17
project_inputs_chi_positive_stage1,3.75,2.6,6.760000000000001,-0.38066582445271624,30.4594829081224,-0.03984890085186426,-0.07251295553953079,-0.0046524297180261485,0.03171737610628878,0.005599108299403945,-4.9120362949784607e-17
project_inputs_chi_positive_stage1,4.0,2.6,6.760000000000001,-0.3839209214610465,30.98263196999052,-0.04365447139229992,-0.07820656844765146,-0.004788237257495481,0.03369678518936172,0.0056435491234853525,-5.04587080542506e-17
project_inputs_chi_positive_stage1,4.25,2.6,6.760000000000001,-0.38670583161516653,31.4337498287875,-0.04729954216660393,-0.08363186461209492,-0.0049113575368091855,0.03556235496996489,0.005681325012335331,-5.1669850925499724e-17
project_inputs_chi_positive_stage1,4.5,2.6,6.760000000000001,-0.38912170420306047,31.827729637778525,-0.050784350573689054,-0.08879568259317717,-0.005023454300872238,0.03732108712345408,0.005713699196906333,-5.277080579778854e-17
project_inputs_chi_positive_stage1,4.75,2.6,6.760000000000001,-0.3912418119815989,32.17549766042061,-0.0541119101125749,-0.09370761557714173,-0.005125919431852715,0.038979974345612727,0.005741650550806872,-5.377574046697624e-17
project_inputs_chi_positive_stage1,5.0,2.6,6.760000000000001,-0.3931206247492227,32.4852645817821,-0.05728702532951148,-0.09837885101962655,-0.005219924659722206,0.04054580362101329,0.00576594672882405,-5.469653377592446e-17
project_inputs_chi_positive_stage1,5.25,2.6,6.760000000000001,-0.394799554462946,32.763331605349975,-0.06031560181784006,-0.10282137840300701,-0.005306462362190647,0.04202504257934643,0.005787196368011218,-5.554321086150873e-17
project_inputs_chi_positive_stage1,5.5,2.6,6.760000000000001,-0.3963107091294053,33.014624775526165,-0.0632041653620917,-0.10704745416906931,-0.005386377900398216,0.04342377981001879,0.0058058868973570885,-5.632428511345681e-17
project_inputs_chi_positive_stage1,5.75,2.6,6.760000000000001,-0.3976794151428595,33.24305839740283,-0.06595952927629153,-0.11106924605569998,-0.005460395383643557,0.04474769986451311,0.005822412298538945,-5.704702865020581e-17
project_inputs_chi_positive_stage1,6.0,2.6,6.760000000000001,-0.39892595494542443,33.45178804010326,-0.06858856674799728,-0.11489860237047063,-0.0055291383173971306,0.04600208019333538,0.005837093746535142,-5.771768772243913e-17
colangelo_inputs_chi_positive_stage1,3.0,2.5,6.25,-0.2448654693916428,12.603461563563176,-0.0181117842561885,-0.04302719807906396,-0.004049880333831748,0.023358365883731903,0.005606928272975349,-4.3727099313716314e-17
colangelo_inputs_chi_positive_stage1,3.25,2.5,6.25,-0.251448405245048,13.290230730744934,-0.021122029596458706,-0.04813623055364277,-0.004261051931028792,0.02557088365623854,0.005704369231974364,-4.5818997639189385e-17
colangelo_inputs_chi_positive_stage1,3.5,2.5,6.25,-0.2565977404143223,13.84013750715454,-0.02403805717938244,-0.05302733534852039,-0.004450808778064736,0.027654969218631163,0.00578511772857157,-4.769152674713338e-17
colangelo_inputs_chi_positive_stage1,3.75,2.5,6.25,-0.2607286521181641,14.289343247442169,-0.02684605242762994,-0.05769225518451219,-0.004622094433858464,0.029615552121325876,0.005852745069414884,-4.937617554780172e-17
colangelo_inputs_chi_positive_stage1,4.0,2.5,6.25,-0.26411262965489785,14.66267094218989,-0.029538969460625116,-0.06213054702251081,-0.004777373973040371,0.03145902613188317,0.005909925403042943,-5.089898750444347e-17
colangelo_inputs_chi_positive_stage1,4.25,2.5,6.25,-0.2669338405547903,14.977592817728794,-0.03211434485426676,-0.06634677679897884,-0.0049187163710853535,0.033192457965372,0.005958690350425499,-5.22816004895553e-17
colangelo_inputs_chi_positive_stage1,4.5,2.5,6.25,-0.26932119147172934,15.246698204226725,-0.03457277111043677,-0.07034860734586663,-0.005047864420730654,0.034823096539263645,0.006000604116896929,-5.354208774780749e-17
colangelo_inputs_chi_positive_stage1,4.75,2.5,6.25,-0.27136737884257245,15.479254091609313,-0.036916834848474786,-0.07414550383029872,-0.005166292524241334,0.03635807562385827,0.00603688588220706,-5.46956302761514e-17
colangelo_inputs_chi_positive_stage1,5.0,2.5,6.25,-0.2731406441993306,15.68221517034971,-0.039150380548884506,-0.07774786396930344,-0.005275253869198157,0.037804240620462344,0.006068496669154803,-5.575505235863149e-17
colangelo_inputs_chi_positive_stage1,5.25,2.5,6.25,-0.2746922705606474,15.860892733557558,-0.04127800190989739,-0.08116643971996329,-0.005375818737038458,0.03916805464676369,0.006096201900340727,-5.67312482450348e-17
colangelo_inputs_chi_positive_stage1,5.5,2.5,6.25,-0.27606150330162305,16.019407420293167,-0.04330469231974704,-0.08441195868806872,-0.005468905576442396,0.040455554882303194,0.006120617062460937,-5.763352301164061e-17
colangelo_inputs_chi_positive_stage1,5.75,2.5,6.25,-0.2772788642846686,16.16100195224,-0.04523560662714534,-0.08749488217536311,-0.005555306240990668,0.04167234032478051,0.006142241464427983,-5.846986596201886e-17
colangelo_inputs_chi_positive_stage1,6.0,2.5,6.25,-0.2783684355102466,16.28826126785711,-0.04707590080883083,-0.09042525647839936,-0.005635706543584311,0.04282357872311569,0.0061614834900372,-5.924717096806923e-17
colangelo_inputs_chi_positive_stage1,3.0,2.55,6.5024999999999995,-0.27060767304474737,15.392705603423995,-0.020015838919356165,-0.04548998228182687,-0.004049880333831748,0.02391709542332715,0.005606928272975349,-4.3727099313716314e-17
colangelo_inputs_chi_positive_stage1,3.25,2.55,6.5024999999999995,-0.27814090082210285,16.261644530478847,-0.023364237818190896,-0.051036379904376906,-0.004261051931028792,0.02622882478524048,0.005704369231974364,-4.5818997639189385e-17
colangelo_inputs_chi_positive_stage1,3.5,2.55,6.5024999999999995,-0.2841327212758662,16.969820605970412,-0.0266175321323351,-0.05636370048706897,-0.004450808778064736,0.028411859404227087,0.00578511772857157,-4.769152674713338e-17
colangelo_inputs_chi_positive_stage1,3.75,2.55,6.5024999999999995,-0.28901532490315424,17.558058550416806,-0.029758603443484154,-0.06145941396621697,-0.004622094433858464,0.03047015988717645,0.005852745069414884,-4.937617554780172e-17
colangelo_inputs_chi_positive_stage1,4.0,2.55,6.5024999999999995,-0.29307389315594373,18.054647622817416,-0.03277806438469721,-0.06632004918973093,-0.004777373973040371,0.0324094333750312,0.005909925403042943,-5.089898750444347e-17
colangelo_inputs_chi_positive_stage1,4.25,2.55,6.5024999999999995,-0.296503715160957,18.47970476016704,-0.035671844901567606,-0.07094809439834965,-0.0049187163710853535,0.03423627551744195,0.005958690350425499,-5.22816004895553e-17
colangelo_inputs_chi_positive_stage1,4.5,2.55,6.5024999999999995,-0.2994428115490129,18.8478810963908,-0.03843948457147824,-0.07534985084539668,-0.005047864420730654,0.03595762657775222,0.006000604116896929,-5.354208774780749e-17
colangelo_inputs_chi_positive_stage1,4.75,2.55,6.5024999999999995,-0.30199141034438637,19.17008022326238,-0.04108292997077323,-0.07953395609745326,-0.005166292524241334,0.03758043276871436,0.00603688588220706,-5.46956302761514e-17
colangelo_inputs_chi_positive_stage1,5.0,2.55,6.5024999999999995,-0.3042240261761237,19.45457594553404,-0.04360569051091897,-0.08351037468611733,-0.005275253869198157,0.039111441375241765,0.006068496669154803,-5.575505235863149e-17
colangelo_inputs_chi_positive_stage1,5.25,2.55,6.5024999999999995,-0.30619720556609653,19.707756852398507,-0.046012247852354665,-0.08728971381849024,-0.005375818737038458,0.040557082802833364,0.006096201900340727,-5.67312482450348e-17
colangelo_inputs_chi_positive_stage1,5.5,2.55,6.5024999999999995,-0.3079546407615445,19.934633518169367,-0.04830764451806312,-0.09088276478264674,-0.005468905576442396,0.04192340877856514,0.006120617062460937,-5.763352301164061e-17
colangelo_inputs_chi_positive_stage1,5.75,2.55,6.5024999999999995,-0.3095306347687274,20.13919125838293,-0.050497199162911253,-0.09430020085473219,-0.005555306240990668,0.043216066468383676,0.006142241464427983,-5.846986596201886e-17
colangelo_inputs_chi_positive_stage1,6.0,2.55,6.5024999999999995,-0.31095250400778474,20.324640214356094,-0.05258631140450985,-0.09755238354392946,-0.005635706543584311,0.04444029519296678,0.0061614834900372,-5.924717096806923e-17
colangelo_inputs_chi_positive_stage1,3.0,2.6,6.760000000000001,-0.2958553026384259,18.398968031656963,-0.021883311786465427,-0.047880823647751695,-0.004049880333831748,0.024440463922142712,0.005606928272975349,-4.3727099313716314e-17
colangelo_inputs_chi_positive_stage1,3.25,2.6,6.760000000000001,-0.3044922246203364,19.488892675719054,-0.025577787117219978,-0.053870272140077995,-0.004261051931028792,0.02684916772191249,0.005704369231974364,-4.5818997639189385e-17
colangelo_inputs_chi_positive_stage1,3.5,2.6,6.760000000000001,-0.3114684700054039,20.392145853091172,-0.02917834303402448,-0.059642158657292506,-0.004450808778064736,0.02912950667276123,0.00578511772857157,-4.769152674713338e-17
colangelo_inputs_chi_positive_stage1,3.75,2.6,6.760000000000001,-0.31723400152455195,21.154083211645137,-0.03266415320129538,-0.06517920655254592,-0.004622094433858464,0.03128440271569417,0.005852745069414884,-4.937617554780172e-17
colangelo_inputs_chi_positive_stage1,4.0,2.6,6.760000000000001,-0.3220885418858655,21.806466585515693,-0.03602313003666471,-0.07047448814202405,-0.004777373973040371,0.03331880667535681,0.005909925403042943,-5.089898750444347e-17
colangelo_inputs_chi_positive_stage1,4.25,2.6,6.760000000000001,-0.3262393550877281,22.37213593628578,-0.039249287885514114,-0.07552803957659511,-0.0049187163710853535,0.035238777711740915,0.005958690350425499,-5.22816004895553e-17
colangelo_inputs_chi_positive_stage1,4.5,2.6,6.760000000000001,-0.32983438992319863,22.867917657648967,-0.042340852588877334,-0.08034448049746856,-0.005047864420730654,0.03705088821242501,0.006000604116896929,-5.354208774780749e-17
colangelo_inputs_chi_positive_stage1,4.75,2.6,6.760000000000001,-0.33298216125260105,23.30647993128198,-0.0452989136235928,-0.08493135141606653,-0.005166292524241334,0.03876184443450806,0.00603688588220706,-5.46956302761514e-17
colangelo_inputs_chi_positive_stage1,5.0,2.6,6.760000000000001,-0.33576414603466226,23.697546685293286,-0.04812646660646806,-0.08929795927944868,-0.005275253869198157,0.040378249873024026,0.006068496669154803,-5.575505235863149e-17
colangelo_inputs_chi_positive_stage1,5.25,2.6,6.760000000000001,-0.3382427772567395,24.04871152291915,-0.05082773525849946,-0.09345458123024397,-0.005375818737038458,0.041906462808442305,0.006096201900340727,-5.67312482450348e-17
colangelo_inputs_chi_positive_stage1,5.5,2.6,6.760000000000001,-0.3404667539642496,24.365996078248905,-0.053407693029244474,-0.09741192025545158,-0.005468905576442396,0.04335251574018861,0.006120617062460937,-5.763352301164061e-17
colangelo_inputs_chi_positive_stage1,5.75,2.6,6.760000000000001,-0.34247466204785365,24.654241241449,-0.055871727302865486,-0.10118073772524568,-0.005555306240990668,0.04472207519894293,0.006142241464427983,-5.846986596201886e-17
colangelo_inputs_chi_positive_stage1,6.0,2.6,6.760000000000001,-0.34429750132953524,24.917386659501258,-0.05822540544731009,-0.1047716099924059,-0.005635706543584311,0.04602042759864298,0.0061614834900372,-5.924717096806923e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,3.0,2.5,6.25,-0.8764605839798076,161.47285696350502,-0.0648285160236523,-0.04302719807906396,-0.004049880333831748,-0.023358365883731903,0.005606928272975349,-4.3727099313716314e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,3.25,2.5,6.25,-0.8602684891962462,155.56173579778238,-0.07226379690893577,-0.04813623055364277,-0.004261051931028792,-0.02557088365623854,0.005704369231974364,-4.5818997639189385e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,3.5,2.5,6.25,-0.8470117293464094,150.80425606286067,-0.07934799561664475,-0.05302733534852039,-0.004450808778064736,-0.027654969218631163,0.00578511772857157,-4.769152674713338e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,3.75,2.5,6.25,-0.835980675270845,146.90183686730725,-0.08607715667028171,-0.05769225518451219,-0.004622094433858464,-0.029615552121325876,0.005852745069414884,-4.937617554780172e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,4.0,2.5,6.25,-0.8266729538496324,143.64886797113968,-0.09245702172439146,-0.06213054702251081,-0.004777373973040371,-0.03145902613188317,0.005909925403042943,-5.089898750444347e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,4.25,2.5,6.25,-0.8187240341494144,140.89962225251094,-0.09849926078501076,-0.06634677679897884,-0.0049187163710853535,-0.033192457965372,0.005958690350425499,-5.22816004895553e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,4.5,2.5,6.25,-0.811863634525034,138.54821248547043,-0.10421896418896406,-0.07034860734586663,-0.005047864420730654,-0.034823096539263645,0.006000604116896929,-5.354208774780749e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,4.75,2.5,6.25,-0.8058875088755549,136.51601371084138,-0.1096329860961913,-0.07414550383029872,-0.005166292524241334,-0.03635807562385827,0.00603688588220706,-5.46956302761514e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,5.0,2.5,6.25,-0.8006386910520985,134.743522616673,-0.1147588617898092,-0.07774786396930344,-0.005275253869198157,-0.037804240620462344,0.006068496669154803,-5.575505235863149e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,5.25,2.5,6.25,-0.7959947254540986,133.1849431224056,-0.11961411120342479,-0.08116643971996329,-0.005375818737038458,-0.03916805464676369,0.006096201900340727,-5.67312482450348e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,5.5,2.5,6.25,-0.7918587852796412,131.80449709461362,-0.12421580208435344,-0.08441195868806872,-0.005468905576442396,-0.040455554882303194,0.006120617062460937,-5.763352301164061e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,5.75,2.5,6.25,-0.7881533748259023,130.5738557502361,-0.12858028727670634,-0.08749488217536311,-0.005555306240990668,-0.04167234032478051,0.006142241464427983,-5.846986596201886e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,6.0,2.5,6.25,-0.7848157857377932,129.47031639853037,-0.1327230582550622,-0.09042525647839936,-0.005635706543584311,-0.04282357872311569,0.0061614834900372,-5.924717096806923e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,3.0,2.55,6.5024999999999995,-0.9173104732193524,176.87540760275587,-0.06785002976601047,-0.04548998228182687,-0.004049880333831748,-0.02391709542332715,0.005606928272975349,-4.3727099313716314e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,3.25,2.55,6.5024999999999995,-0.9026259801164006,171.25781897053147,-0.07582188738867186,-0.051036379904376906,-0.004261051931028792,-0.02622882478524048,0.005704369231974364,-4.5818997639189385e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,3.5,2.55,6.5024999999999995,-0.890705779130734,166.76437875878085,-0.08344125094078926,-0.05636370048706897,-0.004450808778064736,-0.028411859404227087,0.00578511772857157,-4.769152674713338e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,3.75,2.55,6.5024999999999995,-0.8808672359894971,163.1006391440569,-0.09069892321783707,-0.06145941396621697,-0.004622094433858464,-0.03047015988717645,0.005852745069414884,-4.937617554780172e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,4.0,2.55,6.5024999999999995,-0.8726297023533278,160.06439309599196,-0.09759693113475962,-0.06632004918973093,-0.004777373973040371,-0.0324094333750312,0.005909925403042943,-5.089898750444347e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,4.25,2.55,6.5024999999999995,-0.8656462931356419,157.51274385557582,-0.1041443959364515,-0.07094809439834965,-0.0049187163710853535,-0.03423627551744195,0.005958690350425499,-5.22816004895553e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,4.5,2.55,6.5024999999999995,-0.8596611869567229,155.3421772637841,-0.11035473772698268,-0.07534985084539668,-0.005047864420730654,-0.03595762657775222,0.006000604116896929,-5.354208774780749e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,4.75,2.55,6.5024999999999995,-0.8544820871899863,153.47607196654306,-0.11624379550820195,-0.07953395609745326,-0.005166292524241334,-0.03758043276871436,0.00603688588220706,-5.46956302761514e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,5.0,2.55,6.5024999999999995,-0.8499619803428181,151.85662696023695,-0.12182857326140249,-0.08351037468611733,-0.005275253869198157,-0.039111441375241765,0.006068496669154803,-5.575505235863149e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,5.25,2.55,6.5024999999999995,-0.8459867615986151,150.43950083888495,-0.1271264134580214,-0.08728971381849024,-0.005375818737038458,-0.040557082802833364,0.006096201900340727,-5.67312482450348e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,5.5,2.55,6.5024999999999995,-0.842466659250665,149.19016521175794,-0.13215446207519338,-0.09088276478264674,-0.005468905576442396,-0.04192340877856514,0.006120617062460937,-5.763352301164061e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,5.75,2.55,6.5024999999999995,-0.8393301764427581,148.08137038234318,-0.1369293320996786,-0.09430020085473219,-0.005555306240990668,-0.043216066468383676,0.006142241464427983,-5.846986596201886e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,6.0,2.55,6.5024999999999995,-0.836519736240507,147.09134980820605,-0.1414669017904434,-0.09755238354392946,-0.005635706543584311,-0.04444029519296678,0.0061614834900372,-5.924717096806923e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,3.0,2.6,6.760000000000001,-0.9567096487142563,192.39556541166516,-0.07076423963075085,-0.047880823647751695,-0.004049880333831748,-0.024440463922142712,0.005606928272975349,-4.3727099313716314e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,3.25,2.6,6.760000000000001,-0.9437471196105043,187.21732167139834,-0.07927612256104495,-0.053870272140077995,-0.004261051931028792,-0.02684916772191249,0.005704369231974364,-4.5818997639189385e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,3.5,2.6,6.760000000000001,-0.9333627883220629,183.11997239674827,-0.08743735637954694,-0.059642158657292506,-0.004450808778064736,-0.02912950667276123,0.00578511772857157,-4.769152674713338e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,3.75,2.6,6.760000000000001,-0.9249017526304734,179.81501537228618,-0.09523295863268373,-0.06517920655254592,-0.004622094433858464,-0.03128440271569417,0.005852745069414884,-4.937617554780172e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,4.0,2.6,6.760000000000001,-0.9179060540520754,177.10516144023688,-0.10266074338737835,-0.07047448814202405,-0.004777373973040371,-0.03331880667535681,0.005909925403042943,-5.089898750444347e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,4.25,2.6,6.760000000000001,-0.9120474924629357,174.851618619096,-0.10972684330899594,-0.07552803957659511,-0.0049187163710853535,-0.035238777711740915,0.005958690350425499,-5.22816004895553e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,4.5,2.6,6.760000000000001,-0.9070857376142049,172.9543249410394,-0.11644262901372736,-0.08034448049746856,-0.005047864420730654,-0.03705088821242501,0.006000604116896929,-5.354208774780749e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,4.75,2.6,6.760000000000001,-0.902841422831771,171.33958185712984,-0.12282260249260891,-0.08493135141606653,-0.005166292524241334,-0.03876184443450806,0.00603688588220706,-5.46956302761514e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,5.0,2.6,6.760000000000001,-0.8991783978163638,169.95207800433704,-0.12888296635251612,-0.08929795927944868,-0.005275253869198157,-0.040378249873024026,0.006068496669154803,-5.575505235863149e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,5.25,2.6,6.760000000000001,-0.8959917421966443,168.7496045506654,-0.13464066087538407,-0.09345458123024397,-0.005375818737038458,-0.041906462808442305,0.006096201900340727,-5.67312482450348e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,5.5,2.6,6.760000000000001,-0.8931994961242175,167.6994693866868,-0.14011272450962167,-0.09741192025545158,-0.005468905576442396,-0.04335251574018861,0.006120617062460937,-5.763352301164061e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,5.75,2.6,6.760000000000001,-0.8907368450590153,166.77601173725145,-0.14531587770075133,-0.10118073772524568,-0.005555306240990668,-0.04472207519894293,0.006142241464427983,-5.846986596201886e-17
colangelo_positive_chi_inserted_in_printed_formula_diagnostic,6.0,2.6,6.760000000000001,-0.8885519590049881,165.95884630221323,-0.15026626064459603,-0.1047716099924059,-0.005635706543584311,-0.04602042759864298,0.0061614834900372,-5.924717096806923e-17
