M2,s0_root,s0,theta_deg,GA,GB,GB_hard,GB_soft2p,GB_3p,G_low_combo,G_high_combo,Gamma_low_combo_keV,Gamma_high_combo_keV,fB_effective,hard_qcd_side,f1_tensor_matched,chi_effective,fperp_s_used_GeV,state,m_initial,m_final,quoted_combo,mass_comment,scenario,mb_MSbar,ms_MSbar,f_Bs,f_Bs1_A_working,fT_Bs1_working,G_quoted,Gamma_quoted_keV
13.5,6.05,36.6025,35.3,0.333916425904799,0.4318851233453615,0.1750894034378148,0.25646070715949354,0.00033501274805320633,0.545433836374534,0.022953635743195283,63.12086393849036,0.11178711625517249,0.22683827574263177,0.035138491979626436,0.06801820716962186,3.15,-0.034836479999999996,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.022953635743195283,0.11178711625517249
14.0,6.05,36.6025,35.3,0.3277828005058785,0.42527990005726257,0.17358023906750772,0.2513767577385766,0.00032290325117823835,0.536498703156365,0.02176463212944929,61.06974900496632,0.10050587388765626,0.22683827574263177,0.03785183772138837,0.06801820716962186,3.15,-0.034836479999999996,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.02176463212944929,0.10050587388765626
8.0,6.15,37.822500000000005,35.3,0.519256477360483,0.6199073519698161,0.2187308592028023,0.4004959616975208,0.0006805310694929023,0.8059860067628954,0.0655665403193505,137.83000936229578,0.9121228144867319,0.22683827574263177,0.008875897229193224,0.06801820716962186,3.15,-0.034836479999999996,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.0655665403193505,0.9121228144867319
8.5,6.15,37.822500000000005,35.3,0.4865989713549622,0.5877961114425275,0.2124735773254346,0.3747081949881154,0.0006143391289775584,0.7609074274658296,0.05746924723708274,122.84356992160093,0.700744663579747,0.22683827574263177,0.01086031097328934,0.06801820716962186,3.15,-0.034836479999999996,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.05746924723708274,0.700744663579747
9.0,6.15,37.822500000000005,35.3,0.46026563856870534,0.56157430578042,0.20726855486409443,0.35374482416705066,0.0005609267492748626,0.7242899090592401,0.05113009480507957,111.30473786798214,0.5546793245465879,0.22683827574263177,0.013006745397451188,0.06801820716962186,3.15,-0.034836479999999996,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.05113009480507957,0.5546793245465879
9.5,6.15,37.822500000000005,35.3,0.4386691959261045,0.5398205449140278,0.20288229376690137,0.3364211657985104,0.0005170853486159032,0.6940561780499748,0.04607500272810322,102.20638572529215,0.45042192388065555,0.22683827574263177,0.015296727486525006,0.06801820716962186,3.15,-0.034836479999999996,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.04607500272810322,0.45042192388065555
10.0,6.15,37.822500000000005,35.3,0.4206968218417415,0.5215256298103214,0.1991439123096663,0.3219011518719853,0.0004805656286697613,0.668739536733593,0.041978928834997764,94.88614050098772,0.3738965753041749,0.22683827574263177,0.017712043313128773,0.06801820716962186,3.15,-0.034836479999999996,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.041978928834997764,0.3738965753041749
10.5,6.15,37.822500000000005,35.3,0.4055487993012057,0.5059557555138756,0.19592580824128009,0.3095801957340407,0.00044975153855489596,0.6472789767280589,0.03861322879717888,88.89386418357024,0.3163450322062122,0.22683827574263177,0.020235197791459904,0.06801820716962186,3.15,-0.034836479999999996,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.03861322879717888,0.3163450322062122
11.0,6.15,37.822500000000005,35.3,0.39263783714584183,0.4925661261821373,0.19313099194263936,0.2990116775697469,0.00042345666975104006,0.6288904989935835,0.03581340665509802,83.91485516478515,0.2721322736647128,0.22683827574263177,0.022849708564639713,0.06801820716962186,3.15,-0.034836479999999996,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.03581340665509802,0.2721322736647128
11.5,6.15,37.822500000000005,35.3,0.38152432173243456,0.4809447699853529,0.19068457301236832,0.2898594037214849,0.00040079325149972364,0.6129838437383357,0.03345873825226947,79.72358838294677,0.23752422018387906,0.22683827574263177,0.025540275920209052,0.06801820716962186,3.15,-0.034836479999999996,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.03345873825226947,0.23752422018387906
