sector,scenario,ensemble,window_id,M2,s0,theta_deg,f1_GeV,f2_GeV,normalization_scheme,two_point_M2_GeV2,two_point_s0_mix_GeV2,two_point_s01_GeV2,two_point_s02_GeV2,T_A,T_B,T_A_pert,T_A_tw2,T_A_tw3,T_A_tw4,T_A_3p_g,T_A_3p_gamma,T_B_pert,T_B_tw2,T_B_tw3,T_B_tw4,T_B_3p_g,T_B_3p_gamma,chi_effective,fperp_s_used_GeV,transition_scheme,state,state_key,g_GeV_inv,g_A_component_GeV_inv,g_B_component_GeV_inv,interference,Gamma_keV,physical_normalization,two_point_matrix_theta_deg,two_point_offdiag_residual,mass_low_GeV,mass_high_GeV,g_low_GeV_inv,g_high_GeV_inv,quoted_combo
Ds,lattice_fperp_s,theta_sensitivity_25_45,central,4.317706102836816,7.775593433025959,35.4494597180047,0.4292660216806376,0.1730937283119143,AA_AB_BB_two_point_LO_d3_d5,2.6211987734925812,10.986994839527389,8.25,9.85,-0.036595372263529574,-0.07938047942964008,-0.09901537274552605,0.06004559856262803,0.0,0.004884227897702187,0.000151091614495428,-0.002660917592829176,-0.12459873850671238,0.055638023286520066,-0.007469149855741695,0.004525706996252009,-0.0003110363953487751,-0.007165284954609303,5.712264029222289,-0.05450468721349941,rohrwild_nonlocal_exact_post_borel,D_{s1}(2460),Ds1_2460,-0.37213857502764364,-0.09196093150113999,-0.28017764352650365,constructive,29.059620263866005,4.332721037305128,,,,,,,
Ds,lattice_fperp_s,theta_sensitivity_25_45,central,4.317706102836816,7.775593433025959,35.4494597180047,0.4292660216806376,0.1730937283119143,AA_AB_BB_two_point_LO_d3_d5,2.6211987734925812,10.986994839527389,8.25,9.85,-0.036595372263529574,-0.07938047942964008,-0.09901537274552605,0.06004559856262803,0.0,0.004884227897702187,0.000151091614495428,-0.002660917592829176,-0.12459873850671238,0.055638023286520066,-0.007469149855741695,0.004525706996252009,-0.0003110363953487751,-0.007165284954609303,5.712264029222289,-0.05450468721349941,rohrwild_nonlocal_exact_post_borel,D_{s1}(2536),Ds1_2536,0.17673459899387012,-0.32467248612271515,0.5014070851165853,destructive,9.686657116766034,10.890812580304203,,,,,,,
Ds,lattice_fperp_s,theta_sensitivity_25_45,central,3.6817267127601947,7.863348117477861,39.466004036359934,0.3785419823979756,0.17265181191861909,AA_AB_BB_two_point_LO_d3_d5,2.4952591087815486,10.753535088195683,7.575,9.6,-0.02424526268693758,-0.06918617630484432,-0.08558091225138696,0.058233108458604244,0.0,0.006778947774715753,0.00020357775764141505,-0.0038799844265120296,-0.10863157507750748,0.05426805359839531,-0.010210644278633451,0.0063173735855181,-0.0004214877270267413,-0.010507896405590057,4.455536842035401,-0.059732778565639084,rohrwild_nonlocal_exact_post_borel,D_{s1}(2460),Ds1_2460,-0.3999675991586415,-0.08956083506928186,-0.31040676408935963,constructive,33.63732401095253,5.811570371600834,,,,,,,
Ds,lattice_fperp_s,theta_sensitivity_25_45,central,3.6817267127601947,7.863348117477861,39.466004036359934,0.3785419823979756,0.17265181191861909,AA_AB_BB_two_point_LO_d3_d5,2.4952591087815486,10.753535088195683,7.575,9.6,-0.02424526268693758,-0.06918617630484432,-0.08558091225138696,0.058233108458604244,0.0,0.006778947774715753,0.00020357775764141505,-0.0038799844265120296,-0.10863157507750748,0.05426805359839531,-0.010210644278633451,0.0063173735855181,-0.0004214877270267413,-0.010507896405590057,4.455536842035401,-0.059732778565639084,rohrwild_nonlocal_exact_post_borel,D_{s1}(2536),Ds1_2536,0.328683530366149,-0.24356302429081716,0.5722465546569662,destructive,33.54086576418019,13.01266106072585,,,,,,,
Ds,lattice_fperp_s,theta_sensitivity_25_45,central,3.634424186691291,7.8449409120361295,43.125074874640674,0.3813185608343148,0.18851261980187195,AA_AB_BB_two_point_LO_d3_d5,2.555046595223934,9.070867106866364,7.675,9.5,-0.029123781091852617,-0.062021214639387465,-0.08638223416853338,0.05418387878648491,0.0,0.006748814798686281,0.00020245749755009448,-0.003876698006040521,-0.10596753198458629,0.04992398209662495,-0.001401095605267124,0.00621822794397457,-0.0004144320432320668,-0.0103803650469015,4.203239174244809,-0.05612583959675737,rohrwild_nonlocal_exact_post_borel,D_{s1}(2460),Ds1_2460,-0.38388087499121387,-0.11726151240858114,-0.26661936258263275,constructive,30.868879455794012,5.889927701211488,,,,,,,
Ds,lattice_fperp_s,theta_sensitivity_25_45,central,3.634424186691291,7.8449409120361295,43.125074874640674,0.3813185608343148,0.18851261980187195,AA_AB_BB_two_point_LO_d3_d5,2.555046595223934,9.070867106866364,7.675,9.5,-0.029123781091852617,-0.062021214639387465,-0.08638223416853338,0.05418387878648491,0.0,0.006748814798686281,0.00020245749755009448,-0.003876698006040521,-0.10596753198458629,0.04992398209662495,-0.001401095605267124,0.00621822794397457,-0.0004144320432320668,-0.0103803650469015,4.203239174244809,-0.05612583959675737,rohrwild_nonlocal_exact_post_borel,D_{s1}(2536),Ds1_2536,0.2574344515551318,-0.25884050054808494,0.5162749521032167,destructive,20.564668237389437,12.17707604939521,,,,,,,
Ds,lattice_fperp_s,theta_sensitivity_25_45,central,3.0823015254814083,7.6950693716875485,43.60159096405168,0.3937007949070364,0.20608779254709517,AA_AB_BB_two_point_LO_d3_d5,2.226648493991208,9.447104316800134,7.85,10.625,-0.01953936280385608,-0.05409142867022641,-0.06763201575388901,0.044059260927883245,0.0,0.008939209810673287,0.0002563297988668353,-0.005162147587390436,-0.08483692991892311,0.040806151755251305,-0.003918302731108989,0.008279184544276251,-0.0005274336863718527,-0.013894098633350012,3.026518036962748,-0.054674284427518476,rohrwild_nonlocal_exact_post_borel,D_{s1}(2460),Ds1_2460,-0.3769783711408722,-0.0964910846140408,-0.2804872865268314,constructive,29.833090375281603,7.160684963981498,,,,,,,
Ds,lattice_fperp_s,theta_sensitivity_25_45,central,3.0823015254814083,7.6950693716875485,43.60159096405168,0.3937007949070364,0.20608779254709517,AA_AB_BB_two_point_LO_d3_d5,2.226648493991208,9.447104316800134,7.85,10.625,-0.01953936280385608,-0.05409142867022641,-0.06763201575388901,0.044059260927883245,0.0,0.008939209810673287,0.0002563297988668353,-0.005162147587390436,-0.08483692991892311,0.040806151755251305,-0.003918302731108989,0.008279184544276251,-0.0005274336863718527,-0.013894098633350012,3.026518036962748,-0.054674284427518476,rohrwild_nonlocal_exact_post_borel,D_{s1}(2536),Ds1_2536,0.3267252669882925,-0.1996618818463919,0.5263871488346844,destructive,33.11842082164866,14.11089634534425,,,,,,,
Ds,lattice_fperp_s,theta_sensitivity_25_45,central,3.818454730629091,7.968062157036296,37.54793574397554,0.4118785642489127,0.18282131400762675,AA_AB_BB_two_point_LO_d3_d5,2.0977706616864356,10.616005930939917,8.15,10.85,-0.030634547649847015,-0.08292047174773823,-0.0927956190077654,0.059341960464539156,0.0,0.006223110480051106,0.00018973846995025604,-0.0035937380566221384,-0.1159159126501175,0.05514421926362846,-0.01783494778741465,0.005782899084009684,-0.0003917182731698411,-0.009705011384674382,4.726497384123383,-0.0577977628480935,rohrwild_nonlocal_exact_post_borel,D_{s1}(2460),Ds1_2460,-0.4261920496846776,-0.09426069191736396,-0.33193135776731364,constructive,38.338427462819155,5.048924900483232,,,,,,,
Ds,lattice_fperp_s,theta_sensitivity_25_45,central,3.818454730629091,7.968062157036296,37.54793574397554,0.4118785642489127,0.18282131400762675,AA_AB_BB_two_point_LO_d3_d5,2.0977706616864356,10.616005930939917,8.15,10.85,-0.030634547649847015,-0.08292047174773823,-0.0927956190077654,0.059341960464539156,0.0,0.006223110480051106,0.00018973846995025604,-0.0035937380566221384,-0.1159159126501175,0.05514421926362846,-0.01783494778741465,0.005782899084009684,-0.0003917182731698411,-0.009705011384674382,4.726497384123383,-0.0577977628480935,rohrwild_nonlocal_exact_post_borel,D_{s1}(2536),Ds1_2536,0.30425318241156357,-0.28156656385838147,0.585819746269945,destructive,28.71616480511619,11.592630716890511,,,,,,,
Ds,lattice_fperp_s,theta_sensitivity_25_45,central,4.060859510670298,7.645729562174323,31.948463761657738,0.39534012198144647,0.14912541694308573,AA_AB_BB_two_point_LO_d3_d5,2.518569449550853,10.32581699070546,7.95,9.3,-0.03149590895689351,-0.07001375771627037,-0.09009943194247373,0.05559354440180163,0.0,0.0062093467382289035,0.00018891464307056825,-0.003388282797520881,-0.11445914983053747,0.05159196928345138,-0.0033815308755768456,0.0057624033444182215,-0.00038949662474272205,-0.009137953013282938,4.416094362725916,-0.053930297316451756,rohrwild_nonlocal_exact_post_borel,D_{s1}(2460),Ds1_2460,-0.38363615762231573,-0.08404612767838802,-0.2995900299439277,constructive,31.079812439632985,5.042891590937504,,,,,,,
