sector,state,label,M2,s0,combo,theta_deg,theta_reference_deg,sqrt_s0,f1_GeV,f2_GeV,g_GeV_inv,g_A_component_GeV_inv,g_B_component_GeV_inv,Gamma_keV,two_point_source_theta_deg,normalization_scheme,m_initial,m_sigma,quoted_combo,window_id
Ds,Ds1_2536,D_s1(2536),3.75,9.5,high,27.75,35.3,3.082207001484488,0.41680136521542,0.17399819639207945,-0.04629010207364348,-0.5296428137707979,0.48335271169715444,0.6649307852123103,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2460,D_s1(2460),3.75,9.0,low,27.875,35.3,3.0,0.4168620376829804,0.1738690205283321,-0.4649600846772076,-0.10575362599636552,-0.3592064586808421,45.44290569297184,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2536,D_s1(2536),3.75,9.5,high,27.875,35.3,3.082207001484488,0.4168620376829804,0.1738690205283321,-0.043710207960140246,-0.5294266602609641,0.48571645230082383,0.592878783484139,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2460,D_s1(2460),3.75,9.0,low,28.0,35.3,3.0,0.4169209554331736,0.17374568637915325,-0.46491498797438296,-0.10617457944504351,-0.35874040852933947,45.43409106178721,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2536,D_s1(2536),3.75,9.5,high,28.0,35.3,3.082207001484488,0.4169209554331736,0.17374568637915325,-0.04112488657952296,-0.5291898704404211,0.48806498386089814,0.5248190491335128,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2460,D_s1(2460),3.75,9.0,low,28.125,35.3,3.0,0.41697811808833213,0.17362820874378904,-0.4648696481639597,-0.10659535732008113,-0.3582742908438786,45.425229774534245,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2536,D_s1(2536),3.75,9.5,high,28.125,35.3,3.082207001484488,0.41697811808833213,0.17362820874378904,-0.038534396492238165,-0.5289323820675196,0.4903979855752814,0.4607838901810111,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2460,D_s1(2460),3.75,9.0,low,28.25,35.3,3.0,0.41703352528209164,0.17351660175631844,-0.46482406509427404,-0.10701596302849324,-0.3578081020657808,45.41632181547745,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2536,D_s1(2536),3.75,9.5,high,28.25,35.3,3.082207001484488,0.41703352528209164,0.17351660175631844,-0.0359389990446799,-0.5286541390424384,0.4927151399977585,0.4008040654506689,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2460,D_s1(2460),3.75,9.0,low,28.375,35.3,3.0,0.41708717665938827,0.17341087887857856,-0.46477823860537737,-0.10743639997208919,-0.35734183863328817,45.40736716734879,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2536,D_s1(2536),3.75,9.5,high,28.375,35.3,3.082207001484488,0.41708717665938827,0.17341087887857856,-0.03333895824598643,-0.5283550914804507,0.49501613323446425,0.3449087514562182,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2460,D_s1(2460),3.75,9.0,low,28.5,35.3,3.0,0.4171390718764559,0.17331105289339446,-0.4647321685290423,-0.10785667154757182,-0.3568754969814705,45.39836581134975,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2536,D_s1(2536),3.75,9.5,high,28.5,35.3,3.082207001484488,0.4171390718764559,0.17331105289339446,-0.030734540641600472,-0.5280351957802065,0.49730065513860605,0.2931255107216381,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2460,D_s1(2460),3.75,9.0,low,28.625,35.3,3.0,0.4171892106008241,0.17321713589812202,-0.46468585468876744,-0.10827678114663566,-0.35640907354213175,45.3893177271533,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2536,D_s1(2536),3.75,9.5,high,28.625,35.3,3.082207001484488,0.4171892106008241,0.17321713589812202,-0.02812601518372765,-0.5276944146868966,0.49956839950316895,0.2454802615976206,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2460,D_s1(2460),3.75,9.0,low,28.75,35.3,3.0,0.417237592511316,0.17312913929851123,-0.464639296899783,-0.10869673215606511,-0.3559425647437179,45.380222892905955,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2536,D_s1(2536),3.75,9.5,high,28.75,35.3,3.082207001484488,0.417237592511316,0.17312913929851123,-0.02551365309882947,-0.5273327173501745,0.501819064251345,0.20199724963306287,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2460,D_s1(2460),3.75,9.0,low,28.875,35.3,3.0,0.41728421729804616,0.17304707380289677,-0.46459249496905347,-0.10911652795783201,-0.35547596701122147,45.37108128522926,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2536,D_s1(2536),3.75,9.5,high,28.875,35.3,3.082207001484488,0.41728421729804616,0.17304707380289677,-0.022897727752296593,-0.5269500793767206,0.504052351624424,0.16269902055819374,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2460,D_s1(2460),3.75,9.0,low,29.0,35.3,3.0,0.41732908466241836,0.17297094941672403,-0.46454544869528286,-0.10953617192919353,-0.35500927676608934,45.361892879221905,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2536,D_s1(2536),3.75,9.5,high,29.0,35.3,3.082207001484488,0.41732908466241836,0.17297094941672403,-0.02027851451045004,-0.5265464828773335,0.5062679683668835,0.12760639493314396,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2460,D_s1(2460),3.75,9.0,low,29.125,35.3,3.0,0.4173721943171237,0.1729007754374163,-0.4644981578689171,-0.10995566744278915,-0.35454249042612795,45.3526576484611,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2536,D_s1(2536),3.75,9.5,high,29.125,35.3,3.082207001484488,0.4173721943171237,0.1729007754374163,-0.01765629060003049,-0.5261219165084565,0.508465625908426,0.09673844451297431,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2460,D_s1(2460),3.75,9.0,low,29.25,35.3,3.0,0.41741354598613845,0.17283656044958953,-0.4644506222721459,-0.11037501786673781,-0.3540756044054081,45.34337556500406,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2536,D_s1(2536),3.75,9.5,high,29.25,35.3,3.082207001484488,0.41741354598613845,0.17283656044958953,-0.015031334965332488,-0.5256763755080417,0.5106450405427092,0.07011247037698222,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2460,D_s1(2460),3.75,9.0,low,29.375,35.3,3.0,0.4174531394047226,0.17277831232062116,-0.4644028416789059,-0.11079422656473456,-0.3536086151141713,45.33404659938961,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2536,D_s1(2536),3.75,9.5,high,29.375,35.3,3.082207001484488,0.4174531394047226,0.17277831232062116,-0.012403928123158159,-0.525209861725674,0.5128059336025158,0.047743982867055924,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2460,D_s1(2460),3.75,9.0,low,29.5,35.3,3.0,0.4174909743194183,0.17272603819657747,-0.4643548158548805,-0.11121329689614705,-0.3531415189587334,45.32467072063928,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2536,D_s1(2536),3.75,9.5,high,29.5,35.3,3.082207001484488,0.4174909743194183,0.17272603819657747,-0.009774352015753829,-0.5247223836468807,0.5149480316311269,0.02964668337629393,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2460,D_s1(2460),3.75,9.0,low,29.625,35.3,3.0,0.41752705048804734,0.17267974449850543,-0.4643065445575024,-0.11163223221611177,-0.3526743123413907,45.31524789625879,26.594403607486143,AA_AB_BB_two_point_projection,,,,
