sector,state,M2,s0,Pi,mass_sr,f,pc,d5frac,offdiag,accepted,rejection_reason
D,Ds1_2460,2.8,7.5,0.10138773306754106,2.4177158527617757,0.38130486752863035,0.4214181615551763,0.01388572565370569,0.2769213139368741,True,
D,Ds1_2460,2.8,7.75,0.10780251713869664,2.4395115769517792,0.39318242206359616,0.44808121465094836,0.013059456155515525,0.2860912522179622,True,
D,Ds1_2460,2.8,8.0,0.11404966531120894,2.4610082561727142,0.40441443662440796,0.47404748905289323,0.012344115541114658,0.29485080263917707,True,
D,Ds1_2460,2.8,8.25,0.12011870869652527,2.4821439577184763,0.41503523688458194,0.49927347082067597,0.011720424414350575,0.30320220233136874,True,
D,Ds1_2460,2.8,8.5,0.12600149041859224,2.5028729778474825,0.42507687975634434,0.5237252558950336,0.01117321899407695,0.3111536121481226,True,
D,Ds1_2460,3.0,7.5,0.1165243269442801,2.4173505421407544,0.3803757716968322,0.385624859329343,0.012575138269370229,0.27764773126077974,False,PC<0.40
D,Ds1_2460,3.0,7.75,0.1242160277948371,2.44005484516024,0.3927293542600599,0.4110797247319793,0.011796460964681798,0.2871623628121496,True,
D,Ds1_2460,3.0,8.0,0.13175143431580597,2.462462012791827,0.40446618699748893,0.43601735068391934,0.011121772834421695,0.2962555915309327,True,
D,Ds1_2460,3.0,8.25,0.13911570433213072,2.484513864361566,0.4156163503372119,0.46038861858634195,0.010533027382525291,0.30493145094658813,True,
D,Ds1_2460,3.0,8.5,0.14629657025322965,2.5061674515314527,0.4262080196647715,0.4841529301537522,0.010016021021772906,0.3131995407845077,True,
D,Ds1_2536,2.0,8.5,0.0064495038274463646,2.3593773639094944,0.15796075574680868,0.596145769060244,0.13571654812423375,0.30150003462212427,False,d5>0.10;mass>5pct
D,Ds1_2536,2.0,8.875,0.006854835412163119,2.3981425288552374,0.16284880136049937,0.6336117068688352,0.12769152633802516,0.3099305072485693,False,d5>0.10;mass>5pct
D,Ds1_2536,2.0,9.25,0.007235049406295241,2.4341316883117843,0.1673041836100537,0.6687559551712827,0.1209811222316532,0.3176154590073088,False,d5>0.10
D,Ds1_2536,2.0,9.625,0.0075892975651634265,2.467558224890782,0.17135107803945965,0.7015001083273662,0.11533404627496718,0.3245987457778141,False,d5>0.10
D,Ds1_2536,2.0,10.0,0.007917349788513408,2.4986053485041455,0.17501527983815396,0.7318228975237455,0.11055522617491995,0.33092817245976935,False,d5>0.10
D,Ds1_2536,2.2,8.5,0.008341891087988374,2.3982387797643914,0.15523274852409424,0.5257392195093252,0.11069082946582297,0.30405703332843786,False,d5>0.10;mass>5pct
D,Ds1_2536,2.2,8.875,0.008943446211013091,2.4390441757458574,0.16073244055708247,0.5636516206105864,0.10324552997321515,0.3133569982818703,False,d5>0.10
D,Ds1_2536,2.2,9.25,0.009517419159801208,2.4772188163991,0.1658099879440029,0.5998256831741506,0.09701903723469885,0.32188444304131175,True,
D,Ds1_2536,2.2,9.625,0.010061382615384883,2.5129619549416304,0.17048254569293986,0.6341084278855923,0.09177375308549157,0.32968532028983705,True,
D,Ds1_2536,2.2,10.0,0.010573776914798104,2.5464424761086395,0.17476970819800364,0.6664015585694042,0.08732649187545494,0.3368085237185544,True,
D,Ds1_2536,2.4,8.5,0.01040091093800032,2.4278947846204115,0.15347028888531214,0.46353533459253793,0.09282333729777072,0.3065610663240248,True,
D,Ds1_2536,2.4,8.875,0.011236842927755999,2.470297470660314,0.15951839705950063,0.5007901497599585,0.08591801722326617,0.31659900838607047,True,
D,Ds1_2536,2.4,9.25,0.01204584983013621,2.5101987507857846,0.1651609393271189,0.5368449998993234,0.08014770878072283,0.3258434714010507,True,
D,Ds1_2536,2.4,9.625,0.01282352133988909,2.5477875487857657,0.17040889929266828,0.5715033318113253,0.07528721936921787,0.3343427057892687,True,
D,Ds1_2536,2.4,10.0,0.013566534898167719,2.5832225415562218,0.17527625685436626,0.6046170696749141,0.07116388019850735,0.34214699339770205,True,
D,Ds1_2536,2.6,8.5,0.012586978306503134,2.4511634131478943,0.1523069016415486,0.4091680731179273,0.07965029752596556,0.30893767802091354,True,
D,Ds1_2536,2.6,8.875,0.013691281268974344,2.4948475226725004,0.15884768423856116,0.4450659275743313,0.07322591270823794,0.319603838687895,True,
D,Ds1_2536,2.6,9.25,0.014772930136816667,2.536142649362699,0.16500312278103707,0.4802273596724999,0.06786443567937185,0.32945963474645246,True,
D,Ds1_2536,2.6,9.625,0.01582524901300164,2.5752298748906473,0.170778862991968,0.5144353543467871,0.06335170879410318,0.338555648871036,True,
D,Ds1_2536,2.6,10.0,0.016842821326985516,2.612260348775712,0.1761839174735807,0.5475138337746749,0.059524265418618175,0.34694368936606357,True,
D,Ds1_2536,2.8,8.5,0.014864825966874015,2.4698536762570265,0.15153011206323277,0.3619133986303873,0.06966173579407918,0.3111536121481226,False,PC<0.40
D,Ds1_2536,2.8,8.875,0.016266786508327816,2.514587141945957,0.15851483513913464,0.3960468829667628,0.06365790677828186,0.32235735170054697,False,PC<0.40
