sector,M2,s0,Pi,mass_sr,f,pc,localfrac
D,3.3,6.75,0.07001727481251485,2.0971317170615937,0.24628430611983929,0.4494090137500025,0.11727532074291458
D,3.3,7.0,0.07376767271620845,2.126939385242866,0.25279424209824247,0.473481110637266,0.11131296486432685
D,3.3,7.25,0.07742718882530178,2.155640367839991,0.2589887398013534,0.496969878656211,0.10605187254970017
D,3.3,7.5,0.08098918867800806,2.1832887276042796,0.2648790809498413,0.5198327342167685,0.10138758635832813
D,3.5,6.5,0.0712823800535872,2.0740901625112826,0.2390836355893895,0.3950855995037227,0.11898351284155843
D,3.5,6.75,0.07558130876879708,2.105698844586309,0.24618747792716617,0.41891259331896347,0.11221594492928795
D,3.5,7.0,0.07980581321560126,2.1361559739958187,0.2529740763798582,0.44232708748592386,0.10627581677000948
D,3.5,7.25,0.08394582657540978,2.1655216817595333,0.25945276905703785,0.4652732862377577,0.10103454011336524
D,3.5,7.5,0.087992998647218,2.193850403481423,0.2656334814307012,0.4877049082330254,0.09638753210907867
B,7.0,36.0,0.039031266078383656,5.229176174503824,0.2963574969016168,0.6649471616813879,0.0880827724708818
B,7.0,36.5,0.03993484128493161,5.248404782974783,0.2997682136170095,0.6803407122711416,0.08608979073443691
B,7.0,37.0,0.04080623196066637,5.267093210169897,0.30302108261632255,0.695185958525307,0.08425139896637915
B,7.0,37.5,0.04164570428853414,5.2852522237274,0.3061221141579127,0.7094874352082498,0.08255310332641574
B,7.0,38.0,0.042453626062725215,5.302892394715984,0.3090772173771155,0.7232514081608584,0.08098206085277844
B,7.4,36.0,0.048241771986194275,5.246719963099088,0.2942023122382509,0.6326793288902989,0.08235875003930146
B,7.4,36.5,0.049437213955615046,5.266777334283353,0.2978252053194763,0.648357265081301,0.08036723194051845
B,7.4,37.0,0.05059453476897893,5.286306359923431,0.3012910696457442,0.6635352514065003,0.0785288778443319
B,7.4,37.5,0.051713776539789175,5.305317320353762,0.3046053894140885,0.6782138401744432,0.07682927657404746
B,7.4,38.0,0.05279511964568131,5.323820253279101,0.30777358624675893,0.6923953969947808,0.07525566884076483
B,7.8,36.0,0.05841463215812409,5.26240880791096,0.2924581582414174,0.6018830960269104,0.0774101362366016
B,7.8,36.5,0.05995145932622083,5.283206624957698,0.2962803145837538,0.6177180034776404,0.07542576418308519
B,7.8,37.0,0.06144444276635157,5.303487770843819,0.29994679279533815,0.633101161122635,0.07359306114576153
B,7.8,37.5,0.06289331417033643,5.323262162845517,0.30346258839483803,0.6480298044121227,0.07189769998961348
B,7.8,38.0,0.0642979836863572,5.342539434413695,0.3068326667557193,0.6625030075456909,0.07032700520795356
B,8.2,36.0,0.0694925851101316,5.276497601040527,0.29103560879247276,0.5726186140104313,0.07310182006841653
B,8.2,36.5,0.07142045787962455,5.297959383155676,0.29504496674760955,0.5885042776608193,0.07112856181028823
B,8.2,37.0,0.07329919591276986,5.3189157830936225,0.2989004029120484,0.603985071286836,0.06930545948765232
B,8.2,37.5,0.07512813390360712,5.339376448668312,0.3026064606780679,0.6190555127701183,0.06761827013203711
B,8.2,38.0,0.0769068277702167,5.359350707421424,0.30616768065688904,0.6337119428774844,0.06605440115132769
B,8.6,36.0,0.08141192062684216,5.289201805081123,0.28986756306180617,0.5448992711258597,0.06932613929223105
B,8.6,36.5,0.08377987628062415,5.311261206355217,0.2940529065225052,0.5607482684209653,0.06736670427299025
B,8.6,37.0,0.08609403426312957,5.332826005035464,0.2980863907061975,0.5762371917657062,0.0655559261188158
B,8.6,37.5,0.08835324812900736,5.353905649908602,0.3019721417078119,0.5913583678705769,0.06387964527555992
B,8.6,38.0,0.0905566370618301,5.374509237406208,0.3057143060045207,0.6061059013307573,0.06232535054908162
B,9.0,36.0,0.09410523599315776,5.300703344576764,0.28890297710636664,0.5187055367779084,0.065996758573817
B,9.0,36.5,0.0969610614680315,5.323302658581647,0.2932539048778896,0.5344467701987153,0.06405293471771843
B,9.0,37.0,0.09975922575627066,5.345417579938724,0.29745526340769096,0.5498701767053352,0.062256302545352485
B,9.0,37.5,0.1024980216185922,5.367057411437748,0.3015107941425439,0.5649663460406301,0.0605927845464478
B,9.0,38.0,0.10517605261667175,5.388231075303002,0.3054242785816197,0.5797275810740106,0.05904994897467791
