input_set,s0_window_label,M2,s0,theta_deg,gA_star,width_A_keV,g1_2460_axial_only,Gamma2460_axial_only_keV,g2_2536_axial_only,Gamma2536_axial_only_keV,qcd_side,pert,heavy_local,twist2_chi_phi,twist4_2p,twist3_2p_f3g,twist4_3p_F2,twist3_3p_F3,F2_integral,F3_integral
project_inputs_positive_chi,rounded_final,4.5,8.0,35.3,-0.13429573823020605,0.574574616006408,-0.050611184516436494,0.08160466329911809,-0.06506821909070763,0.2277936192636744,-0.01328038122558435,0.01989418978443245,-0.006534908578693237,-0.05273555084357062,-0.0009945079491838938,0.01380078321216495,-0.0005111700628989166,0.013800783212164925,-0.1562500000000002,-4.453125000000227
project_inputs_positive_chi,rounded_final,4.75,8.0,35.3,-0.1283775062132349,0.5250490099045892,-0.048380817889994744,0.07457072845752286,-0.062200750453320124,0.20815888994240103,-0.01349991992055021,0.02095783522068371,-0.006659559051807978,-0.055321656109526635,-0.0009107585981003286,0.014477561544208248,-0.0005209044702154618,0.01447756154420824,-0.1562500000000002,-4.453125000000227
project_inputs_positive_chi,rounded_final,5.0,8.0,35.3,-0.12329423346627508,0.4842922324869914,-0.046465117076743695,0.06878219724562004,-0.059737831606036775,0.19200061636253396,-0.013702808034829084,0.021970608669877042,-0.006773798208949616,-0.05777843284933845,-0.0008323515568072016,0.015120494871811194,-0.0005298238332332555,0.015120494871811201,-0.1562500000000002,-4.453125000000227
project_inputs_positive_chi,rounded_final,5.25,8.0,35.3,-0.11888519963396009,0.4502747113498805,-0.0448035124140254,0.06395081715793163,-0.05760159122223816,0.17851416213651813,-0.013890922846130697,0.022935001238386835,-0.006878863480894348,-0.06011312077614847,-0.0007588701914424366,0.015731477812741097,-0.0005380252615144836,0.015731477812741118,-0.1562500000000002,-4.453125000000227
project_inputs_positive_chi,rounded_final,5.5,8.0,35.3,-0.11502773607496135,0.42152867004421307,-0.04334977454771087,0.05986812544726032,-0.05573259457871775,0.16711761831765926,-0.014065861397584065,0.0238535508344645,-0.006975806165083423,-0.06233283768141507,-0.0006899233208611963,0.016312373078115873,-0.000545591220920655,0.01631237307811591,-0.1562500000000002,-4.453125000000227
project_inputs_positive_chi,rounded_final,5.75,8.0,35.3,-0.11162673727599667,0.39697068405980473,-0.0420680616652103,0.05638024742109331,-0.05408476168472876,0.15738145463521666,-0.014228992342381962,0.02472877444516343,-0.007065524641686506,-0.06444446429653236,-0.0006251483775828616,0.016864981340931125,-0.0005525921536059628,0.016864981340931173,-0.1562500000000002,-4.453125000000227
project_inputs_positive_chi,rounded_final,6.0,8.0,35.3,-0.1086074263597797,0.37578636541300786,-0.040930193078262254,0.05337151862898492,-0.05262186206640578,0.1489828019941905,-0.01438149642483021,0.02556312372359376,-0.007148790845009814,-0.06645457475295832,-0.0005642120611516513,0.017391023037621238,-0.0005590885645467183,0.017391023037621304,-0.1562500000000002,-4.453125000000227
project_inputs_positive_chi,rounded_final,3.0,8.5,35.3,-0.2082401225645141,1.381499700603275,-0.07847813643030006,0.19620918637015705,-0.1008953381325988,0.5477040023094111,-0.011484715300769536,0.012651516698770807,-0.005462175903188852,-0.03486157878643394,-0.0016315795387013901,0.009123202158113894,-0.00042730208744382877,0.009123202158113778,-0.1562500000000002,-4.453125000000227
project_inputs_positive_chi,rounded_final,3.25,8.5,35.3,-0.18824163560173257,1.1288944790773299,-0.07094143327753218,0.16033262051435881,-0.09120578321205221,0.447557117895611,-0.0118793548158946,0.014120855037086124,-0.005692765210761265,-0.03851014898724181,-0.0015080020554787644,0.010078025338497016,-0.00044534427649281066,0.010078025338496912,-0.1562500000000002,-4.453125000000227
project_inputs_positive_chi,rounded_final,3.5,8.5,35.3,-0.17272476445201418,0.9504541950940338,-0.06509368829898354,0.1349894207143636,-0.08368763569018942,0.3768133763890429,-0.012234688796551364,0.01553866544423187,-0.00589823187422472,-0.04201015767750109,-0.0013914911151011857,0.010993970282700624,-0.0004614141393573967,0.010993970282700535,-0.1562500000000002,-4.453125000000227
project_inputs_positive_chi,rounded_final,3.75,8.5,35.3,-0.16038518245114633,0.8195028320374819,-0.06044334816360945,0.1163908930504278,-0.07770893051531717,0.3248969079145103,-0.012556701157979628,0.016901427802847077,-0.006082358426591934,-0.04535800353778168,-0.0012821464051622007,0.011870094532972077,-0.0004758096572349714,0.011870094532972003,-0.1562500000000002,-4.453125000000227
project_inputs_positive_chi,rounded_final,4.0,8.5,35.3,-0.15036892804365526,0.7203410774785148,-0.056668585787217965,0.10230732345388288,-0.0728559110163834,0.2855836240793758,-0.012850152829119249,0.01820770387377281,-0.00624823012167493,-0.04855407889243015,-0.0011797755278833172,0.012706500759771228,-0.0004887736804460593,0.012706500759771172,-0.1562500000000002,-4.453125000000227
project_inputs_positive_chi,rounded_final,4.25,8.5,35.3,-0.14209643770541758,0.6432626783810433,-0.053550984734224795,0.091360169453759,-0.06884777031997863,0.2550254215268511,-0.013118890020794855,0.01945749004381569,-0.006398381263508861,-0.05160143277963122,-0.0010840342558814872,0.013503986890005454,-0.0005005055455998397,0.01350398689000541,-0.1562500000000002,-4.453125000000227
project_inputs_positive_chi,rounded_final,4.5,8.5,35.3,-0.13516217383805743,0.5820124966708381,-0.0509377126177632,0.08266103740679893,-0.06548801961976852,0.23074241252568461,-0.013366062240718,0.020651751643134257,-0.006534908578693237,-0.05450482374136815,-0.0009945079491838938,0.014263798224145984,-0.0005111700628989166,0.014263798224145958,-0.1562500000000002,-4.453125000000227
project_inputs_positive_chi,rounded_final,4.75,8.5,35.3,-0.1292748186116099,0.532414467062747,-0.048718982331856606,0.07561681652805619,-0.06263551123202918,0.21107897046257773,-0.013594279484613232,0.021792090015740593,-0.006659559051807978,-0.057270053503771415,-0.0009107585981003286,0.014987453061770684,-0.0005209044702154618,0.014987453061770673,-0.1562500000000002,-4.453125000000227
project_inputs_positive_chi,rounded_final,5.0,8.5,35.3,-0.12422027691348597,0.49159443714868895,-0.04681410920705752,0.06981930180290254,-0.06018651299164667,0.19489562004378538,-0.01380572765428163,0.022880505849458575,-0.006773798208949616,-0.05990350187579159,-0.0008323515568072016,0.015676620985520723,-0.0005298238332332555,0.01567662098552073,-0.1562500000000002,-4.453125000000227
project_inputs_positive_chi,rounded_final,5.25,8.5,35.3,-0.11983803162354986,0.4575212896192052,-0.04516260017268255,0.06498002130873312,-0.058063252042397505,0.18138711239443303,-0.014002254750299328,0.023919231972261833,-0.006878863480894348,-0.06241180522813044,-0.0007588701914424366,0.016333038719710265,-0.0005380252615144836,0.01633303871971029,-0.1562500000000002,-4.453125000000227
